term_id,canonical_name,aliases,entity_type,uniprot_id,ensembl_id,alphafold_entry_id,alphafold_entry_url,alphafold_pae_image_url,alphafold_pdb_url,summary_short,hpa_url,ot_url,chembl_target_id,source_notes,enabled
gene:CD46,CD46,CD46|MCP|MIC10|TLX,gene,P15529,ENSG00000117335,AF-P15529-F1,https://alphafold.ebi.ac.uk/entry/AF-P15529-F1,https://alphafold.ebi.ac.uk/files/AF-P15529-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-P15529-F1-model_v6.pdb,Membrane cofactor protein; complement regulator and oncology surface antigen.,https://www.proteinatlas.org/ENSG00000117335-CD46,https://platform.opentargets.org/target/ENSG00000117335,,AlphaFold canonical; UniProt P15529,true
gene:FOLH1,FOLH1,FOLH1|PSMA|GCPII|NAALAD1|FOLH,gene,Q04609,ENSG00000086205,AF-Q04609-F1,https://alphafold.ebi.ac.uk/entry/AF-Q04609-F1,https://alphafold.ebi.ac.uk/files/AF-Q04609-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-Q04609-F1-model_v6.pdb,Folate hydrolase 1 (PSMA); prostate radioligand therapy target.,https://www.proteinatlas.org/ENSG00000086205-FOLH1,https://platform.opentargets.org/target/ENSG00000086205,CHEMBL1892,AlphaFold canonical; UniProt Q04609,true
gene:FAP,FAP,FAP|FAPA|DPPIV|SIMP,gene,Q12884,ENSG00000078098,AF-Q12884-F1,https://alphafold.ebi.ac.uk/entry/AF-Q12884-F1,https://alphafold.ebi.ac.uk/files/AF-Q12884-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-Q12884-F1-model_v6.pdb,Fibroblast activation protein alpha; CAF / FAPI radioligand target.,https://www.proteinatlas.org/ENSG00000078098-FAP,https://platform.opentargets.org/target/ENSG00000078098,CHEMBL4683,AlphaFold canonical; UniProt Q12884,true
gene:SSTR2,SSTR2,SSTR2|SSR2,gene,P30874,ENSG00000180616,AF-P30874-F1,https://alphafold.ebi.ac.uk/entry/AF-P30874-F1,https://alphafold.ebi.ac.uk/files/AF-P30874-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-P30874-F1-model_v6.pdb,Somatostatin receptor 2; NET radioligand / theranostic target.,https://www.proteinatlas.org/ENSG00000180616-SSTR2,https://platform.opentargets.org/target/ENSG00000180616,CHEMBL1804,AlphaFold canonical; UniProt P30874,true
gene:SSTR2:iso2,SSTR2 isoform 2,SSTR2 isoform 2|P30874-2,protein,P30874-2,ENSG00000180616,AF-P30874-2-F1,https://alphafold.ebi.ac.uk/entry/AF-P30874-2-F1,https://alphafold.ebi.ac.uk/files/AF-P30874-2-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-P30874-2-F1-model_v6.pdb,SSTR2 AlphaFold isoform entry AF-P30874-2-F1.,https://www.proteinatlas.org/ENSG00000180616-SSTR2,,CHEMBL1804,AlphaFold isoform; user-linked structure page,true
gene:GRPR,GRPR,GRPR|BB2|BB2R|BRS2,gene,P30550,ENSG00000126010,AF-P30550-F1,https://alphafold.ebi.ac.uk/entry/AF-P30550-F1,https://alphafold.ebi.ac.uk/files/AF-P30550-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-P30550-F1-model_v6.pdb,Gastrin-releasing peptide receptor; GPCR radioligand target.,https://www.proteinatlas.org/ENSG00000126010-GRPR,https://platform.opentargets.org/target/ENSG00000126010,CHEMBL4959,AlphaFold canonical; UniProt P30550,true
gene:CEACAM5,CEACAM5,CEACAM5|CEA|CD66e,gene,P06731,ENSG00000105388,AF-P06731-F1,https://alphafold.ebi.ac.uk/entry/AF-P06731-F1,https://alphafold.ebi.ac.uk/files/AF-P06731-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-P06731-F1-model_v6.pdb,CEA cell adhesion molecule 5; theranostic registry target.,https://www.proteinatlas.org/ENSG00000105388-CEACAM5,https://platform.opentargets.org/target/ENSG00000105388,CHEMBL3712881,AlphaFold canonical; UniProt P06731,true
gene:STEAP1,STEAP1,STEAP1|PRSS24|STEAP,gene,Q9UHE8,ENSG00000164647,AF-Q9UHE8-F1,https://alphafold.ebi.ac.uk/entry/AF-Q9UHE8-F1,https://alphafold.ebi.ac.uk/files/AF-Q9UHE8-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-Q9UHE8-F1-model_v6.pdb,STEAP family member 1; theranostic registry target.,https://www.proteinatlas.org/ENSG00000164647-STEAP1,https://platform.opentargets.org/target/ENSG00000164647,CHEMBL3712956,AlphaFold canonical; UniProt Q9UHE8,true
gene:DLL3,DLL3,DLL3|SCDO1,gene,Q9NYJ7,ENSG00000090932,AF-Q9NYJ7-F1,https://alphafold.ebi.ac.uk/entry/AF-Q9NYJ7-F1,https://alphafold.ebi.ac.uk/files/AF-Q9NYJ7-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-Q9NYJ7-F1-model_v6.pdb,Delta like canonical Notch ligand 3; theranostic registry target.,https://www.proteinatlas.org/ENSG00000090932-DLL3,https://platform.opentargets.org/target/ENSG00000090932,,AlphaFold canonical; UniProt Q9NYJ7,true
gene:NECTIN4,NECTIN4,NECTIN4|PVRL4|LNIR|EDSS1,gene,Q96NY8,ENSG00000143217,AF-Q96NY8-F1,https://alphafold.ebi.ac.uk/entry/AF-Q96NY8-F1,https://alphafold.ebi.ac.uk/files/AF-Q96NY8-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-Q96NY8-F1-model_v6.pdb,Nectin cell adhesion molecule 4; theranostic registry target.,https://www.proteinatlas.org/ENSG00000143217-NECTIN4,https://platform.opentargets.org/target/ENSG00000143217,CHEMBL3712928,AlphaFold canonical; UniProt Q96NY8,true
gene:ERBB2,ERBB2,ERBB2|HER2|NEU|CD340,gene,P04626,ENSG00000141736,AF-P04626-F1,https://alphafold.ebi.ac.uk/entry/AF-P04626-F1,https://alphafold.ebi.ac.uk/files/AF-P04626-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-P04626-F1-model_v6.pdb,erb-b2 receptor tyrosine kinase 2; theranostic registry target.,https://www.proteinatlas.org/ENSG00000141736-ERBB2,https://platform.opentargets.org/target/ENSG00000141736,CHEMBL1824,AlphaFold canonical; UniProt P04626,true
gene:TACSTD2,TACSTD2,TACSTD2|TROP2|EGP1|GA733-1,gene,P09758,ENSG00000184292,AF-P09758-F1,https://alphafold.ebi.ac.uk/entry/AF-P09758-F1,https://alphafold.ebi.ac.uk/files/AF-P09758-F1-predicted_aligned_error_v6.png,https://alphafold.ebi.ac.uk/files/AF-P09758-F1-model_v6.pdb,Tumor associated calcium signal transducer 2; theranostic registry target.,https://www.proteinatlas.org/ENSG00000184292-TACSTD2,https://platform.opentargets.org/target/ENSG00000184292,CHEMBL3856163,AlphaFold canonical; UniProt P09758,true
