cancer_type,ca9_mean,ca9_median,ca9_std,n_samples,expression_rank,gene_median,gene_mean
KIRC,10.087114093959732,12.16,4.492116261536969,149,1,12.16,10.087114093959732
CESC,9.122277227722773,9.4,2.8678036478071927,101,2,9.4,9.122277227722773
PAAD,8.991747572815534,9.11,2.5307138523196335,103,3,9.11,8.991747572815534
HNSC,8.147280701754386,8.78,2.937856146013369,114,4,8.78,8.147280701754386
STAD,7.8957575757575755,8.3,3.193247436809472,132,5,8.3,7.8957575757575755
COAD,7.772054794520548,8.105,3.201223670735974,146,6,8.105,7.772054794520548
GBM,7.5915625,7.995,2.7312234164942373,32,7,7.995,7.5915625
OV,7.493372093023255,7.78,2.446436837748809,86,8,7.78,7.493372093023255
LUSC,7.049107142857143,7.725,3.6617069790505785,168,9,7.725,7.049107142857143
UCEC,6.986528925619835,7.43,2.606218112752589,121,10,7.43,6.986528925619835
BLCA,6.414782608695653,6.89,4.044870120835986,115,11,6.89,6.414782608695653
ACC,5.07873417721519,5.41,3.7093555895830193,79,12,5.41,5.07873417721519
TGCT,5.208045977011494,4.91,1.4625255625517621,87,13,4.91,5.208045977011494
LIHC,4.75294964028777,4.84,3.507163363712098,139,14,4.84,4.75294964028777
LUAD,5.042215909090909,4.83,3.6213746685837056,176,15,4.83,5.042215909090909
KIRP,5.065294117647059,4.65,2.9805507671933706,136,16,4.65,5.065294117647059
SARC,4.912148148148148,4.37,3.527828892436005,135,17,4.37,4.912148148148148
THYM,3.2348760330578514,2.54,2.2844087913880036,121,18,2.54,3.2348760330578514
LGG,2.5268032786885244,2.335,1.3976522619301335,122,19,2.335,2.5268032786885244
SKCM,2.854016393442623,2.3,2.4856649042576033,122,20,2.3,2.854016393442623
BRCA,2.518695652173913,1.185,3.1139973198697755,138,21,1.185,2.518695652173913
PRAD,0.9411875000000001,0.81,0.9019555078869176,160,22,0.81,0.9411875000000001
PCPG,1.59359477124183,0.79,2.4088945964517805,153,23,0.79,1.59359477124183
THCA,1.2272955974842767,0.72,1.5074614782048779,159,24,0.72,1.2272955974842767
LAML,,,,0,25,,
