cancer_type,endpoint,n_high,n_low,log_rank_p,log_rank_stat,significant,hazard_ratio,hr_lower_95,hr_upper_95,p_value,n_samples
ACC,OS,40.0,39.0,0.5966626029833983,0.2800589170987954,False,,,,,
ACC,OS,,,,,False,0.9579961905847144,0.8644071316314357,1.0617181043412953,0.4132760378512996,79.0
ACC,PFI,40.0,39.0,0.578702620360021,0.30833674914730463,False,,,,,
BLCA,OS,71.0,44.0,0.3459940519457352,0.8880950569209938,False,,,,,
BLCA,OS,,,,,False,0.9817774134343225,0.9235034843195998,1.043728481695921,0.5558163125415729,115.0
BLCA,PFI,71.0,44.0,0.7091685688137215,0.13910882911071895,False,,,,,
BRCA,OS,25.0,113.0,0.180366961143434,1.7945978646630718,False,,,,,
BRCA,OS,,,,,False,0.981035332002148,0.8884104892619673,1.08331715380363,0.7051380660966446,138.0
BRCA,PFI,25.0,113.0,0.5735257675001213,0.3168187395075466,False,,,,,
CESC,OS,,,,,False,1.1072243879774897,0.9586638402736883,1.278806807798375,0.16584832655462772,101.0
COAD,OS,109.0,37.0,0.37281896694377736,0.7942471348633096,False,,,,,
COAD,OS,,,,,False,0.9514100981911647,0.8601114311340499,1.052399889333697,0.33318803987030415,146.0
COAD,PFI,109.0,37.0,0.26354376055097595,1.250045639576362,False,,,,,
HNSC,OS,94.0,20.0,0.39815026578461665,0.7139056685322348,False,,,,,
HNSC,OS,,,,,False,0.9898244001435608,0.9079869587672147,1.079037902096944,0.8163135176194439,114.0
HNSC,PFI,94.0,20.0,0.41831295541781033,0.6550499509534713,False,,,,,
KIRC,OS,119.0,30.0,0.7817187179379708,0.07677329794948701,False,,,,,
KIRC,OS,,,,,False,0.9966397983226896,0.920905236007035,1.0786027147673893,0.9334764263874593,149.0
KIRC,PFI,119.0,30.0,0.7905679955835482,0.07052907788269303,False,,,,,
KIRP,OS,57.0,79.0,0.26303510900352334,1.2527121177933787,False,,,,,
KIRP,OS,,,,,False,1.1038459194916257,0.9514954997334447,1.280590201760976,0.19229284945211075,136.0
KIRP,PFI,57.0,79.0,0.027874691149445414,4.835800864774604,True,,,,,
LGG,OS,,,,,False,0.9987527636322917,0.8432906564447374,1.1828745821382274,0.9884653676078784,122.0
LIHC,OS,61.0,78.0,0.010977917307192355,6.468888454452785,True,,,,,
LIHC,OS,,,,,False,1.0483601486243885,0.9889221517320548,1.1113705960563178,0.11276357744823676,139.0
LIHC,PFI,61.0,78.0,0.05406690851021279,3.7106322125483824,False,,,,,
LUAD,OS,78.0,98.0,0.9063997489855332,0.013825265242338432,False,,,,,
LUAD,OS,,,,,False,0.9997996639041072,0.9425833402638981,1.0604891103453036,0.9946832417323827,176.0
LUAD,PFI,78.0,98.0,0.950081447298382,0.003919323210968344,False,,,,,
LUSC,OS,118.0,50.0,0.02963126924279447,4.730558079647821,True,,,,,
LUSC,OS,,,,,False,0.9470351800903605,0.8963299007711703,1.0006088512244675,0.05258850265025733,168.0
LUSC,PFI,118.0,50.0,0.06904677506010927,3.305536984193482,False,,,,,
OV,OS,,,,,False,0.9895214804080465,0.8818075461896939,1.1103928112430752,0.8578249310542706,86.0
PAAD,OS,,,,,False,1.025223398915308,0.9195388078165349,1.1430545494640691,0.6535944713564714,103.0
PRAD,OS,,,,,False,1.1468226329641829,0.1435207400914216,9.163847334128347,0.8972020470402089,160.0
SARC,OS,58.0,77.0,0.29847365950746213,1.0810013305065982,False,,,,,
SARC,OS,,,,,False,1.0619906995789303,0.9770911274491784,1.1542672063111201,0.15712545218338594,135.0
SARC,PFI,58.0,77.0,0.5381113023039662,0.37905148652303117,False,,,,,
SKCM,OS,,,,,False,1.0025088980149766,0.910070554191152,1.1043364560810818,0.9595107965020563,122.0
STAD,OS,105.0,27.0,0.004485328143732484,8.076083455400912,True,,,,,
STAD,OS,,,,,True,0.877045155083274,0.8064868688817695,0.9537764763877506,0.002170044379071142,132.0
STAD,PFI,105.0,27.0,0.002544553196425425,9.108277884584128,True,,,,,
TGCT,OS,34.0,53.0,0.851541067926444,0.03502605744758212,False,,,,,
TGCT,OS,,,,,False,0.9509367889730193,0.32861871486765576,2.7517628659295816,0.9260649435724961,87.0
TGCT,PFI,34.0,53.0,0.645330123450389,0.21183860739255855,False,,,,,
THCA,OS,,,,,False,0.9214310615416859,0.5543532308354324,1.531577979430747,0.7522851258152782,159.0
THYM,OS,,,,,True,1.2975455323497664,1.0341039596589277,1.6280997599855804,0.02447483474044149,121.0
UCEC,OS,91.0,30.0,0.16706992933067943,1.90904006005178,False,,,,,
UCEC,OS,,,,,False,1.1761772002829196,0.9725544685533183,1.422432214540306,0.09431977563931307,121.0
UCEC,PFI,91.0,30.0,0.6737585015010671,0.17723705690833094,False,,,,,
