cancer_type,cd19_mean,cd19_median,cd19_std,n_samples,expression_rank,gene_median,gene_mean
TGCT,6.144827586206897,6.2,1.7242085222116732,87,1,6.2,6.144827586206897
LAML,4.993190184049079,4.88,1.6753424951192617,163,2,4.88,4.993190184049079
STAD,4.681212121212121,4.6899999999999995,2.4386096120858083,132,3,4.6899999999999995,4.681212121212121
THYM,4.729173553719009,4.68,2.3196452985951894,121,4,4.68,4.729173553719009
LUSC,4.329047619047619,4.295,2.207067373898773,168,5,4.295,4.329047619047619
LUAD,4.234886363636364,3.9850000000000003,2.3624977070008804,176,6,3.9850000000000003,4.234886363636364
SKCM,4.15672131147541,3.96,3.131270025289675,122,7,3.96,4.15672131147541
UCEC,3.7798347107438017,3.78,2.043718825846271,121,8,3.78,3.7798347107438017
PAAD,4.064077669902913,3.57,2.8955145964442948,103,9,3.57,4.064077669902913
COAD,3.4492465753424657,3.31,2.3212535512360826,146,10,3.31,3.4492465753424657
CESC,3.168217821782178,3.07,2.086915137728223,101,11,3.07,3.168217821782178
HNSC,3.268421052631579,2.875,2.1162245472586596,114,12,2.875,3.268421052631579
ACC,2.850759493670886,2.49,2.1527988771637934,79,13,2.49,2.850759493670886
OV,2.5077906976744186,2.3,1.740003651897987,86,14,2.3,2.5077906976744186
BLCA,2.843391304347826,2.28,2.6208251301988112,115,15,2.28,2.843391304347826
BRCA,2.3934782608695655,1.9,2.0150990818674246,138,16,1.9,2.3934782608695655
SARC,2.108740740740741,1.81,2.0199443725271062,135,17,1.81,2.108740740740741
PRAD,1.9904374999999999,1.73,1.6409229443446545,160,18,1.73,1.9904374999999999
LIHC,1.9251798561151081,1.57,1.682920319192416,139,19,1.57,1.9251798561151081
GBM,1.4484375,1.46,1.1280388616475483,32,20,1.46,1.4484375
KIRC,1.6990604026845637,1.33,1.451856380304046,149,21,1.33,1.6990604026845637
LGG,1.4004918032786886,1.205,1.1172071527905236,122,22,1.205,1.4004918032786886
KIRP,1.8193382352941176,1.1949999999999998,1.9259272715032172,136,23,1.1949999999999998,1.8193382352941176
THCA,2.5672327044025156,1.18,2.9969951009935514,159,24,1.18,2.5672327044025156
PCPG,1.0143790849673202,0.67,1.2661284908527874,153,25,0.67,1.0143790849673202
