cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,1.638550235695348,1.0637652796817785,2.52390910493003,0.02506388948187154,True,79.0,,,,
BLCA,OS,,,,,False,,66.0,49.0,0.9283817641765201,0.00807859770327545
BLCA,OS,1.0579548189473829,0.7159369565974282,1.5633616739851508,0.777357446008792,False,115.0,,,,
BLCA,PFI,,,,,False,,66.0,49.0,0.42470082058527703,0.6372707745220735
BRCA,OS,,,,,False,,72.0,66.0,0.9457001982586339,0.004638607912609819
BRCA,OS,1.0539694935044475,0.6701726213013218,1.657560541761616,0.8200103429892671,False,138.0,,,,
BRCA,PFI,,,,,False,,72.0,66.0,0.6903210911311521,0.15873798459313468
CESC,OS,,,,,False,,37.0,64.0,0.8146149183508925,0.05497932369246873
CESC,OS,1.0074290020184875,0.6596605604583887,1.538538537763599,0.9726698271487504,False,101.0,,,,
CESC,PFI,,,,,False,,37.0,64.0,0.7610776066924831,0.09245613439551963
COAD,OS,,,,,False,,55.0,91.0,0.4451671959066684,0.5829272973219799
COAD,OS,1.1945967660178476,0.7122367639891849,2.0036334903402566,0.500388616544358,False,146.0,,,,
COAD,PFI,,,,,False,,55.0,91.0,0.5122174126248644,0.4295345769639818
HNSC,OS,,,,,False,,85.0,29.0,0.9096599897720486,0.012874855841558418
HNSC,OS,1.0455641201501333,0.775945325022121,1.4088677308728637,0.769655583233177,False,114.0,,,,
HNSC,PFI,,,,,False,,85.0,29.0,0.3720045085341651,0.7969577602622177
KIRC,OS,,,,,True,,25.0,124.0,0.023370531366640412,5.1407513630919786
KIRC,OS,1.8927453965326195,1.0315469654994824,3.472924894273483,0.03937383098110017,True,149.0,,,,
KIRC,PFI,,,,,True,,25.0,124.0,0.025734904395418614,4.973742560577318
KIRP,OS,,,,,False,,57.0,79.0,0.18777599209515186,1.734981265035128
KIRP,OS,1.5672243591234851,0.7713354496807298,3.184337233361546,0.21417266967439003,False,136.0,,,,
KIRP,PFI,,,,,False,,57.0,79.0,0.19827939670553651,1.6550027410706518
LAML,OS,1.0837842127876627,0.9974881459871313,1.1775460436428358,0.05736023884968241,False,163.0,,,,
LGG,OS,1.7985403341163255,1.2852230279858587,2.516876264279678,0.0006181554163592445,True,122.0,,,,
LIHC,OS,,,,,False,,46.0,93.0,0.8811971529101964,0.022335835692843857
LIHC,OS,1.0181820950553513,0.7519434288875356,1.3786871975529391,0.9072471493696795,False,139.0,,,,
LIHC,PFI,,,,,False,,46.0,93.0,0.917467060079124,0.010738111182242436
LUAD,OS,,,,,False,,73.0,103.0,0.059442220868713966,3.5528792566072678
LUAD,OS,1.8030670364109942,1.1988620027182595,2.7117806139660794,0.004640269598892333,True,176.0,,,,
LUAD,PFI,,,,,False,,73.0,103.0,0.08709011120403039,2.9273542050345607
LUSC,OS,,,,,False,,118.0,50.0,0.47429377013456153,0.5119550090720443
LUSC,OS,0.902798080290729,0.6837849943382321,1.1919600174400238,0.47072120752922875,False,168.0,,,,
LUSC,PFI,,,,,False,,118.0,50.0,0.4872219377072228,0.4826555052240446
OV,OS,,,,,False,,28.0,58.0,0.9664819088255866,0.0017657695536905708
OV,OS,0.8249194124509653,0.5399692427847952,1.2602422195918592,0.3733708484772732,False,86.0,,,,
OV,PFI,,,,,False,,28.0,58.0,0.39836467891934035,0.7132570113016654
PAAD,OS,,,,,False,,77.0,26.0,0.5483938866147824,0.36020233263408347
PAAD,OS,1.3122215352613211,0.8473856623788324,2.032044479923917,0.22330430261275133,False,103.0,,,,
PAAD,PFI,,,,,False,,77.0,26.0,0.964871705107687,0.0019396115788453577
PCPG,OS,,,,,False,,48.0,105.0,1.0,0.0
PCPG,PFI,,,,,False,,48.0,105.0,1.0,0.0
PRAD,OS,,,,,False,,111.0,49.0,0.43586560744574354,0.6071428571428571
PRAD,OS,0.8499627159435146,0.01970822039928941,36.65661352762848,0.9325435842904172,False,160.0,,,,
PRAD,PFI,,,,,False,,111.0,49.0,0.20677877971268144,1.5938370655845775
SARC,OS,1.241335542821195,0.937078575175495,1.6443807069034846,0.13182143257731643,False,135.0,,,,
SKCM,OS,1.0876509807834331,0.7649796020762023,1.5464264050812204,0.6398349578718909,False,122.0,,,,
STAD,OS,,,,,False,,39.0,93.0,0.8960433527280022,0.017072340703499597
STAD,OS,1.1744825380873887,0.7945629522989145,1.7360603439678883,0.4198901562586306,False,132.0,,,,
STAD,PFI,,,,,False,,39.0,93.0,0.994823223541672,4.209638423359044e-05
TGCT,OS,0.5878863652218888,0.012730315722826504,27.148610131805004,0.7858783693163255,False,87.0,,,,
THCA,OS,,,,,False,,30.0,129.0,0.07354223751146935,3.2021343169638308
THCA,OS,0.598847076395493,0.19872160035440078,1.8046242596067523,0.36227425880955566,False,159.0,,,,
THCA,PFI,,,,,False,,30.0,129.0,0.12130575344032235,2.4003803505749253
THYM,OS,1.2087200378664056,0.6523806059789247,2.2394965707900933,0.5468635263187314,False,121.0,,,,
UCEC,OS,,,,,False,,79.0,42.0,0.26452362769743765,1.2449269041414563
UCEC,OS,1.005235673949265,0.44895851188919383,2.250762004551617,0.9898689520480085,False,121.0,,,,
UCEC,PFI,,,,,False,,79.0,42.0,0.4348652914284834,0.6097942439931222
