cancer_type,study_id,total_samples,mutated_samples,mutation_freq_pct,cna_amp_samples,cna_del_samples,cna_amp_freq_pct,cna_del_freq_pct,gene_symbol
ESCA,esca_tcga,185,4,2.16,0,0,0.0,0.0,CD46
BLCA,blca_tcga,130,2,1.54,0,0,0.0,0.0,CD46
UCEC,ucec_tcga,248,3,1.21,0,0,0.0,0.0,CD46
LUSC,lusc_tcga,178,2,1.12,0,0,0.0,0.0,CD46
THYM,thym_tcga,123,1,0.81,0,0,0.0,0.0,CD46
LIHC,lihc_tcga,373,3,0.8,0,0,0.0,0.0,CD46
PAAD,paad_tcga,150,1,0.67,0,0,0.0,0.0,CD46
STAD,stad_tcga,478,3,0.63,0,0,0.0,0.0,CD46
SKCM,skcm_tcga,368,2,0.54,0,0,0.0,0.0,CD46
PRAD,prad_tcga,499,2,0.4,0,0,0.0,0.0,CD46
SARC,sarc_tcga,247,1,0.4,0,0,0.0,0.0,CD46
LGG,lgg_tcga,286,1,0.35,0,0,0.0,0.0,CD46
KIRP,kirp_tcga,282,1,0.35,0,0,0.0,0.0,CD46
GBM,gbm_tcga,290,1,0.34,0,0,0.0,0.0,CD46
HNSC,hnsc_tcga,512,1,0.2,0,0,0.0,0.0,CD46
BRCA,brca_tcga,982,2,0.2,0,0,0.0,0.0,CD46
ACC,acc_tcga,90,0,0.0,0,0,0.0,0.0,CD46
DLBC,dlbc_tcga,48,0,0.0,0,0,0.0,0.0,CD46
LUAD,luad_tcga,230,0,0.0,0,0,0.0,0.0,CD46
KICH,kich_tcga,66,0,0.0,0,0,0.0,0.0,CD46
KIRC,kirc_tcga,451,0,0.0,0,0,0.0,0.0,CD46
LAML,laml_tcga,197,0,0.0,0,0,0.0,0.0,CD46
COAD,coad_tcga,0,0,0.0,0,0,0.0,0.0,CD46
CHOL,chol_tcga,35,0,0.0,0,0,0.0,0.0,CD46
CESC,cesc_tcga,194,0,0.0,0,0,0.0,0.0,CD46
PCPG,pcpg_tcga,184,0,0.0,0,0,0.0,0.0,CD46
READ,read_tcga,0,0,0.0,0,0,0.0,0.0,CD46
MESO,meso_tcga,87,0,0.0,0,0,0.0,0.0,CD46
OV,ov_tcga,316,0,0.0,0,0,0.0,0.0,CD46
STES,stes_tcga,0,0,0.0,0,0,0.0,0.0,CD46
THCA,thca_tcga,405,0,0.0,0,0,0.0,0.0,CD46
TGCT,tgct_tcga,155,0,0.0,0,0,0.0,0.0,CD46
UCS,ucs_tcga,57,0,0.0,0,0,0.0,0.0,CD46
UVM,uvm_tcga,80,0,0.0,0,0,0.0,0.0,CD46
