cancer_type,ceacam5_mean,ceacam5_median,ceacam5_std,n_samples,expression_rank,gene_median,gene_mean
COAD,16.265821917808218,16.445,1.129562476695147,146,1,16.445,16.265821917808218
PAAD,12.457766990291264,13.37,3.3016478155786637,103,2,13.37,12.457766990291264
STAD,11.833484848484849,12.219999999999999,3.311562898667296,132,3,12.219999999999999,11.833484848484849
CESC,10.702673267326732,11.34,3.7053485372064827,101,4,11.34,10.702673267326732
LUAD,11.020113636363636,10.815,3.441701404602317,176,5,10.815,11.020113636363636
HNSC,9.286403508771931,9.5,3.126799128740445,114,6,9.5,9.286403508771931
LUSC,9.121369047619048,9.245000000000001,3.095254417797105,168,7,9.245000000000001,9.121369047619048
BLCA,6.881304347826087,7.0,4.27531357662683,115,8,7.0,6.881304347826087
UCEC,6.710330578512397,6.24,3.2486340549745663,121,9,6.24,6.710330578512397
BRCA,6.354855072463768,6.16,4.182539171418307,138,10,6.16,6.354855072463768
PRAD,4.3411875,4.4350000000000005,2.3232260079724267,160,11,4.4350000000000005,4.3411875
OV,2.421279069767442,1.79,2.261586011167763,86,12,1.79,2.421279069767442
TGCT,2.5960919540229885,1.42,3.04837942318951,87,13,1.42,2.5960919540229885
SKCM,1.5097540983606557,0.625,2.1376574276238998,122,14,0.625,1.5097540983606557
LIHC,1.2130935251798562,0.51,1.9824735131446498,139,15,0.51,1.2130935251798562
KIRC,0.7555704697986577,0.41,1.301675833846266,149,16,0.41,0.7555704697986577
KIRP,1.145514705882353,0.41,1.8252443042377933,136,17,0.41,1.145514705882353
THCA,1.120754716981132,0.35,1.8342606371574017,159,18,0.35,1.120754716981132
GBM,0.450625,0.0,1.059074268619351,32,19,0.0,0.450625
ACC,0.19658227848101267,0.0,0.5364983477307443,79,20,0.0,0.19658227848101267
PCPG,0.15470588235294117,0.0,0.43464604296201614,153,21,0.0,0.15470588235294117
LGG,0.36598360655737705,0.0,1.049558474533254,122,22,0.0,0.36598360655737705
SARC,0.7366666666666667,0.0,1.7774163708101374,135,23,0.0,0.7366666666666667
THYM,0.6371074380165289,0.0,1.4886500808990943,121,24,0.0,0.6371074380165289
LAML,,,,0,25,,
