cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,0.733945547560692,0.293288485388977,1.8366764930090556,0.508657003178995,False,79.0,,,,
BLCA,OS,,,,,False,,83.0,32.0,0.9036067443160946,0.014666764924610642
BLCA,OS,1.0113220224843564,0.9567563344277287,1.0689996986260948,0.6907494343231484,False,115.0,,,,
BLCA,PFI,,,,,False,,83.0,32.0,0.8005149367734734,0.06384755342243754
BRCA,OS,,,,,False,,89.0,49.0,0.6538186061326445,0.20111965560521525
BRCA,OS,0.9899843892915899,0.9197999945231409,1.0655241322861142,0.7884650763295937,False,138.0,,,,
BRCA,PFI,,,,,False,,89.0,49.0,0.5012926022591775,0.4521988472992219
CESC,OS,1.0332780132380806,0.9280356711107022,1.1504551881754952,0.5503124329845053,False,101.0,,,,
COAD,OS,0.7238417984174794,0.5610519396484039,0.9338653199641271,0.01290539331816732,True,146.0,,,,
HNSC,OS,1.0160104330150754,0.9348297676741611,1.1042408315299663,0.708523374005182,False,114.0,,,,
KIRC,OS,1.1716001453274365,0.9244338159552417,1.484851459174369,0.1901909936550003,False,149.0,,,,
KIRP,OS,1.070581718431083,0.8774283282665705,1.3062550853619603,0.5016758310891611,False,136.0,,,,
LGG,OS,1.5221600145394683,1.1371027504401972,2.0376092740659053,0.004751479058965718,True,122.0,,,,
LIHC,OS,0.9662210595032666,0.8547935921688273,1.0921737649657373,0.5825624592297032,False,139.0,,,,
LUAD,OS,0.9857477482381417,0.9244308673550858,1.0511317368022552,0.6613237450766987,False,176.0,,,,
LUSC,OS,0.9745815902386411,0.9105686100603358,1.0430946834079229,0.4576189436504363,False,168.0,,,,
OV,OS,1.001652973464928,0.8939204030753968,1.1223691458427412,0.9773049003712835,False,86.0,,,,
PAAD,OS,0.9510333000824109,0.8757130251674003,1.0328318888402335,0.2330253060156603,False,103.0,,,,
PRAD,OS,,,,,False,,84.0,76.0,0.34957480612329794,0.8750000000000001
PRAD,OS,0.2281502676217575,0.020557325585781792,2.5320679189846094,0.22881984591442975,False,160.0,,,,
PRAD,PFI,,,,,False,,84.0,76.0,0.17020715735595043,1.8811177955902556
SARC,OS,0.9771929702068688,0.8232084860209784,1.1599808763358495,0.7920078384396486,False,135.0,,,,
SKCM,OS,1.0660154674189803,0.9371676901837667,1.2125780569256241,0.3307325978722377,False,122.0,,,,
STAD,OS,0.9174679831039796,0.8412165665840479,1.0006311495254927,0.051689366749600396,False,132.0,,,,
TGCT,OS,0.4215615357532149,0.05791499002869788,3.06853421434673,0.3937150987410478,False,87.0,,,,
THCA,OS,1.0656783350279275,0.7294152158607902,1.5569599989872434,0.7422660975458887,False,159.0,,,,
THYM,OS,1.1682743738516401,0.7935662413539437,1.7199131483589527,0.4305863825516173,False,121.0,,,,
UCEC,OS,,,,,False,,90.0,31.0,0.7395856551776246,0.11049115420540684
UCEC,OS,1.038133133845786,0.9063681253635013,1.1890537337202256,0.5889251040921826,False,121.0,,,,
UCEC,PFI,,,,,False,,90.0,31.0,0.8968636031906856,0.016802483278599956
