cancer_type,cldn18_mean,cldn18_median,cldn18_std,n_samples,expression_rank,gene_median,gene_mean
STAD,11.345530303030301,11.975000000000001,3.417925649742299,132,1,11.975000000000001,11.345530303030301
PAAD,10.779320388349515,11.83,3.522908296696521,103,2,11.83,10.779320388349515
LUAD,9.068352272727273,9.129999999999999,4.377107343674809,176,3,9.129999999999999,9.068352272727273
LUSC,7.602440476190476,6.984999999999999,4.37494930639904,168,4,6.984999999999999,7.602440476190476
KIRC,2.321275167785235,2.43,1.0431898123457197,149,5,2.43,2.321275167785235
TGCT,2.885172413793103,2.27,2.114317121089567,87,6,2.27,2.885172413793103
KIRP,1.9822794117647058,2.08,0.9345705822475979,136,7,2.08,1.9822794117647058
SARC,2.092740740740741,2.08,1.2180725106652126,135,8,2.08,2.092740740740741
COAD,3.2394520547945205,1.87,3.682123409275371,146,9,1.87,3.2394520547945205
BLCA,1.8934782608695653,1.48,1.8642749606507163,115,10,1.48,1.8934782608695653
HNSC,1.7144736842105261,1.415,1.3630880428555183,114,11,1.415,1.7144736842105261
PCPG,1.331437908496732,1.33,0.8130809002772093,153,12,1.33,1.331437908496732
LAML,1.4393865030674846,1.3,1.3316946843812594,163,13,1.3,1.4393865030674846
BRCA,1.2994202898550724,1.27,0.8187196414305382,138,14,1.27,1.2994202898550724
GBM,1.2178125,1.2349999999999999,0.7865471065400035,32,15,1.2349999999999999,1.2178125
SKCM,1.2779508196721312,1.22,0.829024058832607,122,16,1.22,1.2779508196721312
CESC,1.4974257425742574,1.18,1.3312825796692052,101,17,1.18,1.4974257425742574
LGG,1.1304098360655737,1.01,0.782693376460632,122,18,1.01,1.1304098360655737
PRAD,0.8060625,0.73,0.7051571900901592,160,19,0.73,0.8060625
THCA,0.7377358490566037,0.73,0.587203115968328,159,20,0.73,0.7377358490566037
LIHC,1.0969064748201438,0.63,1.554860005311473,139,21,0.63,1.0969064748201438
UCEC,0.6408264462809918,0.62,1.0598502934981429,121,22,0.62,0.6408264462809918
THYM,0.9290082644628099,0.55,1.5025408507805909,121,23,0.55,0.9290082644628099
ACC,0.6932911392405063,0.53,0.8230099876625284,79,24,0.53,0.6932911392405063
OV,0.4543023255813953,0.315,1.0269366676132694,86,25,0.315,0.4543023255813953
