cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,1.285075236617,0.8397920707459481,1.9664610101633382,0.24786451364103668,False,79.0,,,,
BLCA,OS,,,,,False,,51.0,64.0,0.854172022418807,0.033781659241211494
BLCA,OS,1.0194533131297516,0.8916757862970183,1.1655414149656411,0.7779637556456609,False,115.0,,,,
BLCA,PFI,,,,,False,,51.0,64.0,0.7197653867185696,0.12871761084918446
BRCA,OS,,,,,True,,58.0,80.0,0.01408544406601153,6.027402742171038
BRCA,OS,1.3432607686701188,1.0197599675684446,1.7693864733194025,0.035803411341480906,True,138.0,,,,
BRCA,PFI,,,,,True,,58.0,80.0,0.009658692085778851,6.696784964646552
CESC,OS,,,,,False,,39.0,62.0,0.7826171331194167,0.07612637115594559
CESC,OS,0.882274351148168,0.6470426733198895,1.2030242560355615,0.42855267572177835,False,101.0,,,,
CESC,PFI,,,,,False,,39.0,62.0,0.8305365317029845,0.04580177702566099
COAD,OS,,,,,False,,84.0,62.0,0.9738805093612238,0.0010720238911038442
COAD,OS,1.0050648434210736,0.9151073260246636,1.1038654273146997,0.915898301830612,False,146.0,,,,
COAD,PFI,,,,,False,,84.0,62.0,0.5412423053402553,0.373242141667318
HNSC,OS,,,,,False,,53.0,61.0,0.12014965605825437,2.4153689911699883
HNSC,OS,1.0733097613905644,0.8985972345783857,1.2819913077484333,0.43512204033265933,False,114.0,,,,
HNSC,PFI,,,,,True,,53.0,61.0,0.03114003991139166,4.6452258145239815
KIRC,OS,,,,,False,,119.0,30.0,0.47467325328351595,0.5110764194099559
KIRC,OS,1.0561885010952707,0.718547501335017,1.552484905692777,0.7808890930579926,False,149.0,,,,
KIRC,PFI,,,,,False,,119.0,30.0,0.12462992598975571,2.3581498110009
KIRP,OS,,,,,False,,95.0,41.0,0.2599622513685231,1.2689579896528338
KIRP,OS,0.9084752170585685,0.5644192483522745,1.462259167133323,0.6926504547322851,False,136.0,,,,
KIRP,PFI,,,,,False,,95.0,41.0,0.5767210610064168,0.31156559176592846
LAML,OS,,,,,False,,73.0,90.0,0.9850894179234138,0.0003492686721183805
LAML,OS,0.9695621839885743,0.845794556750301,1.1114410953796428,0.6573203015372934,False,163.0,,,,
LAML,PFI,,,,,False,,73.0,90.0,0.9850894179234138,0.0003492686721183805
LGG,OS,,,,,True,,34.0,88.0,0.04302714020662749,4.094335500498715
LGG,OS,1.6279602629887693,1.1369302505389636,2.3310617486113205,0.007800135570818534,True,122.0,,,,
LGG,PFI,,,,,True,,34.0,88.0,0.027444710736131195,4.862614833771662
LIHC,OS,,,,,False,,36.0,103.0,0.8188127112836123,0.05247412521668966
LIHC,OS,1.0899208609797661,0.9448921789739007,1.257209562776672,0.23724562635766083,False,139.0,,,,
LIHC,PFI,,,,,False,,36.0,103.0,0.34913552032667616,0.8765966740365979
LUAD,OS,0.9658925631941182,0.9188907376192746,1.01529856101374,0.1727423070442882,False,176.0,,,,
LUSC,OS,1.045370379090799,0.9978954177873516,1.095103965807881,0.06132832086392524,False,168.0,,,,
OV,OS,1.1835017040238471,0.9235573918527638,1.5166098997025297,0.1830270536079167,False,86.0,,,,
PAAD,OS,0.9712248405008318,0.9011297807180683,1.0467722973867453,0.44490409926538166,False,103.0,,,,
PCPG,OS,,,,,False,,61.0,92.0,1.0,0.0
PCPG,PFI,,,,,False,,61.0,92.0,1.0,0.0
PRAD,OS,1.4007539580782788e-15,0.0,inf,0.9950657654228349,False,160.0,,,,
SARC,OS,,,,,False,,94.0,41.0,0.1076977848066742,2.5876829119718434
SARC,OS,1.206481359026752,0.99094825087806,1.4688933235305295,0.06156633017570613,False,135.0,,,,
SARC,PFI,,,,,False,,94.0,41.0,0.2987243474494803,1.0798802454336638
SKCM,OS,,,,,False,,46.0,76.0,0.3433074584263932,0.8980412837304615
SKCM,OS,0.8727540849913078,0.6558106574861673,1.1614628157900608,0.35060391630220344,False,122.0,,,,
SKCM,PFI,,,,,False,,46.0,76.0,0.05805433171340977,3.592114466606112
STAD,OS,1.0499010261088713,0.9564309670581664,1.1525057245008918,0.3060287075525993,False,132.0,,,,
TGCT,OS,,,,,False,,59.0,28.0,0.12332374851958687,2.374592833876221
TGCT,OS,0.7073707183835793,0.26869203801225405,1.8622559005774526,0.48331589655121143,False,87.0,,,,
TGCT,PFI,,,,,True,,59.0,28.0,0.043581312911114375,4.072709576932115
THCA,OS,0.9089075672568313,0.22762423534784906,3.629283870209551,0.8924485776947426,False,159.0,,,,
THYM,OS,,,,,False,,23.0,98.0,0.7460876082374837,0.10484802062123912
THYM,OS,1.133329621376971,0.8048526598799296,1.595864801990074,0.47353395026967904,False,121.0,,,,
THYM,PFI,,,,,False,,23.0,98.0,0.591387505678423,0.28818262778189196
UCEC,OS,,,,,False,,26.0,95.0,0.7603812835369077,0.09301288151578235
UCEC,OS,1.0176271071672909,0.6832297909536673,1.5156905377269987,0.931495669871925,False,121.0,,,,
UCEC,PFI,,,,,False,,26.0,95.0,0.8800209225526453,0.022783696413590866
