depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.17779402629508,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,CA9
ACH-000045,-0.2923202218940687,MV4-11,Acute Myeloid Leukemia,Myeloid,False,CA9
ACH-000094,-0.1566233222219448,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,CA9
ACH-000096,-0.1327225108288452,G-401,Rhabdoid Cancer,Kidney,False,CA9
ACH-000099,0.0143392408573129,SIMA,Neuroblastoma,Peripheral Nervous System,False,CA9
ACH-000167,-0.0744987507464355,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,CA9
ACH-000178,0.0175958824215788,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,CA9
ACH-000213,0.0792484659061705,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,CA9
ACH-000216,0.0202951545966734,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CA9
ACH-000223,-0.1729706601143242,HCC1937,Invasive Breast Carcinoma,Breast,False,CA9
ACH-000247,0.0683669589534014,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CA9
ACH-000261,-0.1050497064407763,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,CA9
ACH-000262,-0.097517249203164,UOK101,Renal Cell Carcinoma,Kidney,False,CA9
ACH-000286,0.0900352718258361,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,CA9
ACH-000312,0.0109362401197775,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,CA9
ACH-000320,-0.0855840244659955,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,CA9
ACH-000341,0.094680063468362,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,CA9
ACH-000354,-0.1654773755762514,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,CA9
ACH-000373,0.0274906651422166,SKM-1,Acute Myeloid Leukemia,Myeloid,False,CA9
ACH-000402,-0.2000915452618558,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,CA9
ACH-000416,-0.0302531600132082,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,CA9
ACH-000435,-0.1026363744497276,EFE-184,Endometrial Carcinoma,Uterus,False,CA9
ACH-000437,-0.1169416152863662,SW 1088,Diffuse Glioma,CNS/Brain,False,CA9
ACH-000450,0.0098072047229824,MEL-HO,Melanoma,Skin,False,CA9
ACH-000478,-0.201849815565368,SNU-387,Hepatocellular Carcinoma,Liver,False,CA9
ACH-000483,-0.1211460094710542,SNU-182,Hepatocellular Carcinoma,Liver,False,CA9
ACH-000493,-0.1667941559674243,SNU-423,Hepatocellular Carcinoma,Liver,False,CA9
ACH-000514,-0.1989971363893455,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,CA9
ACH-000516,0.0210882682208148,CAL-78,Chondrosarcoma,Bone,False,CA9
ACH-000535,-0.1719358420933351,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,CA9
ACH-000544,-0.0825276277996949,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CA9
ACH-000563,-0.1388451077207267,EBC-1,Non-Small Cell Lung Cancer,Lung,False,CA9
ACH-000592,-0.1361101152074204,TM-31,Diffuse Glioma,CNS/Brain,False,CA9
ACH-000599,-0.0580771841341521,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,CA9
ACH-000614,-0.0688510000875683,RVH-421,Melanoma,Skin,False,CA9
ACH-000618,-0.0090568875324204,SNU-1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,CA9
ACH-000652,0.1150666459824399,SUIT-2,Pancreatic Adenocarcinoma,Pancreas,False,CA9
ACH-000656,-0.2339334976147247,SU-DHL-8,Mature B-Cell Neoplasms,Lymphoid,False,CA9
ACH-000695,-0.285013568463667,COR-L47,Lung Neuroendocrine Tumor,Lung,False,CA9
ACH-000717,-0.1095987841712598,COLO-680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CA9
ACH-000719,0.0239151518048077,RMG-I,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,CA9
ACH-000748,-0.0321661979608817,SJSA-1,Osteosarcoma,Bone,False,CA9
ACH-000777,-0.0649968231739649,KYSE-30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CA9
ACH-000784,-0.1624620175461873,KYSE-70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CA9
ACH-000793,-0.0443538635719616,KATO III,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CA9
ACH-000798,0.0562761822077479,CL-40,Colorectal Adenocarcinoma,Bowel,False,CA9
ACH-000820,-0.0154725029756877,SW403,Colorectal Adenocarcinoma,Bowel,False,CA9
ACH-000839,-0.0031180820173834,SCaBER,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,False,CA9
ACH-000862,0.0017385222858172,KMBC-2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,CA9
ACH-000872,-0.1661941105431694,HCC515,Non-Small Cell Lung Cancer,Lung,False,CA9
ACH-000876,-0.0379340572761276,MDA-MB-415,Invasive Breast Carcinoma,Breast,False,CA9
ACH-000888,-0.0223899276696416,NCI-H1793,Non-Small Cell Lung Cancer,Lung,False,CA9
ACH-000906,0.0096336336732708,ES-2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,CA9
ACH-000912,-0.1076390574845227,NCI-H2286,Lung Neuroendocrine Tumor,Lung,False,CA9
ACH-000913,-0.0728733939134915,ESS-1,Uterine Sarcoma/Mesenchymal,Uterus,False,CA9
ACH-000922,-0.0613316326852488,RCH-ACV,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,CA9
ACH-000928,-0.1830681001213616,JHUEM-1,Endometrial Carcinoma,Uterus,False,CA9
ACH-000934,-0.1938295860201961,MDA-MB-361,Invasive Breast Carcinoma,Breast,False,CA9
ACH-000937,-0.1764495411613795,PF-382,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,CA9
ACH-000943,-0.097392452227574,RKO,Colorectal Adenocarcinoma,Bowel,False,CA9
ACH-000950,-0.1859546010360218,LoVo,Colorectal Adenocarcinoma,Bowel,False,CA9
ACH-000953,-0.1472633555387423,SUP-T1,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,CA9
ACH-000957,-0.0159014309259715,LS 180,Colorectal Adenocarcinoma,Bowel,False,CA9
ACH-000960,-0.1216179124476935,Reh,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,CA9
ACH-000969,-0.061529869234345,KM12,Colorectal Adenocarcinoma,Bowel,False,CA9
ACH-000994,0.110925789855701,HEC-59,Endometrial Carcinoma,Uterus,False,CA9
