depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.0816928794524716,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,CD19
ACH-000045,-0.06453143265435,MV4-11,Acute Myeloid Leukemia,Myeloid,False,CD19
ACH-000094,0.1364138065799596,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,CD19
ACH-000096,-0.0889224233177459,G-401,Rhabdoid Cancer,Kidney,False,CD19
ACH-000099,0.04632997357409,SIMA,Neuroblastoma,Peripheral Nervous System,False,CD19
ACH-000167,-0.7258797151951626,KE-97,Mature B-Cell Neoplasms,Lymphoid,True,CD19
ACH-000178,-0.025613149642718,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,CD19
ACH-000213,-0.1590600773330395,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,CD19
ACH-000216,-0.1420248904843135,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CD19
ACH-000223,-0.0200638685187382,HCC1937,Invasive Breast Carcinoma,Breast,False,CD19
ACH-000247,-0.1964229127734373,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CD19
ACH-000261,-0.1365599342657026,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,CD19
ACH-000262,-0.1574085489282891,UOK101,Renal Cell Carcinoma,Kidney,False,CD19
ACH-000286,0.1583989546566714,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,CD19
ACH-000312,-0.1376751628720935,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,CD19
ACH-000320,-0.0673648225302997,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,CD19
ACH-000341,-0.0701972761444347,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,CD19
ACH-000354,0.3132058256430401,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,CD19
ACH-000373,0.0021893726005994,SKM-1,Acute Myeloid Leukemia,Myeloid,False,CD19
ACH-000402,-0.5582082732082719,BL-70,Mature B-Cell Neoplasms,Lymphoid,True,CD19
ACH-000416,-0.1576610725221404,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,CD19
ACH-000435,-0.2747681569355226,EFE-184,Endometrial Carcinoma,Uterus,False,CD19
ACH-000437,0.0175107761923184,SW 1088,Diffuse Glioma,CNS/Brain,False,CD19
ACH-000450,-0.3789129498375518,MEL-HO,Melanoma,Skin,False,CD19
ACH-000478,-0.1211952138527942,SNU-387,Hepatocellular Carcinoma,Liver,False,CD19
ACH-000483,-0.2916535221149132,SNU-182,Hepatocellular Carcinoma,Liver,False,CD19
ACH-000493,-0.0386342532300442,SNU-423,Hepatocellular Carcinoma,Liver,False,CD19
ACH-000514,-0.1747274738421443,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,CD19
ACH-000516,-0.191392270213183,CAL-78,Chondrosarcoma,Bone,False,CD19
ACH-000535,-0.1159764772266171,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,CD19
ACH-000544,-0.076136688481395,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CD19
ACH-000563,-0.0721427590765313,EBC-1,Non-Small Cell Lung Cancer,Lung,False,CD19
ACH-000592,-0.2668969762342114,TM-31,Diffuse Glioma,CNS/Brain,False,CD19
ACH-000599,-0.1202310094189463,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,CD19
ACH-000614,0.0221905237567825,RVH-421,Melanoma,Skin,False,CD19
ACH-000618,-0.1740741461346572,SNU-1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,CD19
ACH-000652,0.0490840560851648,SUIT-2,Pancreatic Adenocarcinoma,Pancreas,False,CD19
ACH-000656,-1.1741959856701527,SU-DHL-8,Mature B-Cell Neoplasms,Lymphoid,True,CD19
ACH-000695,0.0286792207767696,COR-L47,Lung Neuroendocrine Tumor,Lung,False,CD19
ACH-000717,-0.1182408313618604,COLO-680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CD19
ACH-000719,-0.1260176096943472,RMG-I,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,CD19
ACH-000748,-0.0864848299570687,SJSA-1,Osteosarcoma,Bone,False,CD19
ACH-000777,-0.2243179378433012,KYSE-30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CD19
ACH-000784,-0.1950166599355265,KYSE-70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CD19
ACH-000793,-0.0472135717103387,KATO III,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CD19
ACH-000798,-0.749844302725265,CL-40,Colorectal Adenocarcinoma,Bowel,True,CD19
ACH-000820,-0.0623788596415784,SW403,Colorectal Adenocarcinoma,Bowel,False,CD19
ACH-000839,-0.0182883075168779,SCaBER,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,False,CD19
ACH-000862,-0.0808649324162398,KMBC-2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,CD19
ACH-000872,-0.1343812484431442,HCC515,Non-Small Cell Lung Cancer,Lung,False,CD19
ACH-000876,0.0681543907980466,MDA-MB-415,Invasive Breast Carcinoma,Breast,False,CD19
ACH-000888,-0.1456272420637338,NCI-H1793,Non-Small Cell Lung Cancer,Lung,False,CD19
ACH-000906,-0.1416379025140155,ES-2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,CD19
ACH-000912,-0.1602447562306206,NCI-H2286,Lung Neuroendocrine Tumor,Lung,False,CD19
ACH-000913,0.0190430894898348,ESS-1,Uterine Sarcoma/Mesenchymal,Uterus,False,CD19
ACH-000922,-0.8263156260450812,RCH-ACV,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,True,CD19
ACH-000928,0.2124820901110535,JHUEM-1,Endometrial Carcinoma,Uterus,False,CD19
ACH-000934,0.1218134124788758,MDA-MB-361,Invasive Breast Carcinoma,Breast,False,CD19
ACH-000937,-0.1770001101676025,PF-382,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,CD19
ACH-000943,0.0028687537318581,RKO,Colorectal Adenocarcinoma,Bowel,False,CD19
ACH-000950,-0.1451334478668102,LoVo,Colorectal Adenocarcinoma,Bowel,False,CD19
