depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,0.1038844738911529,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,CEACAM5
ACH-000045,-0.0295945482208723,MV4-11,Acute Myeloid Leukemia,Myeloid,False,CEACAM5
ACH-000094,0.165297671769218,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,CEACAM5
ACH-000096,0.0117598123631579,G-401,Rhabdoid Cancer,Kidney,False,CEACAM5
ACH-000099,0.053535372911628,SIMA,Neuroblastoma,Peripheral Nervous System,False,CEACAM5
ACH-000167,0.1344472050011376,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,CEACAM5
ACH-000178,-0.0266199912583589,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,CEACAM5
ACH-000213,0.3242354958163125,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,CEACAM5
ACH-000216,-0.1174009804304919,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CEACAM5
ACH-000223,-0.015182523227088,HCC1937,Invasive Breast Carcinoma,Breast,False,CEACAM5
ACH-000247,0.0798748596333075,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CEACAM5
ACH-000261,0.015461474440389,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,CEACAM5
ACH-000262,0.0871859273003988,UOK101,Renal Cell Carcinoma,Kidney,False,CEACAM5
ACH-000286,0.0111665668820381,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,CEACAM5
ACH-000312,0.0027608117911821,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,CEACAM5
ACH-000320,-0.0290984776222269,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,CEACAM5
ACH-000341,-0.1724132913215165,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,CEACAM5
ACH-000354,0.116438092708294,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,CEACAM5
ACH-000373,0.0688043211184818,SKM-1,Acute Myeloid Leukemia,Myeloid,False,CEACAM5
ACH-000402,-0.0189523695508631,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,CEACAM5
ACH-000416,0.0988624272400901,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,CEACAM5
ACH-000435,-0.0147578384852347,EFE-184,Endometrial Carcinoma,Uterus,False,CEACAM5
ACH-000437,-0.0576710762376328,SW 1088,Diffuse Glioma,CNS/Brain,False,CEACAM5
ACH-000450,-0.0758545007503108,MEL-HO,Melanoma,Skin,False,CEACAM5
ACH-000478,0.0533532319266232,SNU-387,Hepatocellular Carcinoma,Liver,False,CEACAM5
ACH-000483,-0.0305037393080627,SNU-182,Hepatocellular Carcinoma,Liver,False,CEACAM5
ACH-000493,0.0533371265188318,SNU-423,Hepatocellular Carcinoma,Liver,False,CEACAM5
ACH-000514,-0.2760814718396574,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,CEACAM5
ACH-000516,0.0959654885140862,CAL-78,Chondrosarcoma,Bone,False,CEACAM5
ACH-000535,0.1062505779238094,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,CEACAM5
ACH-000544,0.0208281979709944,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CEACAM5
ACH-000563,0.1697125923329076,EBC-1,Non-Small Cell Lung Cancer,Lung,False,CEACAM5
ACH-000592,0.0452013203167064,TM-31,Diffuse Glioma,CNS/Brain,False,CEACAM5
ACH-000599,-0.0965972557178659,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,CEACAM5
ACH-000614,0.0109627394134012,RVH-421,Melanoma,Skin,False,CEACAM5
ACH-000618,-0.0350122703985089,SNU-1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,CEACAM5
ACH-000652,0.0783315059497608,SUIT-2,Pancreatic Adenocarcinoma,Pancreas,False,CEACAM5
ACH-000656,0.3082420929279867,SU-DHL-8,Mature B-Cell Neoplasms,Lymphoid,False,CEACAM5
ACH-000695,0.1561368755209019,COR-L47,Lung Neuroendocrine Tumor,Lung,False,CEACAM5
ACH-000717,0.0851432299001017,COLO-680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CEACAM5
ACH-000719,0.0689458468428038,RMG-I,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,CEACAM5
ACH-000748,-0.0039142177145626,SJSA-1,Osteosarcoma,Bone,False,CEACAM5
ACH-000777,0.0022903780703647,KYSE-30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CEACAM5
ACH-000784,-0.0874857682762574,KYSE-70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CEACAM5
ACH-000793,0.0051815488131216,KATO III,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CEACAM5
ACH-000798,0.0038321404080614,CL-40,Colorectal Adenocarcinoma,Bowel,False,CEACAM5
ACH-000820,0.0864336748166578,SW403,Colorectal Adenocarcinoma,Bowel,False,CEACAM5
ACH-000839,-0.0020201106735833,SCaBER,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,False,CEACAM5
ACH-000862,0.0633177881397602,KMBC-2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,CEACAM5
ACH-000872,0.1410778447410967,HCC515,Non-Small Cell Lung Cancer,Lung,False,CEACAM5
ACH-000876,0.0398546813116839,MDA-MB-415,Invasive Breast Carcinoma,Breast,False,CEACAM5
ACH-000888,-0.0107881006783035,NCI-H1793,Non-Small Cell Lung Cancer,Lung,False,CEACAM5
ACH-000906,-0.0058788719823362,ES-2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,CEACAM5
ACH-000912,-0.0685963497823245,NCI-H2286,Lung Neuroendocrine Tumor,Lung,False,CEACAM5
ACH-000913,-0.1000069078749124,ESS-1,Uterine Sarcoma/Mesenchymal,Uterus,False,CEACAM5
ACH-000922,0.0719008834041097,RCH-ACV,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,CEACAM5
ACH-000928,0.0812483891894483,JHUEM-1,Endometrial Carcinoma,Uterus,False,CEACAM5
ACH-000934,-0.0849330820688075,MDA-MB-361,Invasive Breast Carcinoma,Breast,False,CEACAM5
