depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,0.1313606022665422,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000045,0.1179223967992972,MV4-11,Acute Myeloid Leukemia,Myeloid,False,CLDN18
ACH-000094,0.2367436545996823,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,CLDN18
ACH-000096,0.1216436681530825,G-401,Rhabdoid Cancer,Kidney,False,CLDN18
ACH-000099,-0.0245538365055564,SIMA,Neuroblastoma,Peripheral Nervous System,False,CLDN18
ACH-000167,-0.1322343887244069,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,CLDN18
ACH-000178,-0.042885583208807,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,CLDN18
ACH-000213,-0.0644051125274434,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,CLDN18
ACH-000216,-0.0315014807073207,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CLDN18
ACH-000223,-0.0155488718787063,HCC1937,Invasive Breast Carcinoma,Breast,False,CLDN18
ACH-000247,0.0788233325517384,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CLDN18
ACH-000261,0.0146050210876563,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000262,-0.1814000135543726,UOK101,Renal Cell Carcinoma,Kidney,False,CLDN18
ACH-000286,-0.1548024065774306,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,CLDN18
ACH-000312,0.1107426617249486,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,CLDN18
ACH-000320,-0.0476068298899026,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,CLDN18
ACH-000341,0.0612728612980275,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,CLDN18
ACH-000354,-0.0359988314261877,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,CLDN18
ACH-000373,-0.0006235128505985,SKM-1,Acute Myeloid Leukemia,Myeloid,False,CLDN18
ACH-000402,-0.0282442164365805,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,CLDN18
ACH-000416,0.0222111678069421,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000435,-0.11637455535064,EFE-184,Endometrial Carcinoma,Uterus,False,CLDN18
ACH-000437,0.0986123232587131,SW 1088,Diffuse Glioma,CNS/Brain,False,CLDN18
ACH-000450,-0.2942141615074789,MEL-HO,Melanoma,Skin,False,CLDN18
ACH-000478,-0.0215495363706536,SNU-387,Hepatocellular Carcinoma,Liver,False,CLDN18
ACH-000483,-0.1673462751550449,SNU-182,Hepatocellular Carcinoma,Liver,False,CLDN18
ACH-000493,-0.1470709836580231,SNU-423,Hepatocellular Carcinoma,Liver,False,CLDN18
ACH-000514,0.0256225907394504,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,CLDN18
ACH-000516,-0.0227224234696011,CAL-78,Chondrosarcoma,Bone,False,CLDN18
ACH-000535,0.1161736626069656,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,CLDN18
ACH-000544,-0.113184217599212,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CLDN18
ACH-000563,-0.1270435804942885,EBC-1,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000592,-0.1733725808152078,TM-31,Diffuse Glioma,CNS/Brain,False,CLDN18
ACH-000599,0.0236178480719097,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,CLDN18
ACH-000614,-9.417210527234292e-05,RVH-421,Melanoma,Skin,False,CLDN18
ACH-000618,0.0392864799430356,SNU-1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,CLDN18
ACH-000652,-0.1363171436396374,SUIT-2,Pancreatic Adenocarcinoma,Pancreas,False,CLDN18
ACH-000656,0.1613206232093181,SU-DHL-8,Mature B-Cell Neoplasms,Lymphoid,False,CLDN18
ACH-000695,-0.1111413210136249,COR-L47,Lung Neuroendocrine Tumor,Lung,False,CLDN18
ACH-000717,0.0721526934672139,COLO-680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CLDN18
ACH-000719,-0.0333840249990785,RMG-I,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,CLDN18
ACH-000748,-0.0024553434839927,SJSA-1,Osteosarcoma,Bone,False,CLDN18
ACH-000777,0.0175669698866103,KYSE-30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CLDN18
ACH-000784,-0.1136612914699167,KYSE-70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CLDN18
ACH-000793,-0.0427600608784439,KATO III,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CLDN18
ACH-000798,-0.5127968060931303,CL-40,Colorectal Adenocarcinoma,Bowel,True,CLDN18
ACH-000820,0.0520711089692259,SW403,Colorectal Adenocarcinoma,Bowel,False,CLDN18
ACH-000839,0.0535131036262226,SCaBER,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,False,CLDN18
ACH-000862,-0.0764864213851634,KMBC-2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,CLDN18
ACH-000872,0.0321301708467578,HCC515,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000876,-0.0383505476721769,MDA-MB-415,Invasive Breast Carcinoma,Breast,False,CLDN18
ACH-000888,-0.0140329944647634,NCI-H1793,Non-Small Cell Lung Cancer,Lung,False,CLDN18
ACH-000906,0.0656199301256341,ES-2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,CLDN18
ACH-000912,-0.0402189501487828,NCI-H2286,Lung Neuroendocrine Tumor,Lung,False,CLDN18
ACH-000913,-0.0216216422055787,ESS-1,Uterine Sarcoma/Mesenchymal,Uterus,False,CLDN18
ACH-000922,-0.0471742866836717,RCH-ACV,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,CLDN18
ACH-000928,0.0387022958073056,JHUEM-1,Endometrial Carcinoma,Uterus,False,CLDN18
ACH-000934,-0.0217532146378637,MDA-MB-361,Invasive Breast Carcinoma,Breast,False,CLDN18
ACH-000937,0.0451807665970568,PF-382,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,CLDN18
ACH-000943,-0.0671526229209428,RKO,Colorectal Adenocarcinoma,Bowel,False,CLDN18
ACH-000950,0.0225385504479449,LoVo,Colorectal Adenocarcinoma,Bowel,False,CLDN18
ACH-000953,-0.0928049742834721,SUP-T1,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,CLDN18
ACH-000957,-0.1176177412549041,LS 180,Colorectal Adenocarcinoma,Bowel,False,CLDN18
ACH-000960,0.0041171940767575,Reh,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,CLDN18
ACH-000969,0.0178877954640249,KM12,Colorectal Adenocarcinoma,Bowel,False,CLDN18
ACH-000994,0.1598482061784994,HEC-59,Endometrial Carcinoma,Uterus,False,CLDN18
ACH-001228,0.0307520051673024,UPCI-SCC-152,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,CLDN18
ACH-001329,-0.1175599650565947,ANGM-CSS,Diffuse Glioma,CNS/Brain,False,CLDN18
ACH-001374,0.039561521733452,PA-1 [PA1],Ovarian Germ Cell Tumor,Ovary/Fallopian Tube,False,CLDN18
ACH-001393,-0.0409864630510317,SUM-190PT,Invasive Breast Carcinoma,Breast,False,CLDN18
ACH-001418,-0.0140204923631028,UWB1.289,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,CLDN18
ACH-001419,-0.0150231503475928,VP229,Invasive Breast Carcinoma,Breast,False,CLDN18
ACH-001497,0.3259124286170143,ESO51,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CLDN18
ACH-001513,-0.0117587924520306,HCA-1,Cervical Adenocarcinoma,Cervix,False,CLDN18
ACH-001539,0.079651672034951,KML-1,Mature B-Cell Neoplasms,Lymphoid,False,CLDN18
ACH-001544,-0.078212281261529,KYAE-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CLDN18
ACH-001570,-0.0233943333676529,MM426,Melanoma,Skin,False,CLDN18
ACH-001603,-0.0861080821185676,NH-12,Neuroblastoma,Peripheral Nervous System,False,CLDN18
ACH-001650,-0.025169850886444,SISO,Cervical Adenocarcinoma,Cervix,False,CLDN18
ACH-001675,-0.043467495425736,TR146,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,CLDN18
ACH-001794,-0.0577983226760802,93T449,Liposarcoma,Soft Tissue,False,CLDN18
ACH-001802,-0.0526015777577436,LPS853,Liposarcoma,Soft Tissue,False,CLDN18
ACH-001972,-0.0840563468174354,MM473,Melanoma,Skin,False,CLDN18
ACH-001993,-0.05860033211532,NALM-16,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,CLDN18
ACH-002002,-0.1153271140621478,A375 SKIN CJ2,Melanoma,Skin,False,CLDN18
ACH-002052,-0.0276961698191734,Lu-139,Lung Neuroendocrine Tumor,Lung,False,CLDN18
ACH-002055,-0.0002267545975047,TL-1,Mature B-Cell Neoplasms,Lymphoid,False,CLDN18
ACH-002161,-0.0968365787362053,MKN28,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,CLDN18
ACH-002263,-0.0727685644962407,KYSE-220,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,CLDN18
ACH-002284,0.0078805520779016,NB6,Neuroblastoma,Peripheral Nervous System,False,CLDN18
ACH-002463,-0.0334383397346051,RPE1-ss77,Non-Cancerous,Eye,False,CLDN18
ACH-002471,-0.0648499053427922,OS052,Osteosarcoma,Bone,False,CLDN18
