depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.0425913033436925,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,DLL3
ACH-000045,-0.0450842928902846,MV4-11,Acute Myeloid Leukemia,Myeloid,False,DLL3
ACH-000094,0.0145659023010448,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,DLL3
ACH-000096,-0.5281433650782362,G-401,Rhabdoid Cancer,Kidney,True,DLL3
ACH-000099,-0.1120174279387178,SIMA,Neuroblastoma,Peripheral Nervous System,False,DLL3
ACH-000167,-0.068796542711064,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,DLL3
ACH-000178,-0.028926243783322,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,DLL3
ACH-000213,-0.0540433320331731,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,DLL3
ACH-000216,0.008484589284279,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,DLL3
ACH-000223,-0.0760704107719797,HCC1937,Invasive Breast Carcinoma,Breast,False,DLL3
ACH-000247,-0.0775728266976041,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,DLL3
ACH-000261,-0.0654004583249308,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,DLL3
ACH-000262,-0.2728897614744954,UOK101,Renal Cell Carcinoma,Kidney,False,DLL3
ACH-000286,0.0284168990823663,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,DLL3
ACH-000312,0.029093139556224,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,DLL3
ACH-000320,-0.1020703476133456,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,DLL3
ACH-000341,-0.0743092410034359,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,DLL3
ACH-000354,-0.17424288622772,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,DLL3
ACH-000373,-0.1857086182242208,SKM-1,Acute Myeloid Leukemia,Myeloid,False,DLL3
ACH-000402,-0.1683493598059359,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,DLL3
ACH-000416,-0.0096680393277772,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,DLL3
ACH-000435,0.0448023136651909,EFE-184,Endometrial Carcinoma,Uterus,False,DLL3
ACH-000437,0.0428476468070428,SW 1088,Diffuse Glioma,CNS/Brain,False,DLL3
ACH-000450,0.0370912883835353,MEL-HO,Melanoma,Skin,False,DLL3
ACH-000478,0.1198031913502492,SNU-387,Hepatocellular Carcinoma,Liver,False,DLL3
ACH-000483,0.0190270613242204,SNU-182,Hepatocellular Carcinoma,Liver,False,DLL3
ACH-000493,-0.0250813174611697,SNU-423,Hepatocellular Carcinoma,Liver,False,DLL3
ACH-000514,0.0141634426815082,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,DLL3
ACH-000516,-0.1582425000805775,CAL-78,Chondrosarcoma,Bone,False,DLL3
ACH-000535,0.0841050979431357,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,DLL3
ACH-000544,-0.1218418170104622,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,DLL3
ACH-000563,-0.059977842896756,EBC-1,Non-Small Cell Lung Cancer,Lung,False,DLL3
ACH-000592,-0.1359872047675406,TM-31,Diffuse Glioma,CNS/Brain,False,DLL3
