depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.0431781471030877,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,EGFR
ACH-000045,0.144465972748878,MV4-11,Acute Myeloid Leukemia,Myeloid,False,EGFR
ACH-000094,-0.2627458403142004,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,EGFR
ACH-000096,0.2706007365981114,G-401,Rhabdoid Cancer,Kidney,False,EGFR
ACH-000099,0.0827513353307697,SIMA,Neuroblastoma,Peripheral Nervous System,False,EGFR
ACH-000167,0.0499684598159418,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,EGFR
ACH-000178,-0.0973647562387984,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,EGFR
ACH-000213,-1.1195820663449276,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,True,EGFR
ACH-000216,-0.6043197208900919,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,True,EGFR
ACH-000223,-0.2314772476163705,HCC1937,Invasive Breast Carcinoma,Breast,False,EGFR
ACH-000247,-0.0513150436172889,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,EGFR
ACH-000261,0.1365839727569844,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,EGFR
ACH-000262,-0.4176494531626881,UOK101,Renal Cell Carcinoma,Kidney,False,EGFR
ACH-000286,-0.0525078862142527,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,EGFR
ACH-000312,0.0547650818153,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,EGFR
ACH-000320,0.1786281668235602,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,EGFR
ACH-000341,-0.3589387630532012,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,EGFR
ACH-000354,-0.7728242001207464,Capan-1,Pancreatic Adenocarcinoma,Pancreas,True,EGFR
ACH-000373,-0.1573669778502316,SKM-1,Acute Myeloid Leukemia,Myeloid,False,EGFR
ACH-000402,-0.0529573791452627,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,EGFR
ACH-000416,0.0583914642784896,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,EGFR
ACH-000435,-0.4007824932648474,EFE-184,Endometrial Carcinoma,Uterus,False,EGFR
ACH-000437,0.137232519234403,SW 1088,Diffuse Glioma,CNS/Brain,False,EGFR
ACH-000450,-0.2616752207227781,MEL-HO,Melanoma,Skin,False,EGFR
ACH-000478,-0.0222109838113804,SNU-387,Hepatocellular Carcinoma,Liver,False,EGFR
ACH-000483,-0.3953512268904394,SNU-182,Hepatocellular Carcinoma,Liver,False,EGFR
ACH-000493,0.085325892945949,SNU-423,Hepatocellular Carcinoma,Liver,False,EGFR
ACH-000514,-0.2271893256055477,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,EGFR
ACH-000516,-0.0309251307556056,CAL-78,Chondrosarcoma,Bone,False,EGFR
ACH-000535,0.0622279268588796,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,EGFR
ACH-000544,-0.8367161713873118,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,True,EGFR
ACH-000563,0.1392898841885587,EBC-1,Non-Small Cell Lung Cancer,Lung,False,EGFR
ACH-000592,-0.0419888649106181,TM-31,Diffuse Glioma,CNS/Brain,False,EGFR
ACH-000599,-0.0510423724077069,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,EGFR
ACH-000614,-0.2444013618040013,RVH-421,Melanoma,Skin,False,EGFR
ACH-000618,-0.4152400588695762,SNU-1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,EGFR
ACH-000652,-0.4770555163942274,SUIT-2,Pancreatic Adenocarcinoma,Pancreas,False,EGFR
ACH-000656,0.1008414742795298,SU-DHL-8,Mature B-Cell Neoplasms,Lymphoid,False,EGFR
ACH-000695,-0.1174650826816059,COR-L47,Lung Neuroendocrine Tumor,Lung,False,EGFR
ACH-000717,-0.6620353727628581,COLO-680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,True,EGFR
ACH-000719,-0.9060871521961394,RMG-I,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,True,EGFR
ACH-000748,0.0358602354386781,SJSA-1,Osteosarcoma,Bone,False,EGFR
ACH-000777,-0.8455792006264353,KYSE-30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,True,EGFR
