depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.3844577917742244,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,ERBB2
ACH-000045,-0.2183343949660214,MV4-11,Acute Myeloid Leukemia,Myeloid,False,ERBB2
ACH-000094,-0.5719059089972988,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,True,ERBB2
ACH-000096,-0.3060171258790832,G-401,Rhabdoid Cancer,Kidney,False,ERBB2
ACH-000099,-0.1355963918416667,SIMA,Neuroblastoma,Peripheral Nervous System,False,ERBB2
ACH-000167,-0.5951691458185175,KE-97,Mature B-Cell Neoplasms,Lymphoid,True,ERBB2
ACH-000178,-0.2774867954984868,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,ERBB2
ACH-000213,-0.8010968425014435,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,True,ERBB2
ACH-000216,-0.3333940074690346,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,ERBB2
ACH-000223,-0.3116333837795365,HCC1937,Invasive Breast Carcinoma,Breast,False,ERBB2
ACH-000247,-0.1947471808128983,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,ERBB2
ACH-000261,-0.3289073139132028,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,ERBB2
ACH-000262,-0.1895406636040926,UOK101,Renal Cell Carcinoma,Kidney,False,ERBB2
ACH-000286,-0.176706786717797,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,ERBB2
ACH-000312,-0.2511622432595793,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,ERBB2
ACH-000320,-0.3757052163040857,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,ERBB2
ACH-000341,-0.0797385718436954,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,ERBB2
ACH-000354,-0.7185921522540961,Capan-1,Pancreatic Adenocarcinoma,Pancreas,True,ERBB2
ACH-000373,-0.5618470258244787,SKM-1,Acute Myeloid Leukemia,Myeloid,True,ERBB2
ACH-000402,-0.1156974148503233,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,ERBB2
ACH-000416,-0.3014404694474382,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,ERBB2
ACH-000435,-0.3699679379798528,EFE-184,Endometrial Carcinoma,Uterus,False,ERBB2
ACH-000437,-0.1957651061414077,SW 1088,Diffuse Glioma,CNS/Brain,False,ERBB2
ACH-000450,-0.1096173747157546,MEL-HO,Melanoma,Skin,False,ERBB2
ACH-000478,-0.4078156378180234,SNU-387,Hepatocellular Carcinoma,Liver,False,ERBB2
ACH-000483,-0.3303137319099508,SNU-182,Hepatocellular Carcinoma,Liver,False,ERBB2
ACH-000493,-0.2859110586465251,SNU-423,Hepatocellular Carcinoma,Liver,False,ERBB2
ACH-000514,-0.2201034991355703,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,ERBB2
