depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,0.1230738467888508,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,FAP
ACH-000045,0.0163988556628912,MV4-11,Acute Myeloid Leukemia,Myeloid,False,FAP
ACH-000094,-0.0470817522048195,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,FAP
ACH-000096,-0.2344274016823641,G-401,Rhabdoid Cancer,Kidney,False,FAP
ACH-000099,0.0437091632331718,SIMA,Neuroblastoma,Peripheral Nervous System,False,FAP
ACH-000167,-0.121157489077533,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,FAP
ACH-000178,0.0127528637330916,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,FAP
ACH-000213,-0.0026083444290782,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,FAP
ACH-000216,-0.0059757895854119,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,FAP
ACH-000223,-0.1098796072860626,HCC1937,Invasive Breast Carcinoma,Breast,False,FAP
ACH-000247,0.0827974437521011,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,FAP
ACH-000261,0.0303127820493033,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,FAP
ACH-000262,0.1901262236077373,UOK101,Renal Cell Carcinoma,Kidney,False,FAP
ACH-000286,-0.1415920590752661,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,FAP
ACH-000312,0.2060832147898593,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,FAP
ACH-000320,0.0941210261362838,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,FAP
ACH-000341,-0.0194952074050483,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,FAP
ACH-000354,0.3043118718818132,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,FAP
ACH-000373,0.0887164561610427,SKM-1,Acute Myeloid Leukemia,Myeloid,False,FAP
