depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.1370986013110798,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,FOLH1
ACH-000045,-0.1924526199921262,MV4-11,Acute Myeloid Leukemia,Myeloid,False,FOLH1
ACH-000094,0.1102800057367568,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,FOLH1
ACH-000096,-0.0854267119483727,G-401,Rhabdoid Cancer,Kidney,False,FOLH1
ACH-000099,-0.1430567017293124,SIMA,Neuroblastoma,Peripheral Nervous System,False,FOLH1
ACH-000167,-0.1642839220102382,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,FOLH1
ACH-000178,-0.2943921879957164,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,FOLH1
ACH-000213,-0.0725010327354648,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,FOLH1
ACH-000216,-0.2343781342947462,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,FOLH1
ACH-000223,-0.1708092956139343,HCC1937,Invasive Breast Carcinoma,Breast,False,FOLH1
ACH-000247,-0.1367351593916175,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,FOLH1
ACH-000261,-0.0860301713528584,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,FOLH1
ACH-000262,-0.2121423765559434,UOK101,Renal Cell Carcinoma,Kidney,False,FOLH1
ACH-000286,-0.0561477699168004,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,FOLH1
ACH-000312,-0.182122073843044,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,FOLH1
ACH-000320,-0.1358767568942094,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,FOLH1
ACH-000341,-0.0841988486059252,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,FOLH1
ACH-000354,0.0523053290054138,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,FOLH1
ACH-000373,-0.1571143718517807,SKM-1,Acute Myeloid Leukemia,Myeloid,False,FOLH1
ACH-000402,-0.5982315755528642,BL-70,Mature B-Cell Neoplasms,Lymphoid,True,FOLH1
ACH-000416,-0.1162723750211382,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,FOLH1
ACH-000435,-0.3700222640739899,EFE-184,Endometrial Carcinoma,Uterus,False,FOLH1
ACH-000437,-0.0266285043443254,SW 1088,Diffuse Glioma,CNS/Brain,False,FOLH1
ACH-000450,-0.0200341105098822,MEL-HO,Melanoma,Skin,False,FOLH1
ACH-000478,-0.0845263454113456,SNU-387,Hepatocellular Carcinoma,Liver,False,FOLH1
ACH-000483,-0.1068852192543867,SNU-182,Hepatocellular Carcinoma,Liver,False,FOLH1
ACH-000493,-0.228976058854473,SNU-423,Hepatocellular Carcinoma,Liver,False,FOLH1
ACH-000514,-0.1678333996175786,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,FOLH1
ACH-000516,-0.1136466426588326,CAL-78,Chondrosarcoma,Bone,False,FOLH1
ACH-000535,-0.0948755462404609,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,FOLH1
ACH-000544,-0.369175831978618,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,FOLH1
ACH-000563,-0.0781381574631501,EBC-1,Non-Small Cell Lung Cancer,Lung,False,FOLH1
ACH-000592,-0.2856998592705258,TM-31,Diffuse Glioma,CNS/Brain,False,FOLH1
ACH-000599,-0.225241960241576,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,FOLH1
ACH-000614,-0.5339463733660549,RVH-421,Melanoma,Skin,True,FOLH1
ACH-000618,-0.2710832770776867,SNU-1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,FOLH1
ACH-000652,-0.2298867988231575,SUIT-2,Pancreatic Adenocarcinoma,Pancreas,False,FOLH1
ACH-000656,0.0384414801820194,SU-DHL-8,Mature B-Cell Neoplasms,Lymphoid,False,FOLH1
ACH-000695,-0.1059452004938207,COR-L47,Lung Neuroendocrine Tumor,Lung,False,FOLH1
ACH-000717,-0.3709051794886416,COLO-680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,FOLH1
ACH-000719,-0.2641319107953093,RMG-I,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,FOLH1
ACH-000748,-0.0535793985393109,SJSA-1,Osteosarcoma,Bone,False,FOLH1
ACH-000777,-0.2258539702620773,KYSE-30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,FOLH1
ACH-000784,-0.152890814798635,KYSE-70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,FOLH1
ACH-000793,-0.2215303579919478,KATO III,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,FOLH1
ACH-000798,0.1373111594943887,CL-40,Colorectal Adenocarcinoma,Bowel,False,FOLH1
ACH-000820,-0.0327026508599146,SW403,Colorectal Adenocarcinoma,Bowel,False,FOLH1
ACH-000839,-0.3932372184290651,SCaBER,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,False,FOLH1
ACH-000862,-0.3140302215056907,KMBC-2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,FOLH1
ACH-000872,-0.4089650658006792,HCC515,Non-Small Cell Lung Cancer,Lung,False,FOLH1
ACH-000876,-0.1962396690478298,MDA-MB-415,Invasive Breast Carcinoma,Breast,False,FOLH1
ACH-000888,-0.1140482608065577,NCI-H1793,Non-Small Cell Lung Cancer,Lung,False,FOLH1
ACH-000906,-0.1305506521936145,ES-2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,FOLH1
ACH-000912,-0.1855672152924513,NCI-H2286,Lung Neuroendocrine Tumor,Lung,False,FOLH1
ACH-000913,-0.0053224066474207,ESS-1,Uterine Sarcoma/Mesenchymal,Uterus,False,FOLH1
ACH-000922,-0.0762336620542575,RCH-ACV,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,FOLH1
ACH-000928,-0.129925293363347,JHUEM-1,Endometrial Carcinoma,Uterus,False,FOLH1
ACH-000934,-0.2759555071704439,MDA-MB-361,Invasive Breast Carcinoma,Breast,False,FOLH1
ACH-000937,-0.2132543966280018,PF-382,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,FOLH1
ACH-000943,-0.2320737506283191,RKO,Colorectal Adenocarcinoma,Bowel,False,FOLH1
ACH-000950,-0.2398352881601964,LoVo,Colorectal Adenocarcinoma,Bowel,False,FOLH1
ACH-000953,-0.2691695467712863,SUP-T1,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,FOLH1
ACH-000957,-0.2727333972983396,LS 180,Colorectal Adenocarcinoma,Bowel,False,FOLH1
ACH-000960,-0.088464253679124,Reh,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,FOLH1
ACH-000969,-0.5613495344260884,KM12,Colorectal Adenocarcinoma,Bowel,True,FOLH1
ACH-000994,-0.0489206368924306,HEC-59,Endometrial Carcinoma,Uterus,False,FOLH1
ACH-001228,-0.1081125918875987,UPCI-SCC-152,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,FOLH1
ACH-001329,-0.0766691766460614,ANGM-CSS,Diffuse Glioma,CNS/Brain,False,FOLH1
ACH-001374,0.1188397130237141,PA-1 [PA1],Ovarian Germ Cell Tumor,Ovary/Fallopian Tube,False,FOLH1
ACH-001393,-0.2802371789202769,SUM-190PT,Invasive Breast Carcinoma,Breast,False,FOLH1
