depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.0398637025748412,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,FOLR1
ACH-000045,-0.1021007830659713,MV4-11,Acute Myeloid Leukemia,Myeloid,False,FOLR1
ACH-000094,0.2099764509468859,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,FOLR1
ACH-000096,-0.1598447138755204,G-401,Rhabdoid Cancer,Kidney,False,FOLR1
ACH-000099,0.0851338412770938,SIMA,Neuroblastoma,Peripheral Nervous System,False,FOLR1
ACH-000167,-0.0234955386050097,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,FOLR1
ACH-000178,-0.0021216829855938,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,FOLR1
ACH-000213,0.0878317247633706,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,FOLR1
ACH-000216,-0.0239873062410771,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,FOLR1
ACH-000223,0.1712467629724616,HCC1937,Invasive Breast Carcinoma,Breast,False,FOLR1
ACH-000247,-0.1449973375228143,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,FOLR1
ACH-000261,0.0914347572244141,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,FOLR1
ACH-000262,-0.0438239482920887,UOK101,Renal Cell Carcinoma,Kidney,False,FOLR1
ACH-000286,0.0884765957114186,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,FOLR1
ACH-000312,-0.1987333510891969,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,FOLR1
ACH-000320,0.1045235371875837,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,FOLR1
ACH-000341,0.1479225321512334,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,FOLR1
ACH-000354,-0.0228507959609777,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,FOLR1
ACH-000373,0.0639719080532085,SKM-1,Acute Myeloid Leukemia,Myeloid,False,FOLR1
ACH-000402,0.1107794922526202,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,FOLR1
ACH-000416,0.0311850643516404,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,FOLR1
ACH-000435,0.1080465040197799,EFE-184,Endometrial Carcinoma,Uterus,False,FOLR1
ACH-000437,-0.0151036983442515,SW 1088,Diffuse Glioma,CNS/Brain,False,FOLR1
ACH-000450,-0.0197121943849489,MEL-HO,Melanoma,Skin,False,FOLR1
ACH-000478,0.0297853113784396,SNU-387,Hepatocellular Carcinoma,Liver,False,FOLR1
ACH-000483,-0.0691104744817764,SNU-182,Hepatocellular Carcinoma,Liver,False,FOLR1
ACH-000493,0.0160980223481193,SNU-423,Hepatocellular Carcinoma,Liver,False,FOLR1
ACH-000514,0.1325032838628267,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,FOLR1
ACH-000516,0.0343511778719716,CAL-78,Chondrosarcoma,Bone,False,FOLR1
ACH-000535,-0.1089297730442135,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,FOLR1
ACH-000544,-0.0922218152464521,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,FOLR1
ACH-000563,0.0540965608040941,EBC-1,Non-Small Cell Lung Cancer,Lung,False,FOLR1
ACH-000592,0.0839766208910222,TM-31,Diffuse Glioma,CNS/Brain,False,FOLR1
ACH-000599,0.1643802774987613,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,FOLR1
ACH-000614,0.1388708676738443,RVH-421,Melanoma,Skin,False,FOLR1
ACH-000618,-0.0223539394402071,SNU-1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,FOLR1
ACH-000652,0.1005627335255703,SUIT-2,Pancreatic Adenocarcinoma,Pancreas,False,FOLR1
ACH-000656,-0.0467117280533921,SU-DHL-8,Mature B-Cell Neoplasms,Lymphoid,False,FOLR1
ACH-000695,0.1828829070917414,COR-L47,Lung Neuroendocrine Tumor,Lung,False,FOLR1
ACH-000717,-0.2331418292559745,COLO-680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,FOLR1
ACH-000719,-0.0095628519820764,RMG-I,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,FOLR1
ACH-000748,0.0259682347348152,SJSA-1,Osteosarcoma,Bone,False,FOLR1
ACH-000777,0.1132491649599973,KYSE-30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,FOLR1
ACH-000784,0.0403743945602827,KYSE-70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,FOLR1
