depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,0.0418830607260731,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,GPC3
ACH-000045,-0.0144109900975801,MV4-11,Acute Myeloid Leukemia,Myeloid,False,GPC3
ACH-000094,0.2842013384083183,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,GPC3
ACH-000096,-0.1157830827756777,G-401,Rhabdoid Cancer,Kidney,False,GPC3
ACH-000099,0.0588950718800262,SIMA,Neuroblastoma,Peripheral Nervous System,False,GPC3
ACH-000167,-0.0153398159705562,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,GPC3
ACH-000178,0.0061266895944478,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,GPC3
ACH-000213,0.0925939669062321,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,GPC3
ACH-000216,0.1970104962722471,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,GPC3
ACH-000223,0.2171956204887671,HCC1937,Invasive Breast Carcinoma,Breast,False,GPC3
ACH-000247,0.0621064769746989,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,GPC3
ACH-000261,0.0288110367114491,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,GPC3
ACH-000262,0.1554398614569308,UOK101,Renal Cell Carcinoma,Kidney,False,GPC3
ACH-000286,-0.0987333904419396,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,GPC3
ACH-000312,0.2444804186065318,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,GPC3
ACH-000320,0.1574707265975876,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,GPC3
ACH-000341,0.0256835737811234,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,GPC3
ACH-000354,0.1744948022941373,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,GPC3
ACH-000373,0.4925120696185123,SKM-1,Acute Myeloid Leukemia,Myeloid,False,GPC3
ACH-000402,0.1451349482074073,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,GPC3
ACH-000416,0.0868459032638619,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,GPC3
ACH-000435,0.2878426835811907,EFE-184,Endometrial Carcinoma,Uterus,False,GPC3
ACH-000437,0.1933227467712758,SW 1088,Diffuse Glioma,CNS/Brain,False,GPC3
ACH-000450,0.1326828332889041,MEL-HO,Melanoma,Skin,False,GPC3
ACH-000478,0.1926723338971139,SNU-387,Hepatocellular Carcinoma,Liver,False,GPC3
