depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.1229120674439362,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000045,-0.1200281991764967,MV4-11,Acute Myeloid Leukemia,Myeloid,False,GRPR
ACH-000094,0.2360939542281971,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,GRPR
ACH-000096,0.0326693180136848,G-401,Rhabdoid Cancer,Kidney,False,GRPR
ACH-000099,-0.0369191504439336,SIMA,Neuroblastoma,Peripheral Nervous System,False,GRPR
ACH-000167,-0.0596964177736744,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,GRPR
ACH-000178,-0.2207949492535095,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,GRPR
ACH-000213,0.2366198674919398,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,GRPR
ACH-000216,0.0976115408320852,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,GRPR
ACH-000223,0.0399163264299093,HCC1937,Invasive Breast Carcinoma,Breast,False,GRPR
ACH-000247,-0.1464796312024304,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,GRPR
ACH-000261,-0.0741431417513202,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000262,-0.2024339496395377,UOK101,Renal Cell Carcinoma,Kidney,False,GRPR
ACH-000286,0.3253389101009961,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,GRPR
ACH-000312,0.073399004418362,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,GRPR
ACH-000320,0.0759913355049455,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,GRPR
ACH-000341,-0.0563388447938691,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,GRPR
ACH-000354,-0.0749026016724639,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,GRPR
ACH-000373,0.0063592419538625,SKM-1,Acute Myeloid Leukemia,Myeloid,False,GRPR
ACH-000402,-0.1208085480780643,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,GRPR
ACH-000416,0.0381407142921804,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000435,-0.1567043047325085,EFE-184,Endometrial Carcinoma,Uterus,False,GRPR
ACH-000437,0.0160700063469223,SW 1088,Diffuse Glioma,CNS/Brain,False,GRPR
ACH-000450,0.0845760943618318,MEL-HO,Melanoma,Skin,False,GRPR
ACH-000478,0.0455834106913858,SNU-387,Hepatocellular Carcinoma,Liver,False,GRPR
ACH-000483,0.0906643979840513,SNU-182,Hepatocellular Carcinoma,Liver,False,GRPR
ACH-000493,0.1674194397282616,SNU-423,Hepatocellular Carcinoma,Liver,False,GRPR
ACH-000514,0.1422587629502379,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,GRPR
ACH-000516,0.0581934173790564,CAL-78,Chondrosarcoma,Bone,False,GRPR
ACH-000535,-0.0001899738682379,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,GRPR
ACH-000544,0.0516657736634149,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,GRPR
ACH-000563,0.0117197075080124,EBC-1,Non-Small Cell Lung Cancer,Lung,False,GRPR
ACH-000592,0.0076148502027072,TM-31,Diffuse Glioma,CNS/Brain,False,GRPR
ACH-000599,-0.0699222181569932,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,GRPR
