depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.1190900607777187,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,MET
ACH-000045,-0.027057532675242,MV4-11,Acute Myeloid Leukemia,Myeloid,False,MET
ACH-000094,0.0835241262181082,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,MET
ACH-000096,-0.1631492206006139,G-401,Rhabdoid Cancer,Kidney,False,MET
ACH-000099,0.1244039189704738,SIMA,Neuroblastoma,Peripheral Nervous System,False,MET
ACH-000167,0.0322099005970458,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,MET
ACH-000178,-0.022927168958045,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,MET
ACH-000213,-0.0064752359191576,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,MET
ACH-000216,-0.049477309990503,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,MET
ACH-000223,-0.0159989897630028,HCC1937,Invasive Breast Carcinoma,Breast,False,MET
ACH-000247,0.0422170105489426,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,MET
ACH-000261,-0.0232600523904273,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,MET
ACH-000262,-0.0186921760792275,UOK101,Renal Cell Carcinoma,Kidney,False,MET
ACH-000286,0.0115092219339493,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,MET
ACH-000312,0.0312889191633441,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,MET
ACH-000320,0.0889315354078358,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,MET
ACH-000341,0.0489224122896141,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,MET
ACH-000354,0.0772342434117834,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,MET
ACH-000373,-0.0186198178997613,SKM-1,Acute Myeloid Leukemia,Myeloid,False,MET
ACH-000402,0.0213779996581614,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,MET
ACH-000416,0.0200871442357375,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,MET
ACH-000435,-0.1567900952048612,EFE-184,Endometrial Carcinoma,Uterus,False,MET
ACH-000437,-0.2366094481764502,SW 1088,Diffuse Glioma,CNS/Brain,False,MET
ACH-000450,-0.0029333166829015,MEL-HO,Melanoma,Skin,False,MET
ACH-000478,-0.053678918739134,SNU-387,Hepatocellular Carcinoma,Liver,False,MET
ACH-000483,-0.0719508880793157,SNU-182,Hepatocellular Carcinoma,Liver,False,MET
ACH-000493,-0.0465630741734358,SNU-423,Hepatocellular Carcinoma,Liver,False,MET
ACH-000514,0.0292607705694803,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,MET
ACH-000516,-0.0662392114892474,CAL-78,Chondrosarcoma,Bone,False,MET
ACH-000535,0.0431385573314282,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,MET
ACH-000544,-0.0771903671374248,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,MET
