depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,0.1344988290403668,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000045,0.0445944545871189,MV4-11,Acute Myeloid Leukemia,Myeloid,False,MSLN
ACH-000094,-0.0469432571463918,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,MSLN
ACH-000096,0.0659025613681981,G-401,Rhabdoid Cancer,Kidney,False,MSLN
ACH-000099,-0.0158384625662047,SIMA,Neuroblastoma,Peripheral Nervous System,False,MSLN
ACH-000167,-0.0252698201170693,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,MSLN
ACH-000178,0.103026783118121,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,MSLN
ACH-000213,0.083613693119222,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,MSLN
ACH-000216,0.0856211946138849,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,MSLN
ACH-000223,0.1200122456074565,HCC1937,Invasive Breast Carcinoma,Breast,False,MSLN
ACH-000247,0.097317285039506,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,MSLN
ACH-000261,0.1201044762643212,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000262,0.2483099917951469,UOK101,Renal Cell Carcinoma,Kidney,False,MSLN
ACH-000286,0.1060670948312455,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,MSLN
ACH-000312,0.0025451569785476,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,MSLN
ACH-000320,0.0518205967325863,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,MSLN
ACH-000341,0.0931069037394217,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,MSLN
ACH-000354,-0.1110847328354146,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,MSLN
ACH-000373,0.0625268418064315,SKM-1,Acute Myeloid Leukemia,Myeloid,False,MSLN
ACH-000402,0.0442327520253873,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,MSLN
ACH-000416,0.0705942608070586,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000435,-0.0462110320306745,EFE-184,Endometrial Carcinoma,Uterus,False,MSLN
ACH-000437,0.0110722319170112,SW 1088,Diffuse Glioma,CNS/Brain,False,MSLN
ACH-000450,0.0219877049466404,MEL-HO,Melanoma,Skin,False,MSLN
ACH-000478,0.0703602454204245,SNU-387,Hepatocellular Carcinoma,Liver,False,MSLN
ACH-000483,0.153751612505686,SNU-182,Hepatocellular Carcinoma,Liver,False,MSLN
ACH-000493,0.1985776408774298,SNU-423,Hepatocellular Carcinoma,Liver,False,MSLN
ACH-000514,0.005194610392958,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,MSLN
ACH-000516,0.1323568386595304,CAL-78,Chondrosarcoma,Bone,False,MSLN
ACH-000535,-0.1142228152388198,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,MSLN
ACH-000544,0.1546818835245342,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,MSLN
ACH-000563,-0.0584322307654413,EBC-1,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000592,0.0696943902821966,TM-31,Diffuse Glioma,CNS/Brain,False,MSLN
ACH-000599,0.1028271165365062,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,MSLN
ACH-000614,-0.0544518033219678,RVH-421,Melanoma,Skin,False,MSLN
