depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.2933469724841095,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,NECTIN4
ACH-000045,-0.1739366846615669,MV4-11,Acute Myeloid Leukemia,Myeloid,False,NECTIN4
ACH-000094,0.0665463631388915,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,NECTIN4
ACH-000096,-0.3572050293309136,G-401,Rhabdoid Cancer,Kidney,False,NECTIN4
ACH-000099,-0.1429530289444713,SIMA,Neuroblastoma,Peripheral Nervous System,False,NECTIN4
ACH-000167,-0.1651198315684197,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,NECTIN4
ACH-000178,-0.0399587454551136,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,NECTIN4
ACH-000213,1.2536103966231948e-05,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,NECTIN4
ACH-000216,-0.0314635207708552,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,NECTIN4
ACH-000223,-0.1360891028540953,HCC1937,Invasive Breast Carcinoma,Breast,False,NECTIN4
ACH-000247,-0.3459843456398898,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,NECTIN4
ACH-000261,-0.1214508989797587,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,NECTIN4
ACH-000262,-0.2156751341266947,UOK101,Renal Cell Carcinoma,Kidney,False,NECTIN4
ACH-000286,-0.0828506842431172,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,NECTIN4
ACH-000312,-0.1167876548563785,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,NECTIN4
ACH-000320,-0.0301798208782687,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,NECTIN4
ACH-000341,-0.2472947858193842,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,NECTIN4
ACH-000354,-0.0443726277995243,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,NECTIN4
ACH-000373,-0.0424544397650371,SKM-1,Acute Myeloid Leukemia,Myeloid,False,NECTIN4
ACH-000402,-0.098327594665735,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,NECTIN4
ACH-000416,-0.1720817180727687,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,NECTIN4
ACH-000435,-0.2257345328220314,EFE-184,Endometrial Carcinoma,Uterus,False,NECTIN4
ACH-000437,-0.1328596914317862,SW 1088,Diffuse Glioma,CNS/Brain,False,NECTIN4
ACH-000450,0.0112212914941948,MEL-HO,Melanoma,Skin,False,NECTIN4
ACH-000478,-0.104348138716731,SNU-387,Hepatocellular Carcinoma,Liver,False,NECTIN4
ACH-000483,-0.0871224242771214,SNU-182,Hepatocellular Carcinoma,Liver,False,NECTIN4
ACH-000493,-0.1878449702476895,SNU-423,Hepatocellular Carcinoma,Liver,False,NECTIN4
ACH-000514,-0.1431033644378018,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,NECTIN4
ACH-000516,-0.0507249962795886,CAL-78,Chondrosarcoma,Bone,False,NECTIN4
ACH-000535,0.0035223587734562,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,NECTIN4
ACH-000544,-0.1234118399475937,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,NECTIN4
ACH-000563,-0.3607826349907891,EBC-1,Non-Small Cell Lung Cancer,Lung,False,NECTIN4
ACH-000592,-0.0749977951777552,TM-31,Diffuse Glioma,CNS/Brain,False,NECTIN4
ACH-000599,-0.0430250338075847,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,NECTIN4
ACH-000614,-0.1511578932573042,RVH-421,Melanoma,Skin,False,NECTIN4
ACH-000618,-0.1622924804807293,SNU-1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,NECTIN4
ACH-000652,-0.0446303908599551,SUIT-2,Pancreatic Adenocarcinoma,Pancreas,False,NECTIN4
ACH-000656,-0.3049232122419666,SU-DHL-8,Mature B-Cell Neoplasms,Lymphoid,False,NECTIN4
ACH-000695,0.0365098146502491,COR-L47,Lung Neuroendocrine Tumor,Lung,False,NECTIN4
ACH-000717,0.084579544039599,COLO-680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,NECTIN4
ACH-000719,-0.1492486009953514,RMG-I,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,NECTIN4
ACH-000748,-0.1421550309861048,SJSA-1,Osteosarcoma,Bone,False,NECTIN4
ACH-000777,-0.03802341184435,KYSE-30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,NECTIN4
ACH-000784,-0.2240640742383779,KYSE-70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,NECTIN4
ACH-000793,-0.1162816774606784,KATO III,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,NECTIN4
ACH-000798,-0.239463586413096,CL-40,Colorectal Adenocarcinoma,Bowel,False,NECTIN4
ACH-000820,-0.1581299653613735,SW403,Colorectal Adenocarcinoma,Bowel,False,NECTIN4
ACH-000839,0.0530816830534539,SCaBER,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,False,NECTIN4
ACH-000862,-0.2383657864595307,KMBC-2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,NECTIN4
ACH-000872,-0.1735754188813197,HCC515,Non-Small Cell Lung Cancer,Lung,False,NECTIN4
ACH-000876,-0.2141057622738933,MDA-MB-415,Invasive Breast Carcinoma,Breast,False,NECTIN4
ACH-000888,-0.0377026745742338,NCI-H1793,Non-Small Cell Lung Cancer,Lung,False,NECTIN4
ACH-000906,-0.1366026806065507,ES-2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,NECTIN4
ACH-000912,-0.205855840576617,NCI-H2286,Lung Neuroendocrine Tumor,Lung,False,NECTIN4
ACH-000913,-0.088023600788197,ESS-1,Uterine Sarcoma/Mesenchymal,Uterus,False,NECTIN4
ACH-000922,-0.1090142922314985,RCH-ACV,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,NECTIN4
ACH-000928,-0.1371145241816846,JHUEM-1,Endometrial Carcinoma,Uterus,False,NECTIN4
ACH-000934,-0.159658912527965,MDA-MB-361,Invasive Breast Carcinoma,Breast,False,NECTIN4
ACH-000937,-0.0991635406282158,PF-382,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,NECTIN4
ACH-000943,-0.2329858106899112,RKO,Colorectal Adenocarcinoma,Bowel,False,NECTIN4
ACH-000950,-0.0945200163701305,LoVo,Colorectal Adenocarcinoma,Bowel,False,NECTIN4
ACH-000953,-0.2218827400615702,SUP-T1,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,NECTIN4
ACH-000957,-0.1357209351322212,LS 180,Colorectal Adenocarcinoma,Bowel,False,NECTIN4
ACH-000960,-0.0721425247153136,Reh,B-Cell Acute Lymphoblastic Leukemia,Lymphoid,False,NECTIN4
ACH-000969,-0.3820589215015568,KM12,Colorectal Adenocarcinoma,Bowel,False,NECTIN4
ACH-000994,-0.0851758274604382,HEC-59,Endometrial Carcinoma,Uterus,False,NECTIN4
ACH-001228,-0.1454944574963879,UPCI-SCC-152,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,NECTIN4
ACH-001329,-0.1354111812751752,ANGM-CSS,Diffuse Glioma,CNS/Brain,False,NECTIN4
ACH-001374,0.0550315584129112,PA-1 [PA1],Ovarian Germ Cell Tumor,Ovary/Fallopian Tube,False,NECTIN4
