depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.079332804980948,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,SSTR2
ACH-000045,0.0220433466405288,MV4-11,Acute Myeloid Leukemia,Myeloid,False,SSTR2
ACH-000094,-0.1251659107874059,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,SSTR2
ACH-000096,-0.0710971056028742,G-401,Rhabdoid Cancer,Kidney,False,SSTR2
ACH-000099,-0.4028467993857494,SIMA,Neuroblastoma,Peripheral Nervous System,False,SSTR2
ACH-000167,0.0068235780092898,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,SSTR2
ACH-000178,-0.1638735720983288,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,SSTR2
ACH-000213,-0.1285829641805627,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,SSTR2
ACH-000216,-0.0452315874943948,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,SSTR2
ACH-000223,-0.1917947057268708,HCC1937,Invasive Breast Carcinoma,Breast,False,SSTR2
ACH-000247,-0.1790081368890143,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,SSTR2
ACH-000261,-0.1317628978221214,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,SSTR2
ACH-000262,-0.0907284250997796,UOK101,Renal Cell Carcinoma,Kidney,False,SSTR2
ACH-000286,-0.0117114821796584,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,SSTR2
ACH-000312,-0.2780241139132238,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,SSTR2
ACH-000320,-0.1462052216195659,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,SSTR2
ACH-000341,-0.0721886941803342,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,SSTR2
ACH-000354,-0.2770732330674449,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,SSTR2
ACH-000373,-0.4849892873278896,SKM-1,Acute Myeloid Leukemia,Myeloid,False,SSTR2
ACH-000402,-0.1682587917860628,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,SSTR2
ACH-000416,-0.238257679609943,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,SSTR2
ACH-000435,-0.0439863762928255,EFE-184,Endometrial Carcinoma,Uterus,False,SSTR2
ACH-000437,-0.1152937627357297,SW 1088,Diffuse Glioma,CNS/Brain,False,SSTR2
ACH-000450,-0.1177303452121269,MEL-HO,Melanoma,Skin,False,SSTR2
ACH-000478,-0.0678037767630879,SNU-387,Hepatocellular Carcinoma,Liver,False,SSTR2
ACH-000483,-0.0490261091619681,SNU-182,Hepatocellular Carcinoma,Liver,False,SSTR2
ACH-000493,0.0011156374036719,SNU-423,Hepatocellular Carcinoma,Liver,False,SSTR2
ACH-000514,-0.1484319121068356,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,SSTR2
