depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,0.1108677487093642,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,STEAP1
ACH-000045,0.1277084841993713,MV4-11,Acute Myeloid Leukemia,Myeloid,False,STEAP1
ACH-000094,,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,STEAP1
ACH-000096,0.2045623884072386,G-401,Rhabdoid Cancer,Kidney,False,STEAP1
ACH-000099,0.2958580364763492,SIMA,Neuroblastoma,Peripheral Nervous System,False,STEAP1
ACH-000167,0.2384771816120185,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,STEAP1
ACH-000178,0.2396813232362185,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,STEAP1
ACH-000213,,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,STEAP1
ACH-000216,0.055409706493672,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,STEAP1
ACH-000223,0.1259836797849277,HCC1937,Invasive Breast Carcinoma,Breast,False,STEAP1
ACH-000247,0.2858561168249091,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,STEAP1
ACH-000261,0.1027196111271088,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,STEAP1
ACH-000262,0.1373266399767648,UOK101,Renal Cell Carcinoma,Kidney,False,STEAP1
ACH-000286,0.186428299487236,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,STEAP1
ACH-000312,0.2173023168147401,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,STEAP1
ACH-000320,0.3126198497679635,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,STEAP1
ACH-000341,0.1962627058355282,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,STEAP1
ACH-000354,,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,STEAP1
ACH-000373,0.52935656609192,SKM-1,Acute Myeloid Leukemia,Myeloid,False,STEAP1
ACH-000402,0.138741608903419,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,STEAP1
ACH-000416,0.1436487113483398,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,STEAP1
ACH-000435,0.0589353677656599,EFE-184,Endometrial Carcinoma,Uterus,False,STEAP1
ACH-000437,0.1679972398192887,SW 1088,Diffuse Glioma,CNS/Brain,False,STEAP1
ACH-000450,0.0426459830290737,MEL-HO,Melanoma,Skin,False,STEAP1
ACH-000478,0.1087288230631002,SNU-387,Hepatocellular Carcinoma,Liver,False,STEAP1
ACH-000483,0.0399601326136286,SNU-182,Hepatocellular Carcinoma,Liver,False,STEAP1
ACH-000493,0.2896770294146897,SNU-423,Hepatocellular Carcinoma,Liver,False,STEAP1
ACH-000514,-0.0030519839489413,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,STEAP1
ACH-000516,0.1045555285790944,CAL-78,Chondrosarcoma,Bone,False,STEAP1
ACH-000535,0.2030057590598068,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,STEAP1
ACH-000544,0.2244399457913148,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,STEAP1
ACH-000563,0.4662274146905242,EBC-1,Non-Small Cell Lung Cancer,Lung,False,STEAP1
ACH-000592,0.0938983550029367,TM-31,Diffuse Glioma,CNS/Brain,False,STEAP1
ACH-000599,0.0258109181569279,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,STEAP1
ACH-000614,0.0829513506077544,RVH-421,Melanoma,Skin,False,STEAP1
ACH-000618,0.0821268018673712,SNU-1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,STEAP1
ACH-000652,0.1031311086384501,SUIT-2,Pancreatic Adenocarcinoma,Pancreas,False,STEAP1
ACH-000656,,SU-DHL-8,Mature B-Cell Neoplasms,Lymphoid,False,STEAP1
ACH-000695,0.1477103732147249,COR-L47,Lung Neuroendocrine Tumor,Lung,False,STEAP1
ACH-000717,,COLO-680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,STEAP1
ACH-000719,0.0687744211295698,RMG-I,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,STEAP1
ACH-000748,0.1307622268402835,SJSA-1,Osteosarcoma,Bone,False,STEAP1
ACH-000777,0.1751490720538758,KYSE-30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,STEAP1
ACH-000784,0.2206373029427549,KYSE-70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,STEAP1
ACH-000793,0.1060271823139718,KATO III,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,STEAP1
ACH-000798,0.0496462078718855,CL-40,Colorectal Adenocarcinoma,Bowel,False,STEAP1
ACH-000820,0.399421689550953,SW403,Colorectal Adenocarcinoma,Bowel,False,STEAP1
ACH-000839,0.1368909168927208,SCaBER,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,False,STEAP1
ACH-000862,0.1558438735689775,KMBC-2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,STEAP1
ACH-000872,0.1713309098228858,HCC515,Non-Small Cell Lung Cancer,Lung,False,STEAP1
