depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-000015,-0.169415867913042,NCI-H1581,Non-Small Cell Lung Cancer,Lung,False,TACSTD2
ACH-000045,0.0595010560189299,MV4-11,Acute Myeloid Leukemia,Myeloid,False,TACSTD2
ACH-000094,-0.2363670261176464,HPAF-II,Pancreatic Adenocarcinoma,Pancreas,False,TACSTD2
ACH-000096,0.1203133833393749,G-401,Rhabdoid Cancer,Kidney,False,TACSTD2
ACH-000099,-0.159126963545704,SIMA,Neuroblastoma,Peripheral Nervous System,False,TACSTD2
ACH-000167,0.0329216836144235,KE-97,Mature B-Cell Neoplasms,Lymphoid,False,TACSTD2
ACH-000178,0.0146491079807592,Hs 766T,Pancreatic Adenocarcinoma,Pancreas,False,TACSTD2
ACH-000213,-0.0089712729144663,HUP-T4,Pancreatic Adenocarcinoma,Pancreas,False,TACSTD2
ACH-000216,-0.1583159936340788,JH-EsoAd1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,TACSTD2
ACH-000223,-0.2316664183833626,HCC1937,Invasive Breast Carcinoma,Breast,False,TACSTD2
ACH-000247,0.1240641969836654,OCUM-1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,TACSTD2
ACH-000261,0.2770535679010193,RERF-LC-AI,Non-Small Cell Lung Cancer,Lung,False,TACSTD2
ACH-000262,-0.1982042488035895,UOK101,Renal Cell Carcinoma,Kidney,False,TACSTD2
ACH-000286,-0.1972717458536003,SNU-1033,Colorectal Adenocarcinoma,Bowel,False,TACSTD2
ACH-000312,-0.1129580603133542,SK-N-BE(2),Neuroblastoma,Peripheral Nervous System,False,TACSTD2
ACH-000320,-0.1779798828621495,PSN1,Pancreatic Adenocarcinoma,Pancreas,False,TACSTD2
ACH-000341,-0.1974380249130382,SK-N-FI,Neuroblastoma,Peripheral Nervous System,False,TACSTD2
ACH-000354,-0.2204611603118303,Capan-1,Pancreatic Adenocarcinoma,Pancreas,False,TACSTD2
ACH-000373,0.0224745709581583,SKM-1,Acute Myeloid Leukemia,Myeloid,False,TACSTD2
ACH-000402,-0.2090296521622829,BL-70,Mature B-Cell Neoplasms,Lymphoid,False,TACSTD2
ACH-000416,-0.0935528493753586,NCI-H838,Non-Small Cell Lung Cancer,Lung,False,TACSTD2
ACH-000435,-0.39369397147794,EFE-184,Endometrial Carcinoma,Uterus,False,TACSTD2
ACH-000437,-0.0656784587128202,SW 1088,Diffuse Glioma,CNS/Brain,False,TACSTD2
ACH-000450,0.1107675899480106,MEL-HO,Melanoma,Skin,False,TACSTD2
ACH-000478,-0.0912729966924289,SNU-387,Hepatocellular Carcinoma,Liver,False,TACSTD2
ACH-000483,-0.1160332326275271,SNU-182,Hepatocellular Carcinoma,Liver,False,TACSTD2
ACH-000493,-0.1141212606426293,SNU-423,Hepatocellular Carcinoma,Liver,False,TACSTD2
ACH-000514,-0.0292330903340834,NCI-H1092,Lung Neuroendocrine Tumor,Lung,False,TACSTD2
ACH-000516,-0.3289161034939978,CAL-78,Chondrosarcoma,Bone,False,TACSTD2
ACH-000535,-0.2551954697445132,BxPC-3,Pancreatic Adenocarcinoma,Pancreas,False,TACSTD2
ACH-000544,-0.0355612861343832,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,TACSTD2
ACH-000563,0.0109117575432686,EBC-1,Non-Small Cell Lung Cancer,Lung,False,TACSTD2
ACH-000592,-0.3113688296681836,TM-31,Diffuse Glioma,CNS/Brain,False,TACSTD2
ACH-000599,-0.1190449142192403,PA-TU-8902,Pancreatic Adenocarcinoma,Pancreas,False,TACSTD2
ACH-000614,0.1084023808353764,RVH-421,Melanoma,Skin,False,TACSTD2
ACH-000618,-0.0489842882328707,SNU-1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,TACSTD2
ACH-000652,-0.3839523925532521,SUIT-2,Pancreatic Adenocarcinoma,Pancreas,False,TACSTD2
ACH-000656,-0.2207740339862558,SU-DHL-8,Mature B-Cell Neoplasms,Lymphoid,False,TACSTD2
ACH-000695,-0.2624010112814331,COR-L47,Lung Neuroendocrine Tumor,Lung,False,TACSTD2
ACH-000717,-0.2275552116890899,COLO-680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,TACSTD2
ACH-000719,-0.0661191399462024,RMG-I,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,TACSTD2
ACH-000748,-0.1975515956075011,SJSA-1,Osteosarcoma,Bone,False,TACSTD2
ACH-000777,0.1026082020493198,KYSE-30,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,TACSTD2
ACH-000784,-0.0509507854941464,KYSE-70,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,TACSTD2
ACH-000793,-0.2399123311248666,KATO III,Esophagogastric Adenocarcinoma,Esophagus/Stomach,False,TACSTD2
ACH-000798,-0.3177227091430252,CL-40,Colorectal Adenocarcinoma,Bowel,False,TACSTD2
ACH-000820,-0.2246020085783755,SW403,Colorectal Adenocarcinoma,Bowel,False,TACSTD2
ACH-000839,-0.0310162774972652,SCaBER,Bladder Squamous Cell Carcinoma,Bladder/Urinary Tract,False,TACSTD2
ACH-000862,-0.1115158965268397,KMBC-2,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,TACSTD2
ACH-000872,-0.0585340514828859,HCC515,Non-Small Cell Lung Cancer,Lung,False,TACSTD2
ACH-000876,-0.237294413901733,MDA-MB-415,Invasive Breast Carcinoma,Breast,False,TACSTD2
ACH-000888,-0.1580537711829769,NCI-H1793,Non-Small Cell Lung Cancer,Lung,False,TACSTD2
ACH-000906,-0.219570514918329,ES-2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,False,TACSTD2
