cancer_type,dll3_mean,dll3_median,dll3_std,n_samples,expression_rank,gene_median,gene_mean
LGG,11.380409836065574,11.885000000000002,1.9231686136677322,122,1,11.885000000000002,11.380409836065574
GBM,8.639375,8.605,2.3993936566046927,32,2,8.605,8.639375
TGCT,8.037931034482758,8.24,1.9234979872140126,87,3,8.24,8.037931034482758
SKCM,7.4394262295081965,7.265,2.5090663039571988,122,4,7.265,7.4394262295081965
CESC,4.371782178217822,4.76,2.0864224864775616,101,5,4.76,4.371782178217822
OV,4.218488372093024,4.115,1.885089180253884,86,6,4.115,4.218488372093024
HNSC,2.934035087719298,2.875,1.682728883193362,114,7,2.875,2.934035087719298
ACC,2.940759493670886,2.81,2.314877064992979,79,8,2.81,2.940759493670886
UCEC,2.9482644628099175,2.79,2.4467862179077375,121,9,2.79,2.9482644628099175
BLCA,2.722695652173913,2.32,2.363056421707682,115,10,2.32,2.722695652173913
LUSC,2.6919642857142856,2.125,2.3598737048639844,168,11,2.125,2.6919642857142856
PCPG,2.6460784313725494,2.11,2.4181999708608064,153,12,2.11,2.6460784313725494
PRAD,2.2855,2.105,1.4478480235753575,160,13,2.105,2.2855
THCA,2.3584276729559748,2.02,1.8741845600968197,159,14,2.02,2.3584276729559748
SARC,2.2360740740740743,1.89,1.873040905393701,135,15,1.89,2.2360740740740743
LUAD,2.829943181818182,1.885,2.8103643886075056,176,16,1.885,2.829943181818182
COAD,1.8875342465753424,1.5350000000000001,1.6774107969062633,146,17,1.5350000000000001,1.8875342465753424
PAAD,1.5007766990291262,1.22,1.099455916530044,103,18,1.22,1.5007766990291262
BRCA,1.5703623188405798,1.1549999999999998,1.5498318295491402,138,19,1.1549999999999998,1.5703623188405798
KIRP,1.8928676470588235,1.1349999999999998,2.014667294686363,136,20,1.1349999999999998,1.8928676470588235
THYM,1.3168595041322315,1.12,1.0573788607194767,121,21,1.12,1.3168595041322315
STAD,1.4095454545454547,0.765,2.05756947834659,132,22,0.765,1.4095454545454547
LAML,0.8296319018404907,0.08,2.140018140447675,163,23,0.08,0.8296319018404907
KIRC,0.6123489932885906,0.0,1.1456636158244615,149,24,0.0,0.6123489932885906
LIHC,0.4057553956834532,0.0,0.9952095245254551,139,25,0.0,0.4057553956834532
