cancer_type,endpoint,n_high,n_low,log_rank_p,log_rank_stat,significant,hazard_ratio,hr_lower_95,hr_upper_95,p_value,n_samples
ACC,OS,47.0,32.0,0.01635750622898929,5.764030633633024,True,,,,,
ACC,OS,,,,,True,1.2496676760613121,1.049053562669646,1.4886459149124123,0.012548333271027844,79.0
ACC,PFI,47.0,32.0,0.0056308718528927226,7.664793053630946,True,,,,,
BLCA,OS,58.0,57.0,0.8730398733907726,0.025535533149890603,False,,,,,
BLCA,OS,,,,,False,0.9735473675059327,0.8753312474936025,1.0827837798451936,0.6212378093822581,115.0
BLCA,PFI,58.0,57.0,0.3504591399138547,0.8717939712824091,False,,,,,
BRCA,OS,39.0,99.0,0.874374658839963,0.024996951010864635,False,,,,,
BRCA,OS,,,,,False,0.9812869124448046,0.8415536745731652,1.1442217337163327,0.8095387047449286,138.0
BRCA,PFI,39.0,99.0,0.6730594127259782,0.17804423114564524,False,,,,,
CESC,OS,,,,,False,0.8812381642957514,0.7433990506938005,1.0446350469328383,0.1451736231705876,101.0
COAD,OS,50.0,96.0,0.18311957110080138,1.7721229034048507,False,,,,,
COAD,OS,,,,,True,1.2227462758003165,1.013090035980123,1.475790306768823,0.03612846498084168,146.0
COAD,PFI,50.0,96.0,0.1713127145066023,1.8714184199012156,False,,,,,
HNSC,OS,68.0,46.0,0.36036203082782525,0.8366311975287694,False,,,,,
HNSC,OS,,,,,False,0.9855671730746521,0.8469223793854701,1.1469087088561423,0.850920111969808,114.0
HNSC,PFI,68.0,46.0,0.9075044689255521,0.013499381011199987,False,,,,,
KIRC,OS,,,,,False,1.1142705096663494,0.8649022998845968,1.4355364402173192,0.4025403825612828,149.0
KIRP,OS,47.0,89.0,0.02096830103965706,5.329425061897797,True,,,,,
KIRP,OS,,,,,True,1.3949685926706779,1.1708514528353995,1.6619848485691506,0.00019523607399639118,136.0
KIRP,PFI,47.0,89.0,0.06983443604707497,3.286907530228806,False,,,,,
LAML,OS,28.0,135.0,8.064495128377515e-05,15.543111643624266,True,,,,,
LAML,OS,,,,,True,0.829241545278884,0.7417163828735163,0.9270949871061077,0.0010015692278000346,163.0
LAML,PFI,28.0,135.0,8.064495128377515e-05,15.543111643624266,True,,,,,
LGG,OS,,,,,True,0.8268558032663209,0.7334890114519451,0.9321073781893802,0.0018706080127437734,122.0
LIHC,OS,,,,,False,1.013081075018906,0.8432907528506821,1.2170574159529424,0.8895618423615882,139.0
LUAD,OS,84.0,92.0,0.6900887737063515,0.15898927778522448,False,,,,,
LUAD,OS,,,,,False,0.994389387059071,0.9223044215644004,1.0721083299356933,0.8834960307903249,176.0
LUAD,PFI,84.0,92.0,0.6458025292380849,0.21123322259265764,False,,,,,
LUSC,OS,80.0,88.0,0.052734002869211,3.7523284436332607,False,,,,,
LUSC,OS,,,,,False,0.9192177245328845,0.8332018017267524,1.014113535693623,0.09288401551980116,168.0
LUSC,PFI,80.0,88.0,0.2947316711662087,1.0978807079311816,False,,,,,
OV,OS,,,,,False,1.0193286918282238,0.8986671515232837,1.156191121732925,0.7658364569554361,86.0
PAAD,OS,21.0,82.0,0.37104168074555643,0.8001728984951145,False,,,,,
PAAD,OS,,,,,False,0.9054785332104259,0.7106537862926078,1.1537142134740117,0.42183451753810974,103.0
PAAD,PFI,21.0,82.0,0.17676512160032373,1.8246133110545342,False,,,,,
PCPG,OS,72.0,81.0,1.0,0.0,False,,,,,
PCPG,PFI,72.0,81.0,1.0,0.0,False,,,,,
PRAD,OS,77.0,83.0,0.39263396445458065,0.7307692307692305,False,,,,,
PRAD,OS,,,,,False,4.345308168939345,0.4602516944989425,41.024733442006685,0.19965739549862946,160.0
PRAD,PFI,77.0,83.0,0.33167930558250786,0.9423301528299204,False,,,,,
SARC,OS,60.0,75.0,0.0226650293847235,5.193997114261973,True,,,,,
SARC,OS,,,,,True,1.3418103909479544,1.156724910957066,1.5565110668933535,0.00010338813069947246,135.0
SARC,PFI,60.0,75.0,0.8970410546487824,0.0167443904295181,False,,,,,
SKCM,OS,,,,,False,1.10710811163749,0.9953433682762673,1.2314226526431502,0.060930374801543195,122.0
STAD,OS,32.0,100.0,0.31585656021653774,1.006026882142158,False,,,,,
STAD,OS,,,,,False,1.1257223117769484,0.9851634934281529,1.286335447553667,0.08180601894281946,132.0
STAD,PFI,32.0,100.0,0.2766641851043552,1.1834035648185974,False,,,,,
TGCT,OS,,,,,False,0.944949597393619,0.408992584168936,2.183241887939793,0.8945696402740255,87.0
THCA,OS,78.0,81.0,0.9937171332102844,6.200754786402149e-05,False,,,,,
THCA,OS,,,,,False,0.9954985242724291,0.6716242788874273,1.4755531373437607,0.9820736478094634,159.0
THCA,PFI,78.0,81.0,0.13008242212011775,2.29152063639735,False,,,,,
THYM,OS,24.0,97.0,0.745946398571772,0.10496884097737946,False,,,,,
THYM,OS,,,,,False,0.8158933110026108,0.39868061815217765,1.6697122072904733,0.5776069310153968,121.0
THYM,PFI,24.0,97.0,0.4247916778914478,0.6370207839441918,False,,,,,
UCEC,OS,69.0,52.0,0.038110001406070015,4.300105832747422,True,,,,,
UCEC,OS,,,,,True,1.31286081624853,1.095490466602191,1.5733624119858765,0.0032033965752752535,121.0
UCEC,PFI,69.0,52.0,0.058544676745419154,3.578139754466237,False,,,,,
