cancer_type,egfr_mean,egfr_median,egfr_std,n_samples,expression_rank,gene_median,gene_mean
HNSC,11.698157894736841,11.6,1.1906936817986287,114,1,11.6,11.698157894736841
LGG,11.457704918032785,11.515,1.7380728317321357,122,2,11.515,11.457704918032785
KIRC,10.940402684563757,11.15,1.2481271803670986,149,3,11.15,10.940402684563757
LUSC,10.942976190476191,10.82,1.6907768683629982,168,4,10.82,10.942976190476191
GBM,11.1009375,10.805,2.2666820420691365,32,5,10.805,11.1009375
LIHC,10.011007194244604,10.32,1.2916876360882419,139,6,10.32,10.011007194244604
LUAD,10.204431818181819,10.215,1.3353183530140311,176,7,10.215,10.204431818181819
PRAD,9.89375,10.065000000000001,0.9676319730249335,160,8,10.065000000000001,9.89375
CESC,9.64089108910891,10.03,1.7036819533057812,101,9,10.03,9.64089108910891
BLCA,9.972956521739132,10.0,1.9397359080116812,115,10,10.0,9.972956521739132
THCA,9.654654088050314,9.8,1.173375947326699,159,11,9.8,9.654654088050314
KIRP,9.5175,9.71,1.1542929533797834,136,12,9.71,9.5175
PAAD,9.416699029126214,9.52,0.9398783696335021,103,13,9.52,9.416699029126214
STAD,9.386060606060607,9.445,1.529970192582848,132,14,9.445,9.386060606060607
COAD,9.322260273972603,9.29,0.780565463068343,146,15,9.29,9.322260273972603
THYM,8.621322314049587,8.58,1.7516358745226137,121,16,8.58,8.621322314049587
SARC,8.361333333333333,8.4,1.700790334284044,135,17,8.4,8.361333333333333
UCEC,8.156363636363636,8.29,1.2798990845635705,121,18,8.29,8.156363636363636
BRCA,8.038695652173912,7.955,2.268029089428067,138,19,7.955,8.038695652173912
OV,7.7304651162790705,7.755,1.0824665809016045,86,20,7.755,7.7304651162790705
ACC,7.744177215189873,7.62,1.4528483143819257,79,21,7.62,7.744177215189873
TGCT,7.0728735632183914,7.01,1.5952596260563752,87,22,7.01,7.0728735632183914
SKCM,5.39983606557377,5.135,2.016389041403427,122,23,5.135,5.39983606557377
PCPG,5.265294117647059,5.01,2.057180959092323,153,24,5.01,5.265294117647059
LAML,0.3722699386503067,-0.1,1.4519120218787096,163,25,-0.1,0.3722699386503067
