cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,0.9961647864186036,0.773814949131044,1.2824051574795445,0.9762125079437035,False,79.0,,,,
BLCA,OS,,,,,True,,75.0,40.0,0.008346517896842811,6.957572958325932
BLCA,OS,1.1484016634748937,1.0181558146866911,1.2953089906751991,0.024264161252944238,True,115.0,,,,
BLCA,PFI,,,,,True,,75.0,40.0,0.04443638821118037,4.039902528211623
BRCA,OS,,,,,False,,46.0,92.0,0.10380995793401902,2.646013120426545
BRCA,OS,1.1359943734543954,0.9755964573419902,1.3227633278168744,0.10062347969108791,False,138.0,,,,
BRCA,PFI,,,,,False,,46.0,92.0,0.06356662512742832,3.441794243260139
CESC,OS,,,,,False,,67.0,34.0,0.31528338995548216,1.0084127729825767
CESC,OS,1.3027786296741835,0.9713973971754916,1.747206820679923,0.0773645934595421,False,101.0,,,,
CESC,PFI,,,,,False,,67.0,34.0,0.37036373831049274,0.8024437266794624
COAD,OS,,,,,False,,71.0,75.0,0.26267246830415025,1.2546170823260172
COAD,OS,0.963401785227685,0.6300355720140512,1.4731596770208888,0.8633832582264299,False,146.0,,,,
COAD,PFI,,,,,False,,71.0,75.0,0.21430491819828745,1.542103880869742
HNSC,OS,1.1138084324956288,0.9306953986453408,1.3329487027700586,0.23951575711234516,False,114.0,,,,
KIRC,OS,0.8609640299510442,0.6688300375094262,1.1082921210145193,0.24526736085108353,False,149.0,,,,
KIRP,OS,,,,,False,,79.0,57.0,0.904695552415602,0.014335720975478018
KIRP,OS,1.0758772046525478,0.734133261627003,1.5767052386724398,0.7076231313699801,False,136.0,,,,
KIRP,PFI,,,,,False,,79.0,57.0,0.7582856440673257,0.09469948849854117
LAML,OS,0.8822272674422537,0.7694481104628411,1.0115366336404998,0.07255917269904968,False,163.0,,,,
LGG,OS,1.0833382457295626,0.8950014173155991,1.3113071465076336,0.4113557817652045,False,122.0,,,,
LIHC,OS,,,,,False,,100.0,39.0,0.350830716379153,0.8704501567490175
LIHC,OS,0.857645566561254,0.7346545163676499,1.0012269732975727,0.05184271217931792,False,139.0,,,,
LIHC,PFI,,,,,False,,100.0,39.0,0.6465832076454637,0.21023508697106297
LUAD,OS,,,,,False,,139.0,37.0,0.8958480142254083,0.017136928239361294
LUAD,OS,1.0270985809307904,0.8726038049013901,1.2089467052796745,0.7478448493184591,False,176.0,,,,
LUAD,PFI,,,,,False,,139.0,37.0,0.767497911264085,0.08740851516993581
LUSC,OS,0.9481916461327752,0.8462352374443614,1.0624320023722649,0.35937220243275414,False,168.0,,,,
OV,OS,1.2554490861755612,0.980432517430374,1.6076092744353345,0.07133846380586764,False,86.0,,,,
PAAD,OS,,,,,False,,63.0,40.0,0.11249891435065074,2.5187614312381994
PAAD,OS,1.2363656085540067,0.9241085270793356,1.6541346316176646,0.15312970216942767,False,103.0,,,,
PAAD,PFI,,,,,False,,63.0,40.0,0.09304909256094031,2.820815925144786
PRAD,OS,,,,,False,,117.0,43.0,0.34957480612329794,0.8750000000000001
PRAD,OS,0.5935531618208174,0.09417127466947614,3.7411127453038797,0.5786674398467894,False,160.0,,,,
PRAD,PFI,,,,,False,,117.0,43.0,0.1637938640815394,1.9388462238900381
SARC,OS,,,,,True,,37.0,98.0,0.005412310079432435,7.736249411139214
SARC,OS,1.2641485862970216,1.0417542171497032,1.5340198502955624,0.017581439561584943,True,135.0,,,,
SARC,PFI,,,,,False,,37.0,98.0,0.19930849107290827,1.6474343405696699
SKCM,OS,1.0768761277188572,0.9571163820457665,1.2116208814356173,0.218211269246556,False,122.0,,,,
STAD,OS,,,,,False,,70.0,62.0,0.5596739805042036,0.34026901848875724
STAD,OS,1.1114864182332498,0.9322487676805706,1.3251849728808456,0.2387763449166523,False,132.0,,,,
STAD,PFI,,,,,False,,70.0,62.0,0.9720954056416737,0.001223625243184871
TGCT,OS,0.9455298249491048,0.42513000057883393,2.102948859527736,0.8907674969285638,False,87.0,,,,
THCA,OS,,,,,False,,104.0,55.0,0.33237897599151944,0.9396068278211923
THCA,OS,1.3117804305924785,0.650528997209105,2.645182467603773,0.448213237480385,False,159.0,,,,
THCA,PFI,,,,,False,,104.0,55.0,0.06871489778819788,3.3134546234968054
THYM,OS,,,,,False,,43.0,78.0,0.49107553485441513,0.4741688359176628
THYM,OS,1.1674234798641603,0.7858712369560666,1.7342250450811905,0.4433042949876774,False,121.0,,,,
THYM,PFI,,,,,False,,43.0,78.0,0.5711269700054991,0.32080050079966194
UCEC,OS,1.1438009149391497,0.7893985374194052,1.6573130947170098,0.4776412487307584,False,121.0,,,,
