cancer_type,erbb2_mean,erbb2_median,erbb2_std,n_samples,expression_rank,gene_median,gene_mean
KIRP,12.785220588235294,12.805,0.5599258772528994,136,1,12.805,12.785220588235294
BLCA,12.716,12.79,1.5427543152404344,115,2,12.79,12.716
THCA,12.595283018867924,12.68,0.6023286155957656,159,3,12.68,12.595283018867924
BRCA,12.65391304347826,12.45,1.7072804321889232,138,4,12.45,12.65391304347826
PRAD,12.4319375,12.44,0.4653564223718924,160,5,12.44,12.4319375
UCEC,12.339504132231404,12.38,1.0238862658515588,121,6,12.38,12.339504132231404
LUAD,12.292727272727273,12.33,0.8027463250228326,176,7,12.33,12.292727272727273
COAD,12.2936301369863,12.3,0.6333315089184707,146,8,12.3,12.2936301369863
PAAD,12.153009708737864,12.18,0.7082397884502336,103,9,12.18,12.153009708737864
CESC,12.051881188118813,12.06,0.9824822775717507,101,10,12.06,12.051881188118813
STAD,12.077424242424243,12.04,1.2991462970301726,132,11,12.04,12.077424242424243
OV,12.031511627906978,12.025,0.6134176534061111,86,12,12.025,12.031511627906978
HNSC,11.815175438596492,11.65,0.9084307508698236,114,13,11.65,11.815175438596492
LUSC,11.527738095238096,11.585,0.7524719362391449,168,14,11.585,11.527738095238096
KIRC,11.509060402684563,11.56,0.9003155169776019,149,15,11.56,11.509060402684563
LIHC,10.959928057553958,11.16,1.3058527650781082,139,16,11.16,10.959928057553958
TGCT,10.953563218390805,10.98,0.9979000940480706,87,17,10.98,10.953563218390805
SARC,10.261703703703704,10.4,1.0968860542604033,135,18,10.4,10.261703703703704
SKCM,10.038032786885246,10.32,1.2292083317660514,122,19,10.32,10.038032786885246
GBM,9.87,10.0,0.9715534617468347,32,20,10.0,9.87
THYM,9.566198347107438,9.6,1.4344071110847783,121,21,9.6,9.566198347107438
LGG,9.497131147540985,9.3,0.7542019804311543,122,22,9.3,9.497131147540985
PCPG,7.930718954248366,7.88,0.7751732442825477,153,23,7.88,7.930718954248366
ACC,7.595443037974683,7.43,1.1812670267049683,79,24,7.43,7.595443037974683
LAML,6.1461349693251535,6.12,0.8799553335699711,163,25,6.12,6.1461349693251535
