cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,1.2515238384022684,0.900054897093369,1.7402404266088478,0.18223080365861244,False,79.0,,,,
BLCA,OS,,,,,False,,83.0,32.0,0.9140459238234312,0.011650326024610703
BLCA,OS,0.9606908083308779,0.8128567222703722,1.1354114494294012,0.6380821447455431,False,115.0,,,,
BLCA,PFI,,,,,False,,83.0,32.0,0.8038109340506976,0.06171155021976515
BRCA,OS,,,,,False,,97.0,41.0,0.3568871399391549,0.8488172764833537
BRCA,OS,0.8744393050741881,0.7304138771006462,1.0468641440574191,0.14396267373855415,False,138.0,,,,
BRCA,PFI,,,,,False,,97.0,41.0,0.29420056273736067,1.1002986943272035
CESC,OS,,,,,False,,57.0,44.0,0.7441666135367441,0.10649823915243051
CESC,OS,1.0523152359971775,0.6802352903775007,1.6279181212389835,0.8188171077486469,False,101.0,,,,
CESC,PFI,,,,,False,,57.0,44.0,0.7179082209401824,0.13050576390124327
COAD,OS,,,,,True,,114.0,32.0,0.003946131815793033,8.308437793386666
COAD,OS,0.38976560542939603,0.20903581694119716,0.7267521394119685,0.0030365756533904118,True,146.0,,,,
COAD,PFI,,,,,True,,114.0,32.0,0.02855517906542447,4.794232327817215
HNSC,OS,,,,,False,,40.0,74.0,0.8269900240875208,0.04777003945915199
HNSC,OS,0.9463159973294669,0.722381898982042,1.2396683361856022,0.6887766338173781,False,114.0,,,,
HNSC,PFI,,,,,False,,40.0,74.0,0.9440044569902937,0.004933336470197865
KIRC,OS,,,,,False,,42.0,107.0,0.7234278281769864,0.12523198737717434
KIRC,OS,0.9175758474274104,0.6126412755992124,1.374287808079271,0.676412880532604,False,149.0,,,,
KIRC,PFI,,,,,False,,42.0,107.0,0.7874303469079282,0.07271055002898638
KIRP,OS,0.5071188393284143,0.23109604668797476,1.1128252555052474,0.0903862184241698,False,136.0,,,,
LAML,OS,1.0984146530439525,0.8816091922220525,1.3685369443355115,0.40273850595680505,False,163.0,,,,
LGG,OS,1.779656254951711,1.291573090267746,2.452185176088011,0.000424524574295119,True,122.0,,,,
LIHC,OS,,,,,False,,35.0,104.0,0.6529114012355306,0.202249259732873
LIHC,OS,0.9980805183047566,0.8573352224113611,1.1619314067345272,0.980235441796631,False,139.0,,,,
LIHC,PFI,,,,,False,,35.0,104.0,0.9320995822250087,0.007259641959546306
LUAD,OS,,,,,False,,121.0,55.0,0.48821213380051653,0.48046418788333023
LUAD,OS,0.8792219288064329,0.6738035023904128,1.1472650369902608,0.34308958889884955,False,176.0,,,,
LUAD,PFI,,,,,False,,121.0,55.0,0.7196024898292543,0.1288738972245802
LUSC,OS,,,,,False,,38.0,130.0,0.4174610442753348,0.657451668462602
LUSC,OS,1.1014637169438333,0.8308493407936594,1.4602193925854332,0.5017133061700756,False,168.0,,,,
LUSC,PFI,,,,,False,,38.0,130.0,0.15198533806768783,2.05221093792483
OV,OS,,,,,True,,48.0,38.0,0.00011894479642857384,14.809342288718966
OV,OS,1.6514079819355758,1.1822910176257049,2.3066641648663055,0.0032599611722912585,True,86.0,,,,
OV,PFI,,,,,True,,48.0,38.0,0.004006297084589843,8.280958691122747
PAAD,OS,,,,,False,,64.0,39.0,0.9815666231673855,0.0005338348936704435
PAAD,OS,1.06483913935596,0.7095543471592577,1.5980205001123677,0.7616423063016383,False,103.0,,,,
PAAD,PFI,,,,,False,,64.0,39.0,0.4943301680154891,0.46708738509998043
PRAD,OS,0.006279535059136041,2.8340103114715146e-06,13.91404978284781,0.19702427909491854,False,160.0,,,,
SARC,OS,0.8326076628991825,0.649126228021793,1.067951794878276,0.14920447695002245,False,135.0,,,,
SKCM,OS,0.9891746152349692,0.8006768642260393,1.2220490726568791,0.9196244791545862,False,122.0,,,,
STAD,OS,,,,,False,,74.0,58.0,0.15993886453004058,1.9748040178166637
STAD,OS,0.8710236460732288,0.6454010448246424,1.1755205512951064,0.3666551522476522,False,132.0,,,,
STAD,PFI,,,,,False,,74.0,58.0,0.17726425861678718,1.8204118695391411
TGCT,OS,0.4300200003401519,0.0651634968899301,2.8377421335275224,0.3807111518805406,False,87.0,,,,
THCA,OS,,,,,False,,139.0,20.0,0.5834674431748539,0.3006624160209026
THCA,OS,0.4350357400353821,0.1285855782016054,1.4718298720203578,0.180754230204309,False,159.0,,,,
THCA,PFI,,,,,False,,139.0,20.0,0.49794455540915106,0.4593144175756968
THYM,OS,0.8211491734969056,0.5052129019481509,1.3346570575187964,0.426540936883851,False,121.0,,,,
UCEC,OS,,,,,False,,84.0,37.0,0.3196361260024466,0.9904348114284368
UCEC,OS,1.449270470543857,0.980427990091531,2.142314293367251,0.06276696743695591,False,121.0,,,,
UCEC,PFI,,,,,False,,84.0,37.0,0.6824666371320118,0.16736240765243307
