cancer_type,fap_mean,fap_median,fap_std,n_samples,expression_rank,gene_median,gene_mean
PAAD,10.144466019417477,10.54,1.5814827543370087,103,1,10.54,10.144466019417477
BRCA,9.603985507246376,9.754999999999999,1.4508973009453898,138,2,9.754999999999999,9.603985507246376
SARC,9.487925925925927,9.57,1.991091763928155,135,3,9.57,9.487925925925927
HNSC,8.654473684210526,8.934999999999999,1.7790875120149499,114,4,8.934999999999999,8.654473684210526
STAD,8.153409090909092,8.72,1.8141087562378146,132,5,8.72,8.153409090909092
LUSC,8.481071428571429,8.53,1.5207337638443332,168,6,8.53,8.481071428571429
LUAD,8.086363636363636,8.105,1.6824887564511142,176,7,8.105,8.086363636363636
BLCA,7.5042608695652175,7.95,2.4287062691639827,115,8,7.95,7.5042608695652175
SKCM,7.877213114754098,7.895,1.5723942171228749,122,9,7.895,7.877213114754098
COAD,7.351849315068494,7.710000000000001,2.061663875552499,146,10,7.710000000000001,7.351849315068494
OV,6.971046511627907,7.71,2.6944518285979333,86,11,7.71,6.971046511627907
CESC,7.50930693069307,7.38,1.7587974627146483,101,12,7.38,7.50930693069307
GBM,6.858125,6.91,1.6596937873420912,32,13,6.91,6.858125
UCEC,6.780661157024793,6.89,1.7921745336960488,121,14,6.89,6.780661157024793
TGCT,6.5856321839080465,6.87,1.9377562553114527,87,15,6.87,6.5856321839080465
KIRC,5.982147651006712,6.41,2.0004143367293725,149,16,6.41,5.982147651006712
THCA,6.191069182389937,6.17,1.9981509145862795,159,17,6.17,6.191069182389937
PRAD,5.6366875,5.675,1.523784481812496,160,18,5.675,5.6366875
PCPG,5.478039215686274,5.45,1.815054754438529,153,19,5.45,5.478039215686274
ACC,5.687974683544304,5.13,2.279620064917946,79,20,5.13,5.687974683544304
LIHC,4.518057553956835,4.3,2.4225902049276447,139,21,4.3,4.518057553956835
KIRP,4.357573529411765,4.295,2.224182412024874,136,22,4.295,4.357573529411765
LGG,4.128770491803278,4.105,1.6849477407443316,122,23,4.105,4.128770491803278
THYM,3.4628099173553717,2.98,2.167555928974881,121,24,2.98,3.4628099173553717
LAML,,,,0,25,,
