cancer_type,threshold_method,threshold_value,n_eligible,n_total,pct_eligible,expression_group,dataset,is_priority_cancer,gene_symbol
ACC,median,5.13,41,79,51.9,FAP-High,TCGA,False,FAP
ACC,median,5.13,38,79,48.1,FAP-Low,TCGA,False,FAP
ACC,75th_pct,7.1850000000000005,20,79,25.3,FAP-High,TCGA,False,FAP
ACC,75th_pct,7.1850000000000005,59,79,74.7,FAP-Low,TCGA,False,FAP
ACC,log2tpm_2.5,2.5,75,79,94.9,FAP-High,TCGA,False,FAP
ACC,log2tpm_2.5,2.5,4,79,5.1,FAP-Low,TCGA,False,FAP
ACC,log2tpm_3.0,3.0,74,79,93.7,FAP-High,TCGA,False,FAP
ACC,log2tpm_3.0,3.0,5,79,6.3,FAP-Low,TCGA,False,FAP
BLCA,median,7.95,58,115,50.4,FAP-High,TCGA,True,FAP
BLCA,median,7.95,57,115,49.6,FAP-Low,TCGA,True,FAP
BLCA,75th_pct,9.265,29,115,25.2,FAP-High,TCGA,True,FAP
BLCA,75th_pct,9.265,86,115,74.8,FAP-Low,TCGA,True,FAP
BLCA,log2tpm_2.5,2.5,114,115,99.1,FAP-High,TCGA,True,FAP
BLCA,log2tpm_2.5,2.5,1,115,0.9,FAP-Low,TCGA,True,FAP
BLCA,log2tpm_3.0,3.0,110,115,95.7,FAP-High,TCGA,True,FAP
BLCA,log2tpm_3.0,3.0,5,115,4.3,FAP-Low,TCGA,True,FAP
BRCA,median,9.754999999999999,69,138,50.0,FAP-High,TCGA,True,FAP
BRCA,median,9.754999999999999,69,138,50.0,FAP-Low,TCGA,True,FAP
BRCA,75th_pct,10.7975,35,138,25.4,FAP-High,TCGA,True,FAP
BRCA,75th_pct,10.7975,103,138,74.6,FAP-Low,TCGA,True,FAP
BRCA,log2tpm_2.5,2.5,138,138,100.0,FAP-High,TCGA,True,FAP
BRCA,log2tpm_2.5,2.5,0,138,0.0,FAP-Low,TCGA,True,FAP
BRCA,log2tpm_3.0,3.0,138,138,100.0,FAP-High,TCGA,True,FAP
BRCA,log2tpm_3.0,3.0,0,138,0.0,FAP-Low,TCGA,True,FAP
CESC,median,7.38,51,101,50.5,FAP-High,TCGA,False,FAP
CESC,median,7.38,50,101,49.5,FAP-Low,TCGA,False,FAP
CESC,75th_pct,8.94,26,101,25.7,FAP-High,TCGA,False,FAP
CESC,75th_pct,8.94,75,101,74.3,FAP-Low,TCGA,False,FAP
CESC,log2tpm_2.5,2.5,101,101,100.0,FAP-High,TCGA,False,FAP
CESC,log2tpm_2.5,2.5,0,101,0.0,FAP-Low,TCGA,False,FAP
CESC,log2tpm_3.0,3.0,99,101,98.0,FAP-High,TCGA,False,FAP
CESC,log2tpm_3.0,3.0,2,101,2.0,FAP-Low,TCGA,False,FAP
COAD,median,7.710000000000001,73,146,50.0,FAP-High,TCGA,False,FAP
COAD,median,7.710000000000001,73,146,50.0,FAP-Low,TCGA,False,FAP
COAD,75th_pct,8.887500000000001,37,146,25.3,FAP-High,TCGA,False,FAP
COAD,75th_pct,8.887500000000001,109,146,74.7,FAP-Low,TCGA,False,FAP
COAD,log2tpm_2.5,2.5,144,146,98.6,FAP-High,TCGA,False,FAP
COAD,log2tpm_2.5,2.5,2,146,1.4,FAP-Low,TCGA,False,FAP
COAD,log2tpm_3.0,3.0,144,146,98.6,FAP-High,TCGA,False,FAP
COAD,log2tpm_3.0,3.0,2,146,1.4,FAP-Low,TCGA,False,FAP
GBM,median,6.91,16,32,50.0,FAP-High,TCGA,False,FAP
GBM,median,6.91,16,32,50.0,FAP-Low,TCGA,False,FAP
GBM,75th_pct,7.465,8,32,25.0,FAP-High,TCGA,False,FAP
GBM,75th_pct,7.465,24,32,75.0,FAP-Low,TCGA,False,FAP
GBM,log2tpm_2.5,2.5,32,32,100.0,FAP-High,TCGA,False,FAP
GBM,log2tpm_2.5,2.5,0,32,0.0,FAP-Low,TCGA,False,FAP
GBM,log2tpm_3.0,3.0,32,32,100.0,FAP-High,TCGA,False,FAP
GBM,log2tpm_3.0,3.0,0,32,0.0,FAP-Low,TCGA,False,FAP
HNSC,median,8.934999999999999,57,114,50.0,FAP-High,TCGA,False,FAP
HNSC,median,8.934999999999999,57,114,50.0,FAP-Low,TCGA,False,FAP
HNSC,75th_pct,9.9525,29,114,25.4,FAP-High,TCGA,False,FAP
