cancer_type,fap_mean,fap_median,fap_std,n_samples,expression_rank,gene_median,gene_mean,expr_rank_score,hr,surv_pval,survival_impact,cna_score,tissue,protein_score,priority_score,priority_label,priority_rank
PAAD,10.144466019417475,10.54,1.5814827543370087,103,1,10.54,10.144466019417475,1.0,1.085285859678481,0.365932650935061,0.0,0.15,Pancreas,0.5,0.4475,EXPLORATORY,1
BRCA,9.603985507246376,9.755,1.4508973009453898,138,2,9.755,9.603985507246376,0.9583333333333334,1.162107175520482,0.1668164525112025,0.0,0.15,Breast,0.5,0.43291666666666667,EXPLORATORY,2
SARC,9.487925925925929,9.57,1.991091763928155,135,3,9.57,9.487925925925929,0.9166666666666666,0.9867684558708786,0.845307731542992,0.0,0.15,,0.5,0.41833333333333333,EXPLORATORY,3
HNSC,8.654473684210526,8.934999999999999,1.77908751201495,114,4,8.934999999999999,8.654473684210526,0.875,0.9722869835398612,0.7092093702202416,0.0,0.15,,0.5,0.40375,EXPLORATORY,4
STAD,8.153409090909092,8.72,1.8141087562378144,132,5,8.72,8.153409090909092,0.8333333333333334,0.9918552668538584,0.919185931556154,0.0,0.15,,0.5,0.3891666666666667,EXPLORATORY,5
LUSC,8.481071428571429,8.53,1.5207337638443332,168,6,8.53,8.481071428571429,0.7916666666666666,0.9400291138600908,0.3298130160325679,0.0,0.15,Lung,0.5,0.3745833333333333,EXPLORATORY,6
LUAD,8.086363636363636,8.105,1.6824887564511142,176,7,8.105,8.086363636363636,0.75,1.038229538559412,0.5578499681937386,0.0,0.15,Lung,0.5,0.36,EXPLORATORY,7
BLCA,7.5042608695652175,7.95,2.4287062691639827,115,8,7.95,7.5042608695652175,0.7083333333333333,1.1101921029677648,0.0913725441976573,0.0,0.15,Bladder,0.5,0.34541666666666665,EXPLORATORY,8
SKCM,7.877213114754098,7.895,1.5723942171228749,122,9,7.895,7.877213114754098,0.6666666666666667,0.8921177461361431,0.1118762588117224,0.0,0.15,,0.5,0.33083333333333337,EXPLORATORY,9
COAD,7.351849315068494,7.710000000000001,2.061663875552499,146,10,7.710000000000001,7.351849315068494,0.625,1.1089926083525672,0.2210343874791978,0.0,0.15,Colon,0.5,0.31625,EXPLORATORY,10
OV,6.971046511627907,7.71,2.6944518285979333,86,11,7.71,6.971046511627907,0.5833333333333333,1.0276953269499736,0.5781646383059172,0.0,0.15,Ovary,0.5,0.30166666666666664,EXPLORATORY,11
CESC,7.50930693069307,7.38,1.7587974627146483,101,12,7.38,7.50930693069307,0.5416666666666667,1.1812827965818524,0.1287719328862682,0.0,0.15,,0.5,0.28708333333333336,EXPLORATORY,12
GBM,6.858125,6.91,1.6596937873420912,32,13,6.91,6.858125,0.5,,,0.0,0.15,,0.5,0.27249999999999996,EXPLORATORY,13
UCEC,6.780661157024793,6.89,1.7921745336960488,121,14,6.89,6.780661157024793,0.45833333333333337,0.890578386116053,0.3244059670198395,0.0,0.15,,0.5,0.2579166666666667,EXPLORATORY,14
TGCT,6.585632183908047,6.87,1.937756255311453,87,15,6.87,6.585632183908047,0.41666666666666663,1.2640377528050029,0.601066084131482,0.0,0.15,,0.5,0.2433333333333333,EXPLORATORY,15
KIRP,4.357573529411765,4.295,2.224182412024874,136,22,4.295,4.357573529411765,0.125,1.5396273861503351,0.0002452975738668,0.26981369307516756,0.15,,0.5,0.23568479257630864,EXPLORATORY,16
ACC,5.687974683544304,5.13,2.279620064917946,79,20,5.13,5.687974683544304,0.20833333333333337,1.3689490472681636,0.0001579119344827,0.1844745236340818,0.15,,0.5,0.2349827499385953,EXPLORATORY,17
KIRC,5.982147651006712,6.41,2.0004143367293725,149,16,6.41,5.982147651006712,0.375,1.0765849665878937,0.448804301615217,0.0,0.15,Kidney,0.5,0.22874999999999995,EXPLORATORY,18
THCA,6.191069182389937,6.17,1.9981509145862797,159,17,6.17,6.191069182389937,0.33333333333333337,0.8848307631379898,0.5286565042068065,0.0,0.15,,0.5,0.21416666666666667,EXPLORATORY,19
PRAD,5.6366875,5.675,1.523784481812496,160,18,5.675,5.6366875,0.29166666666666663,2.890010246044933,0.3566489813886287,0.0,0.15,Prostate,0.5,0.19958333333333333,EXPLORATORY,20
PCPG,5.478039215686274,5.45,1.815054754438529,153,19,5.45,5.478039215686274,0.25,,,0.0,0.15,,0.5,0.185,EXPLORATORY,21
LGG,4.128770491803278,4.105,1.6849477407443316,122,23,4.105,4.128770491803278,0.08333333333333337,1.2001271526925912,0.0172632252386205,0.10006357634629559,0.15,,0.5,0.16168891838787014,EXPLORATORY,22
LIHC,4.518057553956835,4.3,2.4225902049276447,139,21,4.3,4.518057553956835,0.16666666666666663,1.0731832733090154,0.0956422020782457,0.0,0.15,Liver,0.5,0.15583333333333332,EXPLORATORY,23
THYM,3.462809917355372,2.98,2.167555928974881,121,24,2.98,3.462809917355372,0.04166666666666663,1.0420799219864174,0.7654339747944919,0.0,0.15,,0.5,0.11208333333333331,EXPLORATORY,24
LAML,,,,0,25,,,0.0,,,0.0,0.15,,0.5,0.0975,EXPLORATORY,25
