cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,1.3689490472681636,1.1631538332617812,1.611155326515304,0.0001579119344827432,True,79.0,,,,
BLCA,OS,,,,,False,,64.0,51.0,0.17709897083686243,1.821801651486905
BLCA,OS,1.1101921029677648,0.983313321873172,1.2534422935957739,0.09137254419765738,False,115.0,,,,
BLCA,PFI,,,,,False,,64.0,51.0,0.5878274716744984,0.29374989214002534
BRCA,OS,1.162107175520482,0.9391767934235987,1.437954064509212,0.1668164525112025,False,138.0,,,,
CESC,OS,,,,,False,,48.0,53.0,0.06394836491397304,3.431903271006082
CESC,OS,1.1812827965818524,0.9527817861693514,1.4645840902464655,0.1287719328862682,False,101.0,,,,
CESC,PFI,,,,,False,,48.0,53.0,0.0681794010928959,3.3263166944347384
COAD,OS,,,,,False,,78.0,68.0,0.4035574773212688,0.6977003891045098
COAD,OS,1.1089926083525672,0.9396640222979988,1.3088344091039372,0.22103438747919785,False,146.0,,,,
COAD,PFI,,,,,False,,78.0,68.0,0.08728177636186249,2.923805902679354
HNSC,OS,,,,,False,,88.0,26.0,0.8140087036068895,0.05534619795387625
HNSC,OS,0.9722869835398613,0.8387746253176752,1.1270512362042502,0.7092093702202416,False,114.0,,,,
HNSC,PFI,,,,,False,,88.0,26.0,0.8678451299115031,0.02768770988783029
KIRC,OS,,,,,False,,34.0,115.0,0.09012844073556545,2.872077825957984
KIRC,OS,1.0765849665878935,0.8894392539891942,1.3031077559087996,0.448804301615217,False,149.0,,,,
KIRC,PFI,,,,,True,,34.0,115.0,0.025690949058176205,4.976699641561461
KIRP,OS,1.5396273861503353,1.2224966690564243,1.939025723492344,0.00024529757386681773,True,136.0,,,,
LGG,OS,1.2001271526925912,1.0327883631933,1.3945792128957735,0.017263225238620533,True,122.0,,,,
LIHC,OS,1.0731832733090154,0.9876324886353195,1.1661446452634097,0.0956422020782457,False,139.0,,,,
LUAD,OS,,,,,False,,110.0,66.0,0.2049363715336737,1.6068414095040953
LUAD,OS,1.038229538559412,0.9158013624521665,1.1770244279294693,0.5578499681937386,False,176.0,,,,
LUAD,PFI,,,,,False,,110.0,66.0,0.05996250317789122,3.538421416127171
LUSC,OS,,,,,False,,126.0,42.0,0.34732353316390074,0.8832116777031366
LUSC,OS,0.9400291138600909,0.8300824022527576,1.0645385717206393,0.32981301603256796,False,168.0,,,,
LUSC,PFI,,,,,False,,126.0,42.0,0.32354318739084004,0.9745695376785511
OV,OS,,,,,False,,44.0,42.0,0.8628083662021856,0.029859959078377428
OV,OS,1.0276953269499736,0.9333534898365683,1.131573081941064,0.5781646383059172,False,86.0,,,,
OV,PFI,,,,,False,,44.0,42.0,0.07847972842054891,3.0961076030663834
PAAD,OS,1.0852858596784807,0.9088472758451271,1.2959772543993089,0.365932650935061,False,103.0,,,,
PRAD,OS,2.890010246044933,0.3026118619203499,27.60023737748606,0.35664898138862877,False,160.0,,,,
SARC,OS,0.9867684558708786,0.8631866016350661,1.1280434423534522,0.845307731542992,False,135.0,,,,
SKCM,OS,,,,,False,,79.0,43.0,0.6109895146983225,0.2587365191335151
SKCM,OS,0.8921177461361431,0.7749995213219217,1.0269349219900217,0.1118762588117224,False,122.0,,,,
SKCM,PFI,,,,,False,,79.0,43.0,0.13743324984623742,2.206465294044465
STAD,OS,,,,,False,,96.0,36.0,0.7305299459091239,0.11862559827680304
STAD,OS,0.9918552668538583,0.8469104997429998,1.1616066522782176,0.919185931556154,False,132.0,,,,
STAD,PFI,,,,,False,,96.0,36.0,0.293273372526037,1.104533346058524
TGCT,OS,,,,,False,,33.0,54.0,0.9028049131469256,0.014913007456503737
TGCT,OS,1.2640377528050029,0.5251868633892075,3.042329410536349,0.601066084131482,False,87.0,,,,
TGCT,PFI,,,,,False,,33.0,54.0,0.8275417012040354,0.04746101831167287
THCA,OS,,,,,False,,42.0,117.0,0.8838413695766862,0.021345608592102605
THCA,OS,0.8848307631379898,0.6047205718139366,1.294689673028441,0.5286565042068065,False,159.0,,,,
THCA,PFI,,,,,False,,42.0,117.0,0.9543189137327153,0.003281464111992328
THYM,OS,1.0420799219864174,0.7948845818355125,1.3661487323098338,0.7654339747944919,False,121.0,,,,
UCEC,OS,,,,,False,,44.0,77.0,0.29036507931950695,1.1179278499488572
UCEC,OS,0.890578386116053,0.7072522986870813,1.1214242262477088,0.3244059670198395,False,121.0,,,,
UCEC,PFI,,,,,False,,44.0,77.0,0.4117153986597689,0.6738417424216686
