nct_id,title,status,phase,condition,gene_symbol
NCT06794372,[68Ga]Ga-FAPI-46 in Staging of Head and Neck Carcinomas,RECRUITING,PHASE2,The trial focuses on assessing the role of \[68Ga\]Ga-FAPI-46 in head and neck squamous cell carcinomas (HNSCC) staging ,FAP
NCT02513771,Sitagliptin for Reducing Inflammation and Immune Activation,COMPLETED,PHASE2,The purpose of the study is to evaluate whether sitagliptin (Januvia is the brand name for sitagliptin) reduces inflamma,FAP
NCT04678011,A Personalized Surveillance and Intervention Protocol for Patients With Familial Adenomatous Polyposis That Have Undergone (Procto)Colectomy,RECRUITING,NA,The purpose of this study is to determine the efficacy and safety of a personalised surveillance and intervention protoc,FAP
NCT06790082,The Diagnostic Accuracy and Clinical Value of FAPI PET in Pleural Mesothelioma,RECRUITING,PHASE2,"Seventy (N=70) patients with suspected pleural mesothelioma (PM) lesions referred to pleural biopsy will be recruited, a",FAP
NCT03886155,Cardiac Amyloidosis Screening at Trigger Finger Release,COMPLETED,NA,The investigators will prospectively evaluate for the presence of amyloid deposits in soft tissue samples obtained from ,FAP
NCT06308445,Safety Study for the Use of Rapamycin in Children With Familial Adenomatous Polyposis,NOT_YET_RECRUITING,PHASE2,The hypothesize of this research is that rapamycin is effective and well-tolerated in teenagers with familial adenomatou,FAP
NCT07409766,A Phase I Platform Study of Target-Based Screened CAR-Macrophages for the Treatment of Advanced Malignant Tumors,NOT_YET_RECRUITING,EARLY_PHASE1,"This is a single-arm, open-label, single-center, dose-escalation platform clinical trial design. Using an adenovirus vec",FAP
NCT05630794,Testing for Safety and Colorectal Cancer Preventive Effects of ONC201,RECRUITING,PHASE1,The purpose of this phase I trial is to test the safety and cancer preventive effects of different doses of ONC201 in pe,FAP
NCT06270394,"FAP PET/CT or PET/MR Production in the Diagnosis, Staging, and Efficacy Assessment of Malignant Tumors Application",COMPLETED,NA,"This clinical trial aims to investigate the value of fibroblast activation protein PET/CT(PET/MR) in the diagnosis, stag",FAP
NCT07628556,Antidiabetic Medications and Risk of Cancer,COMPLETED,NA,A retrospective analysis was conducted based on data of the National Health Insurance Fund in Hungary. Overall cancer ri,FAP
NCT00628745,Transthyretin Amyloidosis Outcome Survey (THAOS),COMPLETED,NA,"THAOS is a global, multi-center, longitudinal observational survey open to all patients with transthyretin amyloidosis (",FAP
NCT04504110,68Ga-FAPI-04 and 18F-FDG PET/CT in Patients With Epithelial Ovarian Cancer: Compared With Histological Findings,UNKNOWN,PHASE2,"Epithelial ovarian cancer (EOC) is a tumor entity featured by frequent involvement of peritoneum, also called peritoneal",FAP
NCT07018661,[18F]F-FAPI PET/CT and Laparoscopy in Staging Advanced Gastric Cancer,RECRUITING,PHASE2,"The goal of this clinical trial is to learn if a new type of scan, FAPI-PET/CT, can help find metastases of gastric canc",FAP
NCT02122380,The Effect of Dipeptidyl Peptidase 4 Inhibition on Growth Hormone Secretion in Women With Polycystic Ovarian Syndrome,COMPLETED,PHASE4,Adults with abdominal obesity are at high risk for cardiovascular disease and also exhibit diminished growth hormone (GH,FAP
NCT05574920,Characterizing Breast Cancer With Al18F-NOTA-FAPI-04 PET/CT (PFB-02),UNKNOWN,NA,"Fibroblast activation protein (FAP) is overexpressed in cancer-associated fibroblasts (CAFs), which constitute a major p",FAP
NCT07217717,Using 18F-FAPI PET to Detect Metastatic Disease in Patients That Have Pancreatic Ductal Adenocarcinoma (PDAC),RECRUITING,PHASE3,"This is a multi-site, open-label, non-randomized, single dose study to assess the clinical utility of \[¹⁸F\]FAPI-74 PET",FAP
NCT03386721,Basket Study to Evaluate the Therapeutic Activity of Simlukafusp Alfa as a Combination Therapy in Participants With Advanced and/or Metastatic Solid Tumors,TERMINATED,PHASE2,"This is an open-label, multicenter, basket trial Phase II study to evaluate the antitumor activity of simlukafusp alfa i",FAP
NCT05192694,Evaluation of Fapi-pet in Prostate Cancer.,UNKNOWN,NA,The investigators explore the biodistribution of FAPI-PET expression in primary high-risk prostate cancer in men undergo,FAP
NCT06553846,A Clinial Trial of Lutetium [177Lu]-FAP-75 for the Treatment of Patients With Advanced Solid Tumors,NOT_YET_RECRUITING,PHASE1,"To explore the safety, tolerability, initial efficacy, pharmacokinetic profile and radiation dosimetry of lutetium \[177",FAP
NCT07510815,Dual-Target MSLN/FAP CAR-NK Cells for Pleural and Peritoneal Mesothelioma,RECRUITING,PHASE1,This example study evaluates locoregional allogeneic dual-target mesothelin/FAP CAR-NK cells in adults with unresectable,FAP
NCT00319007,Influence of Sulindac and Probiotics on the Development of Pouch Adenomas in Patients With Familial Adenomatous Polyposis,UNKNOWN,PHASE2,"The purpose of this study is to determine whether sulindac and VSL#3 - inulin, either combined or alone, are effective i",FAP
NCT07272642,"A Phase 1, Multicenter Imaging Study of LNTH-2403 in Participants With Locally Advanced or Metastatic Solid Tumors.",NOT_YET_RECRUITING,PHASE1,"LNTH-2403 (177Lu-DOTA-DUNP19) is a lutetium-177 radiolabeled, fully humanized monoclonal antibody (mAb) that binds with ",FAP
NCT03061591,Turmeric Supplementation on Polyp Number and Size in Patients With Familial Adenomatous Polyposis.,UNKNOWN,PHASE2,"A Phase 2, randomized, double blind, placebo controlled trial for the effectivness of wholistic turmeric supplementation",FAP
NCT07119294,Molecular Imaging of Cancer-associated Fibroblasts in Glioblastoma: a FAPI PET/MR Study.,RECRUITING,NA,Glioblastoma is a highly aggressive and malignant form of brain cancer that arises from the glial cells of the brain. It,FAP
NCT05641896,Study of [18F]FAPI-74 PET in Patients With Gastrointestinal Cancers,COMPLETED,PHASE2,"Prospective, multi-center, open label, non-randomized clinical trial to assess efficacy of \[18F\]FAPI-74 to detect FAP ",FAP
NCT07630961,Phase I Study of JFI447 [68Ga]Ga-DFC413 and Comparison to FFG233 [68Ga]Ga-NNS309 in Patients With Solid Tumors,RECRUITING,PHASE1,"The purpose of Part 1 of this study is to evaluate the imaging characteristics, safety, biodistribution and pharmacokine",FAP
NCT03923920,Screening for Systemic Amyloidosis Via the Ligamentum Flavum,COMPLETED,NA,The investigators will prospectively evaluate for the presence of amyloid deposits in ligamentum flavum (yellow ligament,FAP
NCT07109440,The Role of the Imaging FAPI PET/CT in Exploring the Microenvironment of Colorectal Cancer Liver Metastases,RECRUITING,NA,"FAPI PET/CT molecular imaging represents a cutting-edge advancement in oncological imaging, particularly for the preoper",FAP
NCT07454642,AVA6103 in Subjects With Locally Advanced or Metastatic Selected Solid Tumors,RECRUITING,PHASE1,"This is a first-in-human (FIH), Phase 1 open-label, multicenter dose escalation study investigating AVA6103 monotherapy ",FAP
NCT05515783,68Ga-FAP-RGD PET/CT : Dosimetry and Preliminary Clinical Translational Studies,UNKNOWN,PHASE1,"As an new dual targeting PET radiotracer, 68Ga-FAP-RGD is promising as an excellent imaging agent applicable to various ",FAP
