cancer_type,folh1_mean,folh1_median,folh1_std,n_samples,expression_rank,gene_median,gene_mean
PRAD,12.47325,12.885000000000002,2.4386965664871525,160,1,12.885000000000002,12.47325
KIRC,8.783959731543623,9.12,1.7316816614914747,149,2,9.12,8.783959731543623
LIHC,8.546690647482015,9.07,1.760422951686594,139,3,9.07,8.546690647482015
UCEC,7.874049586776859,7.93,1.5025254177064673,121,4,7.93,7.874049586776859
LGG,7.451229508196721,7.735,2.0875120934449924,122,5,7.735,7.451229508196721
GBM,7.26,7.225,1.6181131983210089,32,6,7.225,7.26
ACC,6.568987341772153,6.88,2.097659009551012,79,7,6.88,6.568987341772153
LUSC,6.732559523809523,6.765,1.7041218073131545,168,8,6.765,6.732559523809523
OV,6.414767441860465,6.515,1.4512831861690219,86,9,6.515,6.414767441860465
BRCA,6.426884057971014,6.385,1.462084204153772,138,10,6.385,6.426884057971014
PCPG,6.139411764705883,6.28,2.1524958693322183,153,11,6.28,6.139411764705883
SARC,5.835111111111111,6.01,2.2157074496619726,135,12,6.01,5.835111111111111
SKCM,5.88655737704918,5.825,2.343615829831692,122,13,5.825,5.88655737704918
PAAD,5.875728155339806,5.82,1.5920486259335045,103,14,5.82,5.875728155339806
THCA,5.5062893081761,5.65,1.5627027679912429,159,15,5.65,5.5062893081761
HNSC,5.564035087719298,5.375,1.8330846961291059,114,16,5.375,5.564035087719298
STAD,5.3329545454545455,5.355,1.6961580919027779,132,17,5.355,5.3329545454545455
LUAD,5.398863636363637,5.345000000000001,1.3925076511249619,176,18,5.345000000000001,5.398863636363637
BLCA,5.103391304347826,5.0,1.5943061444966786,115,19,5.0,5.103391304347826
TGCT,4.7285057471264365,4.7,1.9067777084961295,87,20,4.7,4.7285057471264365
COAD,4.562808219178082,4.609999999999999,1.3025813857163548,146,21,4.609999999999999,4.562808219178082
KIRP,4.5377205882352944,4.365,2.3931240907949913,136,22,4.365,4.5377205882352944
CESC,4.255643564356435,3.95,1.8077137029085026,101,23,3.95,4.255643564356435
THYM,3.2111570247933887,2.76,2.081153602405264,121,24,2.76,3.2111570247933887
LAML,1.1294478527607361,-0.22,1.8213803107702162,163,25,-0.22,1.1294478527607361
