cancer_type,threshold_method,threshold_value,n_eligible,n_total,pct_eligible,expression_group,dataset,is_priority_cancer,gene_symbol
ACC,median,6.88,40,79,50.6,FOLH1-High,TCGA,False,FOLH1
ACC,median,6.88,39,79,49.4,FOLH1-Low,TCGA,False,FOLH1
ACC,75th_pct,7.605,20,79,25.3,FOLH1-High,TCGA,False,FOLH1
ACC,75th_pct,7.605,59,79,74.7,FOLH1-Low,TCGA,False,FOLH1
ACC,log2tpm_2.5,2.5,76,79,96.2,FOLH1-High,TCGA,False,FOLH1
ACC,log2tpm_2.5,2.5,3,79,3.8,FOLH1-Low,TCGA,False,FOLH1
ACC,log2tpm_3.0,3.0,73,79,92.4,FOLH1-High,TCGA,False,FOLH1
ACC,log2tpm_3.0,3.0,6,79,7.6,FOLH1-Low,TCGA,False,FOLH1
BLCA,median,5.0,58,115,50.4,FOLH1-High,TCGA,True,FOLH1
BLCA,median,5.0,57,115,49.6,FOLH1-Low,TCGA,True,FOLH1
BLCA,75th_pct,6.06,30,115,26.1,FOLH1-High,TCGA,True,FOLH1
BLCA,75th_pct,6.06,85,115,73.9,FOLH1-Low,TCGA,True,FOLH1
BLCA,log2tpm_2.5,2.5,110,115,95.7,FOLH1-High,TCGA,True,FOLH1
BLCA,log2tpm_2.5,2.5,5,115,4.3,FOLH1-Low,TCGA,True,FOLH1
BLCA,log2tpm_3.0,3.0,106,115,92.2,FOLH1-High,TCGA,True,FOLH1
BLCA,log2tpm_3.0,3.0,9,115,7.8,FOLH1-Low,TCGA,True,FOLH1
BRCA,median,6.385,69,138,50.0,FOLH1-High,TCGA,True,FOLH1
BRCA,median,6.385,69,138,50.0,FOLH1-Low,TCGA,True,FOLH1
BRCA,75th_pct,7.4350000000000005,35,138,25.4,FOLH1-High,TCGA,True,FOLH1
BRCA,75th_pct,7.4350000000000005,103,138,74.6,FOLH1-Low,TCGA,True,FOLH1
BRCA,log2tpm_2.5,2.5,138,138,100.0,FOLH1-High,TCGA,True,FOLH1
BRCA,log2tpm_2.5,2.5,0,138,0.0,FOLH1-Low,TCGA,True,FOLH1
BRCA,log2tpm_3.0,3.0,137,138,99.3,FOLH1-High,TCGA,True,FOLH1
BRCA,log2tpm_3.0,3.0,1,138,0.7,FOLH1-Low,TCGA,True,FOLH1
CESC,median,3.95,52,101,51.5,FOLH1-High,TCGA,False,FOLH1
CESC,median,3.95,49,101,48.5,FOLH1-Low,TCGA,False,FOLH1
CESC,75th_pct,5.44,26,101,25.7,FOLH1-High,TCGA,False,FOLH1
CESC,75th_pct,5.44,75,101,74.3,FOLH1-Low,TCGA,False,FOLH1
CESC,log2tpm_2.5,2.5,87,101,86.1,FOLH1-High,TCGA,False,FOLH1
CESC,log2tpm_2.5,2.5,14,101,13.9,FOLH1-Low,TCGA,False,FOLH1
CESC,log2tpm_3.0,3.0,75,101,74.3,FOLH1-High,TCGA,False,FOLH1
CESC,log2tpm_3.0,3.0,26,101,25.7,FOLH1-Low,TCGA,False,FOLH1
COAD,median,4.609999999999999,73,146,50.0,FOLH1-High,TCGA,False,FOLH1
COAD,median,4.609999999999999,73,146,50.0,FOLH1-Low,TCGA,False,FOLH1
COAD,75th_pct,5.4025,37,146,25.3,FOLH1-High,TCGA,False,FOLH1
