cancer_type,folh1_mean,folh1_median,folh1_std,n_samples,expression_rank,gene_median,gene_mean,expr_rank_score,hr,surv_pval,survival_impact,cna_score,tissue,protein_score,priority_score,priority_label,priority_rank
PRAD,12.47325,12.885000000000002,2.4386965664871525,160,1,12.885000000000002,12.47325,1.0,1.3652063593940404,0.6370728281484453,0.0,0.15,Prostate,0.5,0.4475,EXPLORATORY,1
KIRC,8.783959731543623,9.12,1.7316816614914747,149,2,9.12,8.783959731543623,0.9583333333333334,0.882565937435701,0.2195907040154253,0.0,0.15,Kidney,0.5,0.43291666666666667,EXPLORATORY,2
LIHC,8.546690647482015,9.07,1.760422951686594,139,3,9.07,8.546690647482015,0.9166666666666666,0.975705822629124,0.6357686588489457,0.0,0.15,Liver,0.5,0.41833333333333333,EXPLORATORY,3
UCEC,7.874049586776859,7.93,1.5025254177064673,121,4,7.93,7.874049586776859,0.875,0.9233084411045824,0.5840129561034072,0.0,0.15,,0.5,0.40375,EXPLORATORY,4
ACC,6.568987341772153,6.88,2.097659009551012,79,7,6.88,6.568987341772153,0.75,1.21178424175536,0.0492211178018987,0.10589212087767996,0.15,,0.5,0.39706224230718795,EXPLORATORY,5
LGG,7.451229508196721,7.735,2.0875120934449924,122,5,7.735,7.451229508196721,0.8333333333333334,1.0479702823735302,0.4629709124285522,0.0,0.15,,0.5,0.3891666666666667,EXPLORATORY,6
GBM,7.26,7.225,1.6181131983210089,32,6,7.225,7.26,0.7916666666666666,,,0.0,0.15,,0.5,0.3745833333333333,EXPLORATORY,7
LUSC,6.732559523809523,6.765,1.7041218073131543,168,8,6.765,6.732559523809523,0.7083333333333333,0.9287890755201312,0.2027563190491903,0.0,0.15,Lung,0.5,0.34541666666666665,EXPLORATORY,8
OV,6.414767441860465,6.515,1.451283186169022,86,9,6.515,6.414767441860465,0.6666666666666667,1.0025629003105236,0.9756832857270096,0.0,0.15,Ovary,0.5,0.33083333333333337,EXPLORATORY,9
BRCA,6.426884057971014,6.385,1.462084204153772,138,10,6.385,6.426884057971014,0.625,1.103486203809723,0.3070598042367655,0.0,0.15,Breast,0.5,0.31625,EXPLORATORY,10
PCPG,6.139411764705883,6.28,2.1524958693322183,153,11,6.28,6.139411764705883,0.5833333333333333,,,0.0,0.15,,0.5,0.30166666666666664,EXPLORATORY,11
SARC,5.835111111111111,6.01,2.2157074496619726,135,12,6.01,5.835111111111111,0.5416666666666667,1.0576927276599848,0.3659357098326721,0.0,0.15,,0.5,0.28708333333333336,EXPLORATORY,12
SKCM,5.88655737704918,5.825,2.343615829831692,122,13,5.825,5.88655737704918,0.5,0.8904464286541898,0.0481515181105331,0.0,0.15,,0.5,0.27249999999999996,EXPLORATORY,13
PAAD,5.875728155339806,5.82,1.5920486259335045,103,14,5.82,5.875728155339806,0.45833333333333337,0.9334327027403182,0.4071306037131295,0.0,0.15,Pancreas,0.5,0.2579166666666667,EXPLORATORY,14
THCA,5.5062893081761,5.65,1.5627027679912429,159,15,5.65,5.5062893081761,0.41666666666666663,0.9454400817418426,0.8103621209213918,0.0,0.15,,0.5,0.2433333333333333,EXPLORATORY,15
HNSC,5.564035087719298,5.375,1.8330846961291056,114,16,5.375,5.564035087719298,0.375,1.0208470789754016,0.7491703246295324,0.0,0.15,,0.5,0.22874999999999995,EXPLORATORY,16
STAD,5.3329545454545455,5.355,1.696158091902778,132,17,5.355,5.3329545454545455,0.33333333333333337,1.0088683553556534,0.9282049992407618,0.0,0.15,,0.5,0.21416666666666667,EXPLORATORY,17
LUAD,5.398863636363637,5.345000000000001,1.392507651124962,176,18,5.345000000000001,5.398863636363637,0.29166666666666663,0.8921283591886825,0.1707835268099774,0.0,0.15,Lung,0.5,0.19958333333333333,EXPLORATORY,18
KIRP,4.5377205882352944,4.365,2.3931240907949918,136,22,4.365,4.5377205882352944,0.125,1.325814902702579,0.0040241566298944,0.16290745135128948,0.15,,0.5,0.1982676079729513,EXPLORATORY,19
THYM,3.2111570247933887,2.76,2.081153602405264,121,24,2.76,3.2111570247933887,0.04166666666666663,1.4575412060095927,0.0296766418986642,0.22877060300479635,0.15,,0.5,0.19215304438501202,EXPLORATORY,20
BLCA,5.103391304347826,5.0,1.5943061444966786,115,19,5.0,5.103391304347826,0.25,1.0700138361395637,0.3949398858356597,0.0,0.15,Bladder,0.5,0.185,EXPLORATORY,21
TGCT,4.7285057471264365,4.7,1.9067777084961293,87,20,4.7,4.7285057471264365,0.20833333333333337,0.8454511680750754,0.6978828673765517,0.0,0.15,,0.5,0.17041666666666666,EXPLORATORY,22
COAD,4.562808219178082,4.609999999999999,1.3025813857163548,146,21,4.609999999999999,4.562808219178082,0.16666666666666663,1.1470565180301835,0.3109004776669448,0.0,0.15,Colon,0.5,0.15583333333333332,EXPLORATORY,23
CESC,4.255643564356435,3.95,1.8077137029085024,101,23,3.95,4.255643564356435,0.08333333333333337,1.154525237992023,0.1823013355128078,0.0,0.15,,0.5,0.12666666666666668,EXPLORATORY,24
LAML,1.129447852760736,-0.22,1.821380310770216,163,25,-0.22,1.129447852760736,0.0,0.9421519965499566,0.2919738586053237,0.0,0.15,,0.5,0.0975,EXPLORATORY,25
