cancer_type,endpoint,n_high,n_low,log_rank_p,log_rank_stat,significant,hazard_ratio,hr_lower_95,hr_upper_95,p_value,n_samples
ACC,OS,55.0,24.0,0.029109198902704525,4.761143739339219,True,,,,,
ACC,OS,,,,,True,1.21178424175536,1.0006553489594898,1.4674593506080982,0.04922111780189879,79.0
ACC,PFI,55.0,24.0,0.005166505549412396,7.820214785595517,True,,,,,
BLCA,OS,26.0,89.0,0.23562645773637636,1.406571024448084,False,,,,,
BLCA,OS,,,,,False,1.0700138361395635,0.9155400855699052,1.2505510436688405,0.39493988583565975,115.0
BLCA,PFI,26.0,89.0,0.8136581830931764,0.05555891648504529,False,,,,,
BRCA,OS,76.0,62.0,0.21413988709170592,1.5432150367898285,False,,,,,
BRCA,OS,,,,,False,1.103486203809723,0.913487026714895,1.3330039358932677,0.30705980423676554,138.0
BRCA,PFI,76.0,62.0,0.384971471004925,0.754765994784172,False,,,,,
CESC,OS,,,,,False,1.154525237992023,0.934754301665035,1.4259667195820898,0.18230133551280786,101.0
COAD,OS,,,,,False,1.1470565180301835,0.8797058335636717,1.495657531592687,0.31090047766694484,146.0
HNSC,OS,40.0,74.0,0.502765500574115,0.4490940273539484,False,,,,,
HNSC,OS,,,,,False,1.0208470789754016,0.8995633084462031,1.1584829537485883,0.7491703246295324,114.0
HNSC,PFI,40.0,74.0,0.3903053761291315,0.737990430941187,False,,,,,
KIRC,OS,,,,,False,0.882565937435701,0.7229849780752169,1.077370426140059,0.2195907040154253,149.0
KIRP,OS,39.0,97.0,0.00028369695253951884,13.175077785184298,True,,,,,
KIRP,OS,,,,,True,1.325814902702579,1.0940059433075744,1.6067418709937085,0.004024156629894468,136.0
KIRP,PFI,39.0,97.0,0.02975132982664159,4.723603688195077,True,,,,,
LAML,OS,,,,,False,0.9421519965499566,0.8433126207727903,1.0525757147920414,0.2919738586053237,163.0
LGG,OS,95.0,27.0,0.6212591762208199,0.24410176170181305,False,,,,,
LGG,OS,,,,,False,1.0479702823735302,0.9247182530976278,1.1876500859144488,0.46297091242855226,122.0
LGG,PFI,95.0,27.0,0.6333449323562288,0.2275520296233092,False,,,,,
LIHC,OS,,,,,False,0.9757058226291241,0.8812882500864383,1.0802389027869164,0.6357686588489457,139.0
LUAD,OS,52.0,124.0,0.07905013973218439,3.084323325209731,False,,,,,
LUAD,OS,,,,,False,0.8921283591886825,0.7576893131093492,1.0504213211119002,0.17078352680997744,176.0
LUAD,PFI,52.0,124.0,0.14368544842429878,2.1380391223429664,False,,,,,
LUSC,OS,102.0,66.0,0.7359182197541139,0.11374671538863755,False,,,,,
LUSC,OS,,,,,False,0.9287890755201311,0.8289904725923757,1.0406020036731043,0.20275631904919034,168.0
LUSC,PFI,102.0,66.0,0.8074060418498996,0.05942564730775863,False,,,,,
OV,OS,55.0,31.0,0.44354596017273673,0.5870916712255374,False,,,,,
OV,OS,,,,,False,1.0025629003105236,0.8504191248580018,1.1819258759577875,0.9756832857270095,86.0
OV,PFI,55.0,31.0,0.03978574662398294,4.226998195080614,True,,,,,
PAAD,OS,41.0,62.0,0.10440256927355776,2.6369687962573445,False,,,,,
PAAD,OS,,,,,False,0.9334327027403182,0.7931362461290045,1.0985459494476033,0.4071306037131295,103.0
PAAD,PFI,41.0,62.0,0.45839338268326923,0.5498147851644024,False,,,,,
PCPG,OS,80.0,73.0,1.0,0.0,False,,,,,
PCPG,PFI,80.0,73.0,1.0,0.0,False,,,,,
PRAD,OS,,,,,False,1.3652063593940404,0.37458336626995153,4.975630451211094,0.6370728281484453,160.0
SARC,OS,64.0,71.0,0.9646791282496021,0.001960950107960403,False,,,,,
SARC,OS,,,,,False,1.0576927276599848,0.936595744516621,1.1944469240805584,0.3659357098326721,135.0
SARC,PFI,64.0,71.0,0.5939903809310092,0.2841555298289224,False,,,,,
SKCM,OS,55.0,67.0,0.04764639250873456,3.9224148598750235,True,,,,,
SKCM,OS,,,,,True,0.8904464286541898,0.7936431519200523,0.999057120803927,0.048151518110533184,122.0
SKCM,PFI,55.0,67.0,0.017360757417791747,5.659531742143391,True,,,,,
STAD,OS,31.0,101.0,0.34046889031946664,0.9086649678658519,False,,,,,
STAD,OS,,,,,False,1.0088683553556534,0.8325781914014523,1.222486210844371,0.9282049992407618,132.0
STAD,PFI,31.0,101.0,0.6448573610701135,0.21244550044056612,False,,,,,
TGCT,OS,,,,,False,0.8454511680750754,0.3622015936729807,1.9734526023230763,0.6978828673765517,87.0
THCA,OS,56.0,103.0,0.6771051377159627,0.17340283687684033,False,,,,,
THCA,OS,,,,,False,0.9454400817418426,0.5978808806476138,1.4950418671957066,0.8103621209213918,159.0
THCA,PFI,56.0,103.0,0.5107061136985709,0.4326200674323982,False,,,,,
THYM,OS,,,,,True,1.4575412060095927,1.0378501481823301,2.0469490426306494,0.02967664189866426,121.0
UCEC,OS,,,,,False,0.9233084411045824,0.6939068531968727,1.22854886572666,0.5840129561034072,121.0
