nct_id,title,status,phase,condition,gene_symbol
NCT03698370,Gallium Ga 68 DOTA-NeoBOMB1 and Gallium Ga 68 PSMA-R2 PET/MRI in Diagnosing Participants With Recurrent Prostate Cancer,COMPLETED,PHASE2,This phase II trial studies how well gallium Ga 68 DOTA-NeoBOMB1 and gallium Ga 68 PSMA-R2 positron emission tomography ,FOLH1
NCT06384222,Hyperpolarized (HP) 13C Pyruvate Magnetic Resonance Imaging (MRI) for Response Monitoring to Neoadjuvant Abiraterone,RECRUITING,PHASE2,This study will evaluate the use of hyperpolarized 13C MRI (HP 13C MRI) and the HP-derived 13C pyruvate-to-lactate conve,FOLH1
NCT07533344,Ga-68 PSMA PET/CT vs mpMRI in Cognitive Prostate Biopsy,COMPLETED,NA,Prostate cancer is the most common malignancy among elderly men. With the routine use of prostate-specific antigen (PSA),FOLH1
NCT05539300,PSMA Response in Metastasized Hormone Sensitive Prostate Cancer - Enzalutamide,UNKNOWN,NA,PSMA-PET/CT response measurements after LHRH agonist and upfront enzalutamide therapy in men diagnosed with de novo meta,FOLH1
NCT05095519,Hepatocellular Carcinoma Imaging Using PSMA PET/CT,ACTIVE_NOT_RECRUITING,PHASE2,The purpose of the research is to evaluate the use of a PSMA PET/CT (Prostate Specific Membrane Antigen Positron Emissio,FOLH1
NCT05219500,Targeted Alpha Therapy With 225Actinium-Prostate Specific Membrane Antigen (PSMA)-I&T of Castration-resISTant Prostate Cancer (TATCIST).,ACTIVE_NOT_RECRUITING,PHASE2,The treatment regimen will consist of 4 doses of FPI-2265,FOLH1
NCT06828263,Prospective Evaluation of Imaging Response Biomarkers During [177Lu]Lu-PSMA in Metastatic Castration-resistant Prostate Cancer,RECRUITING,NA,Lutetium-177 (177Lu) prostate-specific membrane antigen (177Lu-PSMA) is a radiolabelled small-molecule inhibitor that bi,FOLH1
NCT05134064,68Ga-PSMA PET/CT Imaging in Assessment of Prostate Cancer,COMPLETED,NA,"Dual-time point 68Ga-PSMA PET/CT could increase the lesion detection in PCa patients, it remains difficult to perform in",FOLH1
NCT03358563,Pilot Trial of Chemohormonal Therapy Followed by Prostatectomy in High Risk Prostate Cancer,COMPLETED,EARLY_PHASE1,This is a pilot multimodality treatment approach trial with androgen deprivation therapy in combination with docetaxel c,FOLH1
NCT06574880,STereotActic Body Radiotherapy and 177Lutetium PSMA in Locally Advanced Prostate Cancer,RECRUITING,PHASE1,The goal of this clinical trial is to is to investigate if it is possible to lower the chance of cancer reoccurrence and,FOLH1
NCT05622162,Prospective Comparative Study for Patients With Biochemical Recurrence Prostate Cancer Detecting by 18F-JK-PSMA-7,UNKNOWN,PHASE3,The present study in patients with Prostate cancer and biochemical failure after surgery and/or radical-postoperative Ra,FOLH1
NCT04543903,Neoadjuvant Interstitial Brachytherapy Using Diffusing Alpha Emitters Radiation Therapy in Men With Prostate Cancer,COMPLETED,NA,A unique approach for cancer treatment employing intratumoral diffusing alpha radiation emitter device as a neo-adjuvant,FOLH1
NCT07386496,The Role of 18F-PSMA PET in Prostate Cancer Diagnosis in Equivocal MRI,NOT_YET_RECRUITING,NA,This study is a multi-center RCT to compare the clinically significant prostate cancer (csPCa) detection and/or change i,FOLH1
NCT06865768,An Investigational Scan (18F-rhPSMA-7.3 PET-mpMRI) for Targeted Prostate Biopsy Using TRUS-MR Fusion Technique,RECRUITING,PHASE2,This phase II trial evaluates an imaging technique called 18F-rhPSMA-7.3 positron emission tomography (PET)-multiparamet,FOLH1
NCT06982469,High Dose Rate (HDR) Brachytherapy Salvage After Prostatectomy,RECRUITING,NA,The goal of this observational study is to learn about the long-term effects of HDR Brachytherapy in men with isolated l,FOLH1
NCT05919329,Evaluation of the Change in PSMA Expression in Prostate Cancer in Response to Hormonal Therapy,RECRUITING,PHASE4,This clinical trial investigates the change in prostate-specific membrane antigen (PSMA) expression in response to hormo,FOLH1
NCT07428642,PSMA PET/CT-Based Multimodal Model for Predicting Response to First-Line Therapy in mHSPC.,COMPLETED,NA,This multicenter retrospective study developed and validated a prediction model based on PSMA PET/CT and routine clinica,FOLH1
NCT05656573,CART-PSMA Cells for Advanced Prostate Cancer,RECRUITING,PHASE1,"This is a single center, open-label phase 1 study to assess the safety and feasibility of PSMA-specific CAR modified aut",FOLH1
NCT04693169,[Al18F]PSMA137 PET/CT Imaging for PSMA-Positive Cancer Patients,UNKNOWN,NA,"To investigate the radioactive uptake of \[Al 18 F\]PSMA137 in PCa patients, and evaluate the ability of \[Al 18 F\]PSMA",FOLH1
NCT03134261,Diagnostic Imaging of Bone Metastases in Prostate Cancer Patients,UNKNOWN,NA,An improved diagnosis of bone metastases in prostate cancer patients can have a significant impact on treatment strategy,FOLH1
NCT06004661,Study of Lutetium (177Lu) Vipivotide Tetraxetan in mCRPC Participants With Moderately and Severely Impaired and With Normal Renal Function,ACTIVE_NOT_RECRUITING,PHASE2,This study will address health authorities' requests to determine whether moderate and severe renal impairment have an i,FOLH1
NCT03780075,Lu177-EB-PSMA617 Radionuclide Treatment in Patients With Metastatic Castration-resistant Prostate Cancer,UNKNOWN,PHASE1,"In prior studies, the investigators synthesized 177Lu-EB-PSMA-617 by conjugating a truncated Evans Blue (EB) molecule an",FOLH1
NCT07409766,A Phase I Platform Study of Target-Based Screened CAR-Macrophages for the Treatment of Advanced Malignant Tumors,NOT_YET_RECRUITING,EARLY_PHASE1,"This is a single-arm, open-label, single-center, dose-escalation platform clinical trial design. Using an adenovirus vec",FOLH1
NCT04214353,PSMA-PET Imaging Before and After ADT in Advanced SDC Patients,UNKNOWN,NA,"Explorative study, which evaluates the effect of androgen deprivation therapy (ADT) on the PSMA ligand uptake on 68Ga-PS",FOLH1
NCT03545165,177Lu-J591 and 177Lu-PSMA-617 Combination for mCRPC,TERMINATED,PHASE1,Phase I dose escalation study with combination of 177Lu-J591 and 177Lu-PSMA-617 using a dose-fractionated regimen will b,FOLH1
NCT06867588,The Added-value of PSMA PET in Detecting Clinically Significant Prostate Cancer Lesions in Patients Undergoing MRI-targeted Biopsy. (PANDORA),RECRUITING,NA,"Prostate Specific Membrane Antigen (PSMA) positron emission tomography/computed tomography (PET/CT), an imaging modality",FOLH1
NCT04593589,Submandibular Gland Stem Cell Transplantation,RECRUITING,PHASE1,This study is a phase I safety and feasibility study to treat head and neck cancer patients with autologous salivary gla,FOLH1
NCT07635524,A Phase 2 Trial of 61Cu-NU101 PET/CT Compared Against Current Standard-of-care 18F-piflufolastat (Pylarify®) PET/CT.,NOT_YET_RECRUITING,PHASE2,The purpose of this research is to test whether a new investigational Molecular Imaging (MI) agent called 61Cu-NU101 is ,FOLH1
NCT03089203,CART-PSMA-TGFβRDN Cells for Castrate-Resistant Prostate Cancer,ACTIVE_NOT_RECRUITING,PHASE1,"This is a single center, single arm Phase I study to establish the safety and feasibility of intravenously administered ",FOLH1
NCT05616650,Focal Therapy With Stereotactic Body Radiation Therapy (SBRT) for Patients With a Single Prostate Tumor,RECRUITING,PHASE2,"Background:

The current standard treatment of prostate cancer is either surgery or radiation. Typically, this includes ",FOLH1
NCT03911310,[18F]PSMA-11 PET/CT Phase 3 Clinical Study,COMPLETED,PHASE3,Prostate cancer (PCa) is the most frequently occurring male cancer in Belgium. After treatment with surgery and/or radio,FOLH1
NCT04790968,Combined PSMA PET/MRI for Detection of Lymph Node Metastases in High-risk Prostate Cancer Patients,COMPLETED,NA,"For high-risk prostate cancer patients, detection of lymph node metastases is crucial to ensure optimal treatment.

Stan",FOLH1
NCT06956391,Ultralow Dose PET Imaging of 18F-FDG Uptake,RECRUITING,PHASE2,The goal of this clinical trial is to evaluate an investigational ultralow dose PET imaging technique for cancer detecti,FOLH1
NCT07370597,LUtetium-177 DOsimetry as a Predictive Biomarker of Response in Metastatic Prostate Cancer Patients Treated With PSMA Radioligand THerapy.,RECRUITING,NA,A substantial proportion of patients with mCRPC do not respond to 177Lu-PSMA-RLT. The PSA response to Lu-PSMA was observ,FOLH1
NCT07490210,Rezvilutamide With Radical Prostatectomy and Metastasis-Directed Therapy in Oligometastatic Prostate Cancer,NOT_YET_RECRUITING,PHASE2,"Prostate cancer represents the second most common malignancy in men worldwide. Oligometastatic prostate cancer (OMPC), d",FOLH1
NCT07691697,PSMA PET-Guided Progression-Directed Radiotherapy for Oligoprogressive Prostate Cancer,RECRUITING,NA,PSMA-OLIGO-PRO is a multicenter ambispective observational real-world registry evaluating outcomes after PSMA PET-guided,FOLH1
NCT06387056,Genomic Biomarker-guided Neoadjuvant Therapy for Prostate Cancer (SEGNO),RECRUITING,PHASE2,To evaluated the safety and efficacy of genomic biomarker-guided neoadjuvant therapy for locally advanced and oligometas,FOLH1
NCT05192694,Evaluation of Fapi-pet in Prostate Cancer.,UNKNOWN,NA,The investigators explore the biodistribution of FAPI-PET expression in primary high-risk prostate cancer in men undergo,FOLH1
