cancer_type,folr1_mean,folr1_median,folr1_std,n_samples,expression_rank,gene_median,gene_mean
OV,12.362906976744187,12.59,1.7521918148281461,86,1,12.59,12.362906976744187
LUAD,10.775170454545455,11.67,2.4750914498387604,176,2,11.67,10.775170454545455
KIRP,10.2225,10.68,1.8105676417038903,136,3,10.68,10.2225
KIRC,9.775570469798657,10.17,1.848248031848048,149,4,10.17,9.775570469798657
UCEC,8.78214876033058,9.1,2.8831667215672114,121,5,9.1,8.78214876033058
THCA,8.842201257861635,9.08,1.3634369489159712,159,6,9.08,8.842201257861635
LUSC,7.81422619047619,8.01,3.373979774301231,168,7,8.01,7.81422619047619
PAAD,7.32747572815534,7.48,1.9411729415770724,103,8,7.48,7.32747572815534
TGCT,6.230919540229886,6.55,2.2270340230815013,87,9,6.55,6.230919540229886
GBM,5.8146875,5.83,1.8999829954672003,32,10,5.83,5.8146875
BRCA,5.312971014492754,5.425,2.9158245342410734,138,11,5.425,5.312971014492754
STAD,4.703636363636363,4.545,2.8544338813133736,132,12,4.545,4.703636363636363
LGG,4.282213114754098,4.115,1.6650121049345705,122,13,4.115,4.282213114754098
PCPG,3.9000000000000004,3.96,2.4141959541974134,153,14,3.96,3.9000000000000004
PRAD,3.9217500000000003,3.935,1.9968035935451853,160,15,3.935,3.9217500000000003
CESC,4.2188118811881195,3.6,3.675175175996028,101,16,3.6,4.2188118811881195
THYM,3.4219834710743804,3.32,2.7789562248665445,121,17,3.32,3.4219834710743804
COAD,3.719109589041096,3.18,2.415467662645627,146,18,3.18,3.719109589041096
HNSC,3.2081578947368423,2.88,2.428741094123097,114,19,2.88,3.2081578947368423
SARC,2.646444444444444,2.37,2.199121760479155,135,20,2.37,2.646444444444444
LIHC,2.7304316546762593,2.34,2.4200373905674146,139,21,2.34,2.7304316546762593
BLCA,2.731304347826087,1.82,2.669352875694956,115,22,1.82,2.731304347826087
SKCM,1.2276229508196723,0.455,1.759333106783912,122,23,0.455,1.2276229508196723
LAML,0.867361963190184,0.36,0.7770590554013945,163,24,0.36,0.867361963190184
ACC,0.9687341772151898,0.0,1.782412918783892,79,25,0.0,0.9687341772151898
