cancer_type,endpoint,hazard_ratio,hr_lower_95,hr_upper_95,p_value,significant,n_samples,n_high,n_low,log_rank_p,log_rank_stat
ACC,OS,1.0315662736780218,0.8626177542506476,1.2336043070599259,0.7334384761086787,False,79.0,,,,
BLCA,OS,,,,,False,,21.0,94.0,0.11305297848543779,2.511016635192347
BLCA,OS,1.0658148779581968,0.9673007360602529,1.1743621313716104,0.19770965501281196,False,115.0,,,,
BLCA,PFI,,,,,False,,21.0,94.0,0.48444943871500534,0.48883053842745405
BRCA,OS,,,,,False,,72.0,66.0,0.13029753912215175,2.288956011405008
BRCA,OS,1.0655039181781878,0.9549861670204938,1.188811564878622,0.256123333210849,False,138.0,,,,
BRCA,PFI,,,,,False,,72.0,66.0,0.451476022314376,0.5669435713122695
CESC,OS,,,,,False,,32.0,69.0,0.2994943397985901,1.0764443645785986
CESC,OS,1.0010928553838483,0.9029090453761381,1.1099533338743892,0.983453939092981,False,101.0,,,,
CESC,PFI,,,,,False,,32.0,69.0,0.30449937716627384,1.0543848339039645
COAD,OS,,,,,False,,38.0,108.0,0.8316524256660696,0.045191426552798085
COAD,OS,0.9421483462074496,0.8141630034247181,1.090252814887957,0.42372068353494363,False,146.0,,,,
COAD,PFI,,,,,False,,38.0,108.0,0.7497184236785606,0.10176780590882566
HNSC,OS,0.9713244878684186,0.8789088344412158,1.0734574779108652,0.5684316490498811,False,114.0,,,,
KIRC,OS,1.161999556083424,0.8955866907780823,1.5076630573473442,0.25847539317379553,False,149.0,,,,
KIRP,OS,0.9712393995559193,0.7952841179903029,1.186124493009484,0.774753954431274,False,136.0,,,,
LAML,OS,1.4145349987104818,1.1048766233981295,1.8109798145813951,0.005938767900666783,True,163.0,,,,
LGG,OS,,,,,False,,23.0,99.0,0.05131792528494728,3.797866739452102
LGG,OS,1.1447381091072086,0.9815889632219781,1.3350041489270554,0.08487212415238236,False,122.0,,,,
LGG,PFI,,,,,False,,23.0,99.0,0.28141195847037936,1.1602583929008015
LIHC,OS,,,,,False,,21.0,118.0,0.4717198115420368,0.5179445179566726
LIHC,OS,1.0339796638803773,0.9513909923328328,1.1237377208046568,0.43143391173935697,False,139.0,,,,
LIHC,PFI,,,,,False,,21.0,118.0,0.58741478777411,0.2943997132546023
LUAD,OS,0.9155973210663123,0.8431614622428046,0.994256132287979,0.03599790463470769,True,176.0,,,,
LUSC,OS,,,,,False,,134.0,34.0,0.7782185680446249,0.07932182237801118
LUSC,OS,1.0477317847066303,0.9824246720920891,1.1173802163853255,0.15561512792253168,False,168.0,,,,
LUSC,PFI,,,,,False,,134.0,34.0,0.8826264462130672,0.02179773398068283
OV,OS,0.9134398294304212,0.7909061169410981,1.0549574774018546,0.2179603106381739,False,86.0,,,,
PAAD,OS,0.9945499626024625,0.8761080754895045,1.12900412150625,0.9326813665951096,False,103.0,,,,
PCPG,OS,,,,,False,,48.0,105.0,1.0,0.0
PCPG,PFI,,,,,False,,48.0,105.0,1.0,0.0
PRAD,OS,,,,,False,,29.0,131.0,0.5929800980174266,0.2857142857142857
PRAD,OS,0.09594151832644539,0.0007302436630226271,12.60507335412295,0.34629731894493276,False,160.0,,,,
PRAD,PFI,,,,,False,,29.0,131.0,0.36120382762202186,0.8337034210093696
SARC,OS,1.0065037318147805,0.8905408319764443,1.1375668872012774,0.9173296667457282,False,135.0,,,,
SKCM,OS,0.9795698894174646,0.848126886184276,1.1313839755397839,0.7788724642481406,False,122.0,,,,
STAD,OS,,,,,False,,55.0,77.0,0.9295380854991971,0.007819160084303143
STAD,OS,1.0129066886697857,0.9143497542168224,1.1220869861017064,0.8060399634118534,False,132.0,,,,
STAD,PFI,,,,,False,,55.0,77.0,0.42134527917356024,0.6465599490499707
TGCT,OS,,,,,False,,61.0,26.0,0.7504854193424543,0.10112359550561809
TGCT,OS,0.732944019770491,0.3881224262137755,1.3841172265099553,0.33815302376314793,False,87.0,,,,
TGCT,PFI,,,,,False,,61.0,26.0,0.09960000390547824,2.711936743963362
THCA,OS,1.342023437766083,0.6576936925304676,2.7383977191328515,0.4188338374260937,False,159.0,,,,
THYM,OS,,,,,False,,37.0,84.0,0.08421808987312743,2.9815595005661057
THYM,OS,0.805905733717976,0.5981947392304728,1.0857401595925364,0.15589497750050943,False,121.0,,,,
THYM,PFI,,,,,False,,37.0,84.0,0.06397967761504571,3.43109474695791
UCEC,OS,1.1809843497572108,0.9996269065504275,1.395244590988911,0.05051499160041687,False,121.0,,,,
