cancer_type,gpc3_mean,gpc3_median,gpc3_std,n_samples,expression_rank,gene_median,gene_mean
LUSC,9.741428571428571,10.415,2.296731936400455,168,1,10.415,9.741428571428571
TGCT,8.445172413793104,9.91,3.802636130330545,87,2,9.91,8.445172413793104
LIHC,10.002014388489208,9.62,3.4707820151794206,139,3,9.62,10.002014388489208
LUAD,8.879886363636363,8.89,2.0511515897553365,176,4,8.89,8.879886363636363
PAAD,8.001456310679611,7.98,1.1662537709978251,103,5,7.98,8.001456310679611
BRCA,8.190434782608696,7.9399999999999995,2.271332246622622,138,6,7.9399999999999995,8.190434782608696
SARC,8.002592592592592,7.89,3.218506644291372,135,7,7.89,8.002592592592592
STAD,7.557575757575758,7.58,2.3807090871368044,132,8,7.58,7.557575757575758
OV,7.431744186046512,7.37,1.9420445211231958,86,9,7.37,7.431744186046512
PRAD,6.848000000000001,6.9,0.9238038671198883,160,10,6.9,6.848000000000001
THYM,6.702148760330579,6.82,1.3406890060783239,121,11,6.82,6.702148760330579
PCPG,6.963725490196079,6.75,2.5126495457858984,153,12,6.75,6.963725490196079
KIRP,6.715588235294118,6.335,2.3510702888829105,136,13,6.335,6.715588235294118
BLCA,6.2923478260869565,6.19,2.165852747434552,115,14,6.19,6.2923478260869565
HNSC,6.556842105263158,6.16,2.775994541000177,114,15,6.16,6.556842105263158
ACC,5.936835443037975,6.14,1.9304672905162952,79,16,6.14,5.936835443037975
KIRC,6.328389261744967,5.88,2.566542544209089,149,17,5.88,6.328389261744967
SKCM,5.697950819672131,5.745,1.93948018021895,122,18,5.745,5.697950819672131
COAD,5.678698630136987,5.345000000000001,1.8636764791386577,146,19,5.345000000000001,5.678698630136987
UCEC,5.5242975206611575,5.33,2.594237789938271,121,20,5.33,5.5242975206611575
CESC,5.5968316831683165,5.32,3.2187460075914873,101,21,5.32,5.5968316831683165
GBM,5.1578125,5.035,1.8288983717069294,32,22,5.035,5.1578125
LGG,4.370983606557377,4.17,1.6596158122761822,122,23,4.17,4.370983606557377
THCA,4.225660377358491,3.86,2.1721046575660456,159,24,3.86,4.225660377358491
LAML,1.1136196319018405,0.62,1.7312483264994862,163,25,0.62,1.1136196319018405
