cancer_type,endpoint,n_high,n_low,log_rank_p,log_rank_stat,significant,hazard_ratio,hr_lower_95,hr_upper_95,p_value,n_samples
ACC,OS,30.0,49.0,0.19051625498797992,1.713620864601825,False,,,,,
ACC,OS,,,,,True,1.2337568171190647,1.0110717479268576,1.505487505618523,0.038604091463115255,79.0
ACC,PFI,30.0,49.0,0.10315234978069714,2.6561158236801288,False,,,,,
BLCA,OS,48.0,67.0,0.6809672999598555,0.16903899409045836,False,,,,,
BLCA,OS,,,,,False,0.970927924412641,0.8696195341435534,1.0840384758981525,0.5997612967983423,115.0
BLCA,PFI,48.0,67.0,0.8978018560808193,0.01649648359282957,False,,,,,
BRCA,OS,102.0,36.0,0.06149561865503286,3.496582209681335,False,,,,,
BRCA,OS,,,,,True,1.2014620961655975,1.0599423036676083,1.361877116827774,0.0040997241486456495,138.0
BRCA,PFI,102.0,36.0,0.021105878754676847,5.318028401567155,True,,,,,
CESC,OS,40.0,61.0,0.5463069454910339,0.3639748582777854,False,,,,,
CESC,OS,,,,,False,0.98152466574726,0.8737739451338445,1.1025628251282986,0.7532856409853096,101.0
CESC,PFI,40.0,61.0,0.4007978590398952,0.7059312420842137,False,,,,,
COAD,OS,42.0,104.0,0.2642130481677981,1.2465467891363762,False,,,,,
COAD,OS,,,,,False,1.1237154185356844,0.9567741182410754,1.3197852217995103,0.1551830861657964,146.0
COAD,PFI,42.0,104.0,0.5317451813897978,0.3910553589408848,False,,,,,
HNSC,OS,48.0,66.0,0.462083257297068,0.5408437549126117,False,,,,,
HNSC,OS,,,,,False,1.008808354667139,0.9260647161138187,1.0989451155389227,0.8408201191572945,114.0
HNSC,PFI,48.0,66.0,0.6774963338157576,0.17295785811055892,False,,,,,
KIRC,OS,55.0,94.0,0.7813379499472605,0.07704836902010727,False,,,,,
KIRC,OS,,,,,False,1.0327501893337632,0.9007597333089318,1.18408151933133,0.6441565344808557,149.0
KIRC,PFI,55.0,94.0,0.7986216986423502,0.06509197452586388,False,,,,,
KIRP,OS,63.0,73.0,0.0013632075196213672,10.254917198801092,True,,,,,
KIRP,OS,,,,,True,1.2636583296759558,1.0605836422934394,1.5056166345413229,0.008844464839953187,136.0
KIRP,PFI,63.0,73.0,0.04658899572732467,3.9601700855139685,True,,,,,
LAML,OS,,,,,True,1.1853964460119102,1.0606388226945898,1.3248286826309055,0.0027215813077231033,163.0
LGG,OS,,,,,False,0.9032595224303845,0.7627525347252323,1.0696493655770958,0.23821844071111195,122.0
LIHC,OS,109.0,30.0,0.0011713794389845947,10.534951696918645,True,,,,,
LIHC,OS,,,,,True,1.0940938283095483,1.031056503007944,1.160985165849655,0.002977093820304366,139.0
LIHC,PFI,109.0,30.0,0.025235657684858193,5.007642013944486,True,,,,,
LUAD,OS,,,,,True,0.8976871673286063,0.806967391798143,0.9986057163856662,0.047074175796136694,176.0
LUSC,OS,148.0,20.0,0.39455700492967327,0.7248518693654985,False,,,,,
LUSC,OS,,,,,False,0.9581476664046716,0.8738378617829223,1.0505918669667096,0.3629505205287782,168.0
LUSC,PFI,148.0,20.0,0.6180866996790877,0.24856588114303035,False,,,,,
OV,OS,61.0,25.0,0.09265368687743714,2.827652797420145,False,,,,,
OV,OS,,,,,False,0.8691209322115787,0.7483702595728204,1.0093549084105764,0.06606845399392956,86.0
OV,PFI,61.0,25.0,0.25164201021487004,1.3141646207401618,False,,,,,
PAAD,OS,,,,,False,0.9401654873974373,0.7838817674209855,1.1276077342650508,0.505934170576289,103.0
PCPG,OS,83.0,70.0,1.0,0.0,False,,,,,
PCPG,PFI,83.0,70.0,1.0,0.0,False,,,,,
PRAD,OS,99.0,61.0,0.26355247728296954,1.25,False,,,,,
PRAD,OS,,,,,False,0.15774347568755606,0.0057089641502770854,4.35858475670808,0.27544832970895405,160.0
PRAD,PFI,99.0,61.0,0.024026038162813672,5.092751820455564,True,,,,,
SARC,OS,94.0,41.0,0.8390595531967511,0.04124821643955402,False,,,,,
SARC,OS,,,,,False,1.0364543990627162,0.9467247631889394,1.1346885209994966,0.4383423322274831,135.0
SARC,PFI,94.0,41.0,0.8410964663909193,0.040196707572964015,False,,,,,
SKCM,OS,39.0,83.0,0.40295170618980114,0.699500137738402,False,,,,,
SKCM,OS,,,,,False,1.0806326673271827,0.9543052282630502,1.2236828711712469,0.22148984912961303,122.0
SKCM,PFI,39.0,83.0,0.6201821130539591,0.24561169053893456,False,,,,,
STAD,OS,88.0,44.0,0.0008309775204463916,11.170733848716102,True,,,,,
STAD,OS,,,,,True,1.1908890961557133,1.06421524487427,1.332640972936001,0.002329712879028816,132.0
STAD,PFI,88.0,44.0,3.6459147188394574e-05,17.047353731046638,True,,,,,
TGCT,OS,50.0,37.0,0.5262861036200472,0.4015572858731924,False,,,,,
TGCT,OS,,,,,False,0.9017490576259265,0.6208134257536431,1.3098160078321641,0.5871435622212651,87.0
TGCT,PFI,50.0,37.0,0.55836972991894,0.34253479813944965,False,,,,,
THCA,OS,30.0,129.0,0.2882024413156841,1.1279995486351195,False,,,,,
THCA,OS,,,,,False,1.1778642908399402,0.8506414761554306,1.6309624283854856,0.3242222694770343,159.0
THCA,PFI,30.0,129.0,0.3286512311557628,0.9542050956667044,False,,,,,
THYM,OS,73.0,48.0,0.08075650351299421,3.049610594754741,False,,,,,
THYM,OS,,,,,False,0.715833807835489,0.43146385105594054,1.1876268178346634,0.19558071371184038,121.0
THYM,PFI,73.0,48.0,0.7370230711175767,0.11276041020870349,False,,,,,
UCEC,OS,32.0,89.0,0.627753092711631,0.2351200668224778,False,,,,,
UCEC,OS,,,,,False,1.0916213482330235,0.9279722857446271,1.2841301256770676,0.29010955968442165,121.0
UCEC,PFI,32.0,89.0,0.09420192780777738,2.8010613930686086,False,,,,,
