cancer_type,grpr_mean,grpr_median,grpr_std,n_samples,expression_rank,gene_median,gene_mean
BRCA,5.9581884057971015,6.085,2.9435658487368674,138,1,6.085,5.9581884057971015
PRAD,4.613875,4.26,1.898899047959007,160,2,4.26,4.613875
SKCM,3.2475409836065574,3.1799999999999997,1.3872246574987697,122,3,3.1799999999999997,3.2475409836065574
TGCT,3.3082758620689656,3.02,2.086473717586212,87,4,3.02,3.3082758620689656
UCEC,2.8665289256198347,2.91,1.5791151059711686,121,5,2.91,2.8665289256198347
GBM,2.8653125,2.7350000000000003,1.158165914837042,32,6,2.7350000000000003,2.8653125
PAAD,2.9914563106796117,2.64,1.6923463279307707,103,7,2.64,2.9914563106796117
LGG,2.5885245901639347,2.63,0.9198999874951796,122,8,2.63,2.5885245901639347
ACC,2.9184810126582277,2.61,2.0653447521292128,79,9,2.61,2.9184810126582277
STAD,3.0694696969696973,2.59,1.8889317286261549,132,10,2.59,3.0694696969696973
PCPG,2.9498039215686274,2.44,1.9039337638399567,153,11,2.44,2.9498039215686274
KIRC,2.6538926174496646,2.36,1.4495002453825416,149,12,2.36,2.6538926174496646
SARC,2.398962962962963,2.32,1.400925746204707,135,13,2.32,2.398962962962963
LUSC,2.1883333333333335,2.05,1.3166004430148526,168,14,2.05,2.1883333333333335
COAD,2.712328767123288,2.045,1.838655446185455,146,15,2.045,2.712328767123288
LUAD,1.9047159090909092,1.83,0.9408233044837594,176,16,1.83,1.9047159090909092
THCA,1.831509433962264,1.81,0.9172476638341311,159,17,1.81,1.831509433962264
LAML,1.6262576687116563,1.65,1.085745511578588,163,18,1.65,1.6262576687116563
KIRP,1.4606617647058824,1.51,0.9095095969651321,136,19,1.51,1.4606617647058824
HNSC,1.5945614035087718,1.5,1.0841440817536903,114,20,1.5,1.5945614035087718
LIHC,2.0823741007194245,1.43,2.134459366343324,139,21,1.43,2.0823741007194245
OV,1.692093023255814,1.42,1.3340051294363593,86,22,1.42,1.692093023255814
BLCA,1.5429565217391303,1.26,1.1747698348015772,115,23,1.26,1.5429565217391303
CESC,1.032871287128713,0.85,0.8434919521058436,101,24,0.85,1.032871287128713
THYM,0.8765289256198348,0.7,1.1019873794980606,121,25,0.7,0.8765289256198348
