cancer_type,threshold_method,threshold_value,n_eligible,n_total,pct_eligible,expression_group,dataset,is_priority_cancer,gene_symbol
ACC,median,2.61,40,79,50.6,GRPR-High,TCGA,False,GRPR
ACC,median,2.61,39,79,49.4,GRPR-Low,TCGA,False,GRPR
ACC,75th_pct,3.8,20,79,25.3,GRPR-High,TCGA,False,GRPR
ACC,75th_pct,3.8,59,79,74.7,GRPR-Low,TCGA,False,GRPR
ACC,log2tpm_2.5,2.5,41,79,51.9,GRPR-High,TCGA,False,GRPR
ACC,log2tpm_2.5,2.5,38,79,48.1,GRPR-Low,TCGA,False,GRPR
ACC,log2tpm_3.0,3.0,30,79,38.0,GRPR-High,TCGA,False,GRPR
ACC,log2tpm_3.0,3.0,49,79,62.0,GRPR-Low,TCGA,False,GRPR
BLCA,median,1.26,58,115,50.4,GRPR-High,TCGA,True,GRPR
BLCA,median,1.26,57,115,49.6,GRPR-Low,TCGA,True,GRPR
BLCA,75th_pct,2.275,29,115,25.2,GRPR-High,TCGA,True,GRPR
BLCA,75th_pct,2.275,86,115,74.8,GRPR-Low,TCGA,True,GRPR
BLCA,log2tpm_2.5,2.5,24,115,20.9,GRPR-High,TCGA,True,GRPR
BLCA,log2tpm_2.5,2.5,91,115,79.1,GRPR-Low,TCGA,True,GRPR
BLCA,log2tpm_3.0,3.0,15,115,13.0,GRPR-High,TCGA,True,GRPR
BLCA,log2tpm_3.0,3.0,100,115,87.0,GRPR-Low,TCGA,True,GRPR
BRCA,median,6.085,69,138,50.0,GRPR-High,TCGA,True,GRPR
BRCA,median,6.085,69,138,50.0,GRPR-Low,TCGA,True,GRPR
BRCA,75th_pct,8.387500000000001,35,138,25.4,GRPR-High,TCGA,True,GRPR
BRCA,75th_pct,8.387500000000001,103,138,74.6,GRPR-Low,TCGA,True,GRPR
BRCA,log2tpm_2.5,2.5,116,138,84.1,GRPR-High,TCGA,True,GRPR
BRCA,log2tpm_2.5,2.5,22,138,15.9,GRPR-Low,TCGA,True,GRPR
BRCA,log2tpm_3.0,3.0,111,138,80.4,GRPR-High,TCGA,True,GRPR
BRCA,log2tpm_3.0,3.0,27,138,19.6,GRPR-Low,TCGA,True,GRPR
CESC,median,0.85,51,101,50.5,GRPR-High,TCGA,False,GRPR
CESC,median,0.85,50,101,49.5,GRPR-Low,TCGA,False,GRPR
CESC,75th_pct,1.53,26,101,25.7,GRPR-High,TCGA,False,GRPR
CESC,75th_pct,1.53,75,101,74.3,GRPR-Low,TCGA,False,GRPR
CESC,log2tpm_2.5,2.5,5,101,5.0,GRPR-High,TCGA,False,GRPR
CESC,log2tpm_2.5,2.5,96,101,95.0,GRPR-Low,TCGA,False,GRPR
CESC,log2tpm_3.0,3.0,4,101,4.0,GRPR-High,TCGA,False,GRPR
CESC,log2tpm_3.0,3.0,97,101,96.0,GRPR-Low,TCGA,False,GRPR
COAD,median,2.045,73,146,50.0,GRPR-High,TCGA,False,GRPR
COAD,median,2.045,73,146,50.0,GRPR-Low,TCGA,False,GRPR
COAD,75th_pct,3.9299999999999997,37,146,25.3,GRPR-High,TCGA,False,GRPR
COAD,75th_pct,3.9299999999999997,109,146,74.7,GRPR-Low,TCGA,False,GRPR
COAD,log2tpm_2.5,2.5,61,146,41.8,GRPR-High,TCGA,False,GRPR
COAD,log2tpm_2.5,2.5,85,146,58.2,GRPR-Low,TCGA,False,GRPR
COAD,log2tpm_3.0,3.0,50,146,34.2,GRPR-High,TCGA,False,GRPR
COAD,log2tpm_3.0,3.0,96,146,65.8,GRPR-Low,TCGA,False,GRPR
GBM,median,2.7350000000000003,16,32,50.0,GRPR-High,TCGA,False,GRPR
GBM,median,2.7350000000000003,16,32,50.0,GRPR-Low,TCGA,False,GRPR
GBM,75th_pct,3.495,8,32,25.0,GRPR-High,TCGA,False,GRPR
GBM,75th_pct,3.495,24,32,75.0,GRPR-Low,TCGA,False,GRPR
GBM,log2tpm_2.5,2.5,20,32,62.5,GRPR-High,TCGA,False,GRPR
GBM,log2tpm_2.5,2.5,12,32,37.5,GRPR-Low,TCGA,False,GRPR
GBM,log2tpm_3.0,3.0,10,32,31.2,GRPR-High,TCGA,False,GRPR
GBM,log2tpm_3.0,3.0,22,32,68.8,GRPR-Low,TCGA,False,GRPR
HNSC,median,1.5,57,114,50.0,GRPR-High,TCGA,False,GRPR
HNSC,median,1.5,57,114,50.0,GRPR-Low,TCGA,False,GRPR
HNSC,75th_pct,2.16,30,114,26.3,GRPR-High,TCGA,False,GRPR
HNSC,75th_pct,2.16,84,114,73.7,GRPR-Low,TCGA,False,GRPR
HNSC,log2tpm_2.5,2.5,24,114,21.1,GRPR-High,TCGA,False,GRPR
HNSC,log2tpm_2.5,2.5,90,114,78.9,GRPR-Low,TCGA,False,GRPR
HNSC,log2tpm_3.0,3.0,16,114,14.0,GRPR-High,TCGA,False,GRPR
HNSC,log2tpm_3.0,3.0,98,114,86.0,GRPR-Low,TCGA,False,GRPR
KIRC,median,2.36,75,149,50.3,GRPR-High,TCGA,True,GRPR
KIRC,median,2.36,74,149,49.7,GRPR-Low,TCGA,True,GRPR
KIRC,75th_pct,3.19,38,149,25.5,GRPR-High,TCGA,True,GRPR
KIRC,75th_pct,3.19,111,149,74.5,GRPR-Low,TCGA,True,GRPR
KIRC,log2tpm_2.5,2.5,68,149,45.6,GRPR-High,TCGA,True,GRPR
KIRC,log2tpm_2.5,2.5,81,149,54.4,GRPR-Low,TCGA,True,GRPR
KIRC,log2tpm_3.0,3.0,42,149,28.2,GRPR-High,TCGA,True,GRPR
KIRC,log2tpm_3.0,3.0,107,149,71.8,GRPR-Low,TCGA,True,GRPR
KIRP,median,1.51,68,136,50.0,GRPR-High,TCGA,False,GRPR
KIRP,median,1.51,68,136,50.0,GRPR-Low,TCGA,False,GRPR
KIRP,75th_pct,2.0225,34,136,25.0,GRPR-High,TCGA,False,GRPR
KIRP,75th_pct,2.0225,102,136,75.0,GRPR-Low,TCGA,False,GRPR
KIRP,log2tpm_2.5,2.5,13,136,9.6,GRPR-High,TCGA,False,GRPR
KIRP,log2tpm_2.5,2.5,123,136,90.4,GRPR-Low,TCGA,False,GRPR
KIRP,log2tpm_3.0,3.0,4,136,2.9,GRPR-High,TCGA,False,GRPR
KIRP,log2tpm_3.0,3.0,132,136,97.1,GRPR-Low,TCGA,False,GRPR
LAML,median,1.65,82,163,50.3,GRPR-High,TCGA,False,GRPR
LAML,median,1.65,81,163,49.7,GRPR-Low,TCGA,False,GRPR
LAML,75th_pct,2.395,41,163,25.2,GRPR-High,TCGA,False,GRPR
LAML,75th_pct,2.395,122,163,74.8,GRPR-Low,TCGA,False,GRPR
LAML,log2tpm_2.5,2.5,39,163,23.9,GRPR-High,TCGA,False,GRPR
LAML,log2tpm_2.5,2.5,124,163,76.1,GRPR-Low,TCGA,False,GRPR
LAML,log2tpm_3.0,3.0,14,163,8.6,GRPR-High,TCGA,False,GRPR
LAML,log2tpm_3.0,3.0,149,163,91.4,GRPR-Low,TCGA,False,GRPR
LGG,median,2.63,61,122,50.0,GRPR-High,TCGA,False,GRPR
LGG,median,2.63,61,122,50.0,GRPR-Low,TCGA,False,GRPR
LGG,75th_pct,3.08,31,122,25.4,GRPR-High,TCGA,False,GRPR
LGG,75th_pct,3.08,91,122,74.6,GRPR-Low,TCGA,False,GRPR
LGG,log2tpm_2.5,2.5,70,122,57.4,GRPR-High,TCGA,False,GRPR
LGG,log2tpm_2.5,2.5,52,122,42.6,GRPR-Low,TCGA,False,GRPR
LGG,log2tpm_3.0,3.0,34,122,27.9,GRPR-High,TCGA,False,GRPR
LGG,log2tpm_3.0,3.0,88,122,72.1,GRPR-Low,TCGA,False,GRPR
LIHC,median,1.43,70,139,50.4,GRPR-High,TCGA,False,GRPR
LIHC,median,1.43,69,139,49.6,GRPR-Low,TCGA,False,GRPR
