cancer_type,grpr_mean,grpr_median,grpr_std,n_samples,expression_rank,gene_median,gene_mean,expr_rank_score,hr,surv_pval,survival_impact,cna_score,tissue,protein_score,priority_score,priority_label,priority_rank
BRCA,5.9581884057971015,6.085,2.9435658487368674,138,1,6.085,5.9581884057971015,1.0,1.0371101129841025,0.4359965049178476,0.0,0.15,Breast,0.5,0.4475,EXPLORATORY,1
PRAD,4.613875,4.26,1.898899047959007,160,2,4.26,4.613875,0.9583333333333334,0.8280606213314187,0.7511648968231521,0.0,0.15,Prostate,0.5,0.43291666666666667,EXPLORATORY,2
LGG,2.5885245901639347,2.63,0.9198999874951796,122,8,2.63,2.5885245901639347,0.7083333333333333,1.4734621931125234,0.0103339001073407,0.23673109655626168,0.15,,0.5,0.42827255046135826,EXPLORATORY,3
SKCM,3.2475409836065574,3.18,1.3872246574987697,122,3,3.18,3.2475409836065574,0.9166666666666666,0.918758651043806,0.3486317128595532,0.0,0.15,,0.5,0.41833333333333333,EXPLORATORY,4
TGCT,3.3082758620689656,3.02,2.086473717586212,87,4,3.02,3.3082758620689656,0.875,0.507573502786704,0.2651165578825858,0.0,0.15,,0.5,0.40375,EXPLORATORY,5
UCEC,2.8665289256198347,2.91,1.5791151059711686,121,5,2.91,2.8665289256198347,0.8333333333333334,1.2177670074895066,0.1542501833132626,0.0,0.15,,0.5,0.3891666666666667,EXPLORATORY,6
GBM,2.8653125,2.7350000000000003,1.158165914837042,32,6,2.7350000000000003,2.8653125,0.7916666666666666,,,0.0,0.15,,0.5,0.3745833333333333,EXPLORATORY,7
PAAD,2.991456310679612,2.64,1.6923463279307709,103,7,2.64,2.991456310679612,0.75,0.9756928126708184,0.7806035216837426,0.0,0.15,Pancreas,0.5,0.36,EXPLORATORY,8
ACC,2.918481012658228,2.61,2.0653447521292128,79,9,2.61,2.918481012658228,0.6666666666666667,0.9837734903128248,0.8615649861879765,0.0,0.15,,0.5,0.33083333333333337,EXPLORATORY,9
STAD,3.0694696969696973,2.59,1.8889317286261549,132,10,2.59,3.0694696969696973,0.625,1.125752653919816,0.0833146822607447,0.0,0.15,,0.5,0.31625,EXPLORATORY,10
PCPG,2.949803921568628,2.44,1.9039337638399567,153,11,2.44,2.949803921568628,0.5833333333333333,,,0.0,0.15,,0.5,0.30166666666666664,EXPLORATORY,11
KIRC,2.6538926174496646,2.36,1.4495002453825416,149,12,2.36,2.6538926174496646,0.5416666666666667,1.103594711591165,0.3919562536204348,0.0,0.15,Kidney,0.5,0.28708333333333336,EXPLORATORY,12
SARC,2.398962962962963,2.32,1.400925746204707,135,13,2.32,2.398962962962963,0.5,1.13003291002599,0.250475536485819,0.0,0.15,,0.5,0.27249999999999996,EXPLORATORY,13
LUSC,2.188333333333333,2.05,1.3166004430148526,168,14,2.05,2.188333333333333,0.45833333333333337,0.9173880717900516,0.2385700089817769,0.0,0.15,Lung,0.5,0.2579166666666667,EXPLORATORY,14
COAD,2.712328767123288,2.045,1.838655446185455,146,15,2.045,2.712328767123288,0.41666666666666663,1.071828630150068,0.4253408826902582,0.0,0.15,Colon,0.5,0.2433333333333333,EXPLORATORY,15
LUAD,1.9047159090909087,1.83,0.9408233044837594,176,16,1.83,1.9047159090909087,0.375,0.9359637137935314,0.5960050837527866,0.0,0.15,Lung,0.5,0.22874999999999995,EXPLORATORY,16
THCA,1.831509433962264,1.81,0.9172476638341313,159,17,1.81,1.831509433962264,0.33333333333333337,0.9477077985454696,0.885321707910015,0.0,0.15,,0.5,0.21416666666666667,EXPLORATORY,17
LAML,1.6262576687116563,1.65,1.085745511578588,163,18,1.65,1.6262576687116563,0.29166666666666663,1.1114101374180547,0.2246766956446884,0.0,0.15,,0.5,0.19958333333333333,EXPLORATORY,18
KIRP,1.4606617647058824,1.51,0.909509596965132,136,19,1.51,1.4606617647058824,0.25,1.308147056254455,0.3397455875399951,0.0,0.15,,0.5,0.185,EXPLORATORY,19
HNSC,1.5945614035087718,1.5,1.0841440817536905,114,20,1.5,1.5945614035087718,0.20833333333333337,1.095153906331921,0.4201691367343259,0.0,0.15,,0.5,0.17041666666666666,EXPLORATORY,20
LIHC,2.0823741007194245,1.43,2.134459366343324,139,21,1.43,2.0823741007194245,0.16666666666666663,0.9695336969115236,0.5693332894561509,0.0,0.15,Liver,0.5,0.15583333333333332,EXPLORATORY,21
OV,1.692093023255814,1.42,1.3340051294363593,86,22,1.42,1.692093023255814,0.125,1.0812841890202691,0.4323433894547899,0.0,0.15,Ovary,0.5,0.14125,EXPLORATORY,22
BLCA,1.5429565217391303,1.26,1.1747698348015772,115,23,1.26,1.5429565217391303,0.08333333333333337,1.0305718954683063,0.7648782593521907,0.0,0.15,Bladder,0.5,0.12666666666666668,EXPLORATORY,23
CESC,1.032871287128713,0.85,0.8434919521058436,101,24,0.85,1.032871287128713,0.04166666666666663,1.1826184835367453,0.3808892971492478,0.0,0.15,,0.5,0.11208333333333331,EXPLORATORY,24
THYM,0.8765289256198348,0.7,1.1019873794980606,121,25,0.7,0.8765289256198348,0.0,0.8389661822227001,0.6489473198588096,0.0,0.15,,0.5,0.0975,EXPLORATORY,25
