cancer_type,endpoint,n_high,n_low,log_rank_p,log_rank_stat,significant,hazard_ratio,hr_lower_95,hr_upper_95,p_value,n_samples
ACC,OS,45.0,34.0,0.7386433690015222,0.11132260067412582,False,,,,,
ACC,OS,,,,,False,0.9837734903128249,0.8185402261473868,1.1823612931003509,0.8615649861879765,79.0
ACC,PFI,45.0,34.0,0.39088876400494654,0.7361754966157555,False,,,,,
BLCA,OS,33.0,82.0,0.9987524271606619,2.444849069146361e-06,False,,,,,
BLCA,OS,,,,,False,1.0305718954683065,0.8460040736403726,1.255405812833729,0.7648782593521907,115.0
BLCA,PFI,33.0,82.0,0.4926973467912633,0.4706302937495432,False,,,,,
BRCA,OS,,,,,False,1.0371101129841023,0.9462546830508349,1.1366891025427177,0.4359965049178476,138.0
CESC,OS,,,,,False,1.1826184835367453,0.8126621632419377,1.7209937177626144,0.3808892971492478,101.0
COAD,OS,69.0,77.0,0.4911063722590301,0.47410137131952595,False,,,,,
COAD,OS,,,,,False,1.0718286301500681,0.9037730915033177,1.2711338976672266,0.42534088269025827,146.0
COAD,PFI,69.0,77.0,0.2258777992161557,1.4666322636592202,False,,,,,
HNSC,OS,30.0,84.0,0.19326898965181302,1.6925209191853006,False,,,,,
HNSC,OS,,,,,False,1.095153906331921,0.8780069769112228,1.3660051800195843,0.4201691367343259,114.0
HNSC,PFI,30.0,84.0,0.3390217609003093,0.9141270355161624,False,,,,,
KIRC,OS,94.0,55.0,0.9650328726178157,0.0019218432732559221,False,,,,,
KIRC,OS,,,,,False,1.103594711591165,0.8806391776097409,1.3829969395158046,0.39195625362043485,149.0
KIRC,PFI,94.0,55.0,0.5685753897554494,0.32507198995809544,False,,,,,
KIRP,OS,27.0,109.0,0.14298854397662922,2.145498937590418,False,,,,,
KIRP,OS,,,,,False,1.308147056254455,0.7536278019676188,2.2706815172149444,0.3397455875399951,136.0
KIRP,PFI,27.0,109.0,0.09886648034827218,2.723734100150605,False,,,,,
LAML,OS,53.0,110.0,0.20699194806174712,1.5923412860611055,False,,,,,
LAML,OS,,,,,False,1.1114101374180547,0.9371800413287442,1.3180311563232747,0.22467669564468845,163.0
LAML,PFI,53.0,110.0,0.20699194806174712,1.5923412860611055,False,,,,,
LGG,OS,87.0,35.0,0.5082864685422847,0.43759307624733634,False,,,,,
LGG,OS,,,,,True,1.4734621931125234,1.095671951063751,1.9815153910110852,0.010333900107340721,122.0
LGG,PFI,87.0,35.0,0.07767747832312794,3.11283848905165,False,,,,,
LIHC,OS,51.0,88.0,0.8273245035337887,0.047582555899385266,False,,,,,
LIHC,OS,,,,,False,0.9695336969115236,0.8715264181818478,1.0785623589103777,0.5693332894561509,139.0
LIHC,PFI,51.0,88.0,0.5871590366736877,0.29480289104933927,False,,,,,
LUAD,OS,55.0,121.0,0.5362224871252885,0.3825860092344537,False,,,,,
LUAD,OS,,,,,False,0.9359637137935314,0.7328320152324687,1.1954009313584455,0.5960050837527866,176.0
LUAD,PFI,55.0,121.0,0.9592271958479779,0.0026136012601430847,False,,,,,
LUSC,OS,81.0,87.0,0.8080849682817162,0.05899909142036522,False,,,,,
LUSC,OS,,,,,False,0.9173880717900516,0.7948382070397165,1.0588329383373687,0.23857000898177697,168.0
LUSC,PFI,81.0,87.0,0.7425764021066377,0.10787509371465613,False,,,,,
OV,OS,24.0,62.0,0.9048273347421073,0.014295913584701947,False,,,,,
OV,OS,,,,,False,1.0812841890202691,0.8896519792045182,1.3141942296027247,0.4323433894547899,86.0
OV,PFI,24.0,62.0,0.5688505117361318,0.32460962090008416,False,,,,,
PAAD,OS,69.0,34.0,0.18284003886216568,1.7743873643665007,False,,,,,
PAAD,OS,,,,,False,0.9756928126708185,0.8205633621350382,1.1601498539010184,0.7806035216837426,103.0
PAAD,PFI,69.0,34.0,0.04139589501034595,4.159734389622027,True,,,,,
PCPG,OS,88.0,65.0,1.0,0.0,False,,,,,
PCPG,PFI,88.0,65.0,1.0,0.0,False,,,,,
PRAD,OS,,,,,False,0.8280606213314187,0.2579990838251583,2.657700881854496,0.7511648968231521,160.0
SARC,OS,72.0,63.0,0.5324948475751001,0.3896283003108468,False,,,,,
SARC,OS,,,,,False,1.13003291002599,0.9173682247940786,1.3919976114590729,0.25047553648581905,135.0
SARC,PFI,72.0,63.0,0.4616222206907237,0.541958430725643,False,,,,,
SKCM,OS,95.0,27.0,0.9120188001576839,0.012208591839196859,False,,,,,
SKCM,OS,,,,,False,0.9187586510438059,0.7695707229012172,1.0968679469582496,0.3486317128595532,122.0
SKCM,PFI,95.0,27.0,0.0777740313161235,3.1108150601738,False,,,,,
STAD,OS,82.0,50.0,0.016942018386467757,5.702370290254166,True,,,,,
STAD,OS,,,,,False,1.125752653919816,0.9845128031611796,1.2872550095217292,0.08331468226074473,132.0
STAD,PFI,82.0,50.0,0.020647509469185706,5.356302210313844,True,,,,,
TGCT,OS,58.0,29.0,0.07154597258900665,3.247191011235955,False,,,,,
TGCT,OS,,,,,False,0.507573502786704,0.154004032018615,1.6728838677420046,0.26511655788258587,87.0
TGCT,PFI,58.0,29.0,0.7468392733334498,0.10420618178197198,False,,,,,
THCA,OS,54.0,105.0,0.9048696907238629,0.014283131065265285,False,,,,,
THCA,OS,,,,,False,0.9477077985454697,0.45676416577997214,1.9663321659443582,0.885321707910015,159.0
THCA,PFI,54.0,105.0,0.4154831278517874,0.6630560034419158,False,,,,,
THYM,OS,,,,,False,0.8389661822227001,0.3939376404209016,1.7867402926039029,0.6489473198588096,121.0
UCEC,OS,85.0,36.0,0.21235209016332646,1.5553178901853806,False,,,,,
UCEC,OS,,,,,False,1.2177670074895066,0.9286487805651782,1.5968970353112582,0.1542501833132626,121.0
UCEC,PFI,85.0,36.0,0.49848136396789733,0.4581680931501057,False,,,,,
