tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Stomach,Stomach,Stomach,481.0,459.0006,63.74,669.4,359,TPM,gtex_v8,CA9,ENSG00000107159.12
Testis,Testis,Testis,56.33,54.0853,36.62,69.9,361,TPM,gtex_v8,CA9,ENSG00000107159.12
Brain - Cerebellar Hemisphere,Brain,Brain_Cerebellar_Hemisphere,43.3,48.0127,30.89,61.49,215,TPM,gtex_v8,CA9,ENSG00000107159.12
Brain - Cerebellum,Brain,Brain_Cerebellum,41.44,44.5083,29.47,54.35,241,TPM,gtex_v8,CA9,ENSG00000107159.12
Skin - Not Sun Exposed (Suprapubic),Skin,Skin_Not_Sun_Exposed_Suprapubic,11.69,19.0488,5.162,23.38,604,TPM,gtex_v8,CA9,ENSG00000107159.12
Skin - Sun Exposed (Lower leg),Skin,Skin_Sun_Exposed_Lower_leg,7.298,12.7638,3.256,15.49,701,TPM,gtex_v8,CA9,ENSG00000107159.12
Artery - Aorta,Blood Vessel,Artery_Aorta,4.665,13.2222,1.862,12.89,432,TPM,gtex_v8,CA9,ENSG00000107159.12
Adipose - Visceral (Omentum),Adipose Tissue,Adipose_Visceral_Omentum,3.682,9.7168,0.7437,9.454,541,TPM,gtex_v8,CA9,ENSG00000107159.12
Small Intestine - Terminal Ileum,Small Intestine,Small_Intestine_Terminal_Ileum,3.232,5.9089,1.756,6.828,187,TPM,gtex_v8,CA9,ENSG00000107159.12
Esophagus - Gastroesophageal Junction,Esophagus,Esophagus_Gastroesophageal_Junction,3.123,4.1565,2.175,4.604,375,TPM,gtex_v8,CA9,ENSG00000107159.12
Esophagus - Muscularis,Esophagus,Esophagus_Muscularis,3.022,4.079,2.189,4.635,515,TPM,gtex_v8,CA9,ENSG00000107159.12
Colon - Sigmoid,Colon,Colon_Sigmoid,2.544,2.9903,1.753,3.61,373,TPM,gtex_v8,CA9,ENSG00000107159.12
Pancreas,Pancreas,Pancreas,2.356,6.7174,1.105,6.77,328,TPM,gtex_v8,CA9,ENSG00000107159.12
Cells - Cultured fibroblasts,Skin,Cells_Cultured_fibroblasts,2.11,4.8438,0.6768,6.477,504,TPM,gtex_v8,CA9,ENSG00000107159.12
Artery - Tibial,Blood Vessel,Artery_Tibial,2.018,3.0809,1.332,3.25,663,TPM,gtex_v8,CA9,ENSG00000107159.12
Cervix - Endocervix,Cervix Uteri,Cervix_Endocervix,1.829,2.4137,0.8941,3.765,10,TPM,gtex_v8,CA9,ENSG00000107159.12
Fallopian Tube,Fallopian Tube,Fallopian_Tube,1.747,2.1973,1.252,1.983,9,TPM,gtex_v8,CA9,ENSG00000107159.12
Bladder,Bladder,Bladder,1.691,3.5701,0.8855,2.193,21,TPM,gtex_v8,CA9,ENSG00000107159.12
Uterus,Uterus,Uterus,1.654,2.2178,1.186,2.352,142,TPM,gtex_v8,CA9,ENSG00000107159.12
Prostate,Prostate,Prostate,1.349,2.8493,0.8162,2.387,245,TPM,gtex_v8,CA9,ENSG00000107159.12
Ovary,Ovary,Ovary,1.301,2.6313,0.803,2.428,180,TPM,gtex_v8,CA9,ENSG00000107159.12
Cervix - Ectocervix,Cervix Uteri,Cervix_Ectocervix,1.232,1.5095,0.7404,1.504,9,TPM,gtex_v8,CA9,ENSG00000107159.12
Colon - Transverse,Colon,Colon_Transverse,1.217,2.4142,0.7198,2.074,406,TPM,gtex_v8,CA9,ENSG00000107159.12
Artery - Coronary,Blood Vessel,Artery_Coronary,1.187,1.9339,0.6895,2.172,240,TPM,gtex_v8,CA9,ENSG00000107159.12
