tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Spleen,Spleen,Spleen,166.2,187.1965,116.8,226.7,241,TPM,gtex_v8,CD19,ENSG00000177455.12
Cells - EBV-transformed lymphocytes,Blood Vessel,Cells_EBV-transformed_lymphocytes,138.7,145.3801,119.9,166.0,174,TPM,gtex_v8,CD19,ENSG00000177455.12
Small Intestine - Terminal Ileum,Small Intestine,Small_Intestine_Terminal_Ileum,29.36,100.812,3.384,176.9,187,TPM,gtex_v8,CD19,ENSG00000177455.12
Testis,Testis,Testis,12.64,12.8994,7.095,17.27,361,TPM,gtex_v8,CD19,ENSG00000177455.12
Whole Blood,Blood,Whole_Blood,7.28,10.6606,3.922,12.75,755,TPM,gtex_v8,CD19,ENSG00000177455.12
Colon - Transverse,Colon,Colon_Transverse,1.699,4.7681,0.5886,5.178,406,TPM,gtex_v8,CD19,ENSG00000177455.12
Lung,Lung,Lung,1.363,2.1272,0.728,2.302,578,TPM,gtex_v8,CD19,ENSG00000177455.12
Ovary,Ovary,Ovary,1.112,1.3571,0.7732,1.742,180,TPM,gtex_v8,CD19,ENSG00000177455.12
Fallopian Tube,Fallopian Tube,Fallopian_Tube,1.085,1.0668,0.9659,1.413,9,TPM,gtex_v8,CD19,ENSG00000177455.12
Esophagus - Mucosa,Esophagus,Esophagus_Mucosa,0.785,2.3621,0.2198,2.579,555,TPM,gtex_v8,CD19,ENSG00000177455.12
Stomach,Stomach,Stomach,0.601,1.4245,0.327,1.264,359,TPM,gtex_v8,CD19,ENSG00000177455.12
Nerve - Tibial,Nerve,Nerve_Tibial,0.5679,0.6564,0.3818,0.8417,619,TPM,gtex_v8,CD19,ENSG00000177455.12
Prostate,Prostate,Prostate,0.5314,1.8292,0.3061,1.135,245,TPM,gtex_v8,CD19,ENSG00000177455.12
Bladder,Bladder,Bladder,0.491,1.8186,0.262,0.7456,21,TPM,gtex_v8,CD19,ENSG00000177455.12
Minor Salivary Gland,Salivary Gland,Minor_Salivary_Gland,0.4905,0.6804,0.2432,0.8915,162,TPM,gtex_v8,CD19,ENSG00000177455.12
Uterus,Uterus,Uterus,0.4304,0.5249,0.2777,0.6364,142,TPM,gtex_v8,CD19,ENSG00000177455.12
Cervix - Endocervix,Cervix Uteri,Cervix_Endocervix,0.4299,0.6874,0.3334,0.8671,10,TPM,gtex_v8,CD19,ENSG00000177455.12
Artery - Coronary,Blood Vessel,Artery_Coronary,0.4226,3.8066,0.2148,0.7107,240,TPM,gtex_v8,CD19,ENSG00000177455.12
Kidney - Cortex,Kidney,Kidney_Cortex,0.4081,1.6602,0.1898,1.407,85,TPM,gtex_v8,CD19,ENSG00000177455.12
