tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset
Adrenal Gland,Adrenal Gland,Adrenal_Gland,137.6,140.251,106.5,164.5,258,TPM,gtex_v8
Minor Salivary Gland,Salivary Gland,Minor_Salivary_Gland,133.9,146.6211,93.37,187.1,162,TPM,gtex_v8
Lung,Lung,Lung,121.0,126.4417,102.1,142.7,578,TPM,gtex_v8
Nerve - Tibial,Nerve,Nerve_Tibial,100.8,103.2861,81.67,121.2,619,TPM,gtex_v8
Prostate,Prostate,Prostate,98.83,103.9752,77.23,126.1,245,TPM,gtex_v8
Adipose - Subcutaneous,Adipose Tissue,Adipose_Subcutaneous,97.27,99.7203,83.49,112.9,663,TPM,gtex_v8
Breast - Mammary Tissue,Breast,Breast_Mammary_Tissue,97.22,103.6042,75.92,122.3,459,TPM,gtex_v8
Artery - Aorta,Blood Vessel,Artery_Aorta,93.02,94.7129,81.33,108.3,432,TPM,gtex_v8
Uterus,Uterus,Uterus,92.3,94.157,77.12,107.1,142,TPM,gtex_v8
Ovary,Ovary,Ovary,89.69,91.6554,78.68,103.3,180,TPM,gtex_v8
Cervix - Endocervix,Cervix Uteri,Cervix_Endocervix,87.61,86.876,69.38,107.0,10,TPM,gtex_v8
Vagina,Vagina,Vagina,85.87,91.9215,71.03,110.1,156,TPM,gtex_v8
Artery - Tibial,Blood Vessel,Artery_Tibial,85.24,86.679,71.83,99.11,663,TPM,gtex_v8
Esophagus - Mucosa,Esophagus,Esophagus_Mucosa,84.59,91.0649,67.76,108.4,555,TPM,gtex_v8
Fallopian Tube,Fallopian Tube,Fallopian_Tube,82.43,87.5067,64.88,98.07,9,TPM,gtex_v8
Artery - Coronary,Blood Vessel,Artery_Coronary,81.32,81.4518,66.27,93.87,240,TPM,gtex_v8
Kidney - Medulla,Kidney,Kidney_Medulla,80.66,76.1725,66.65,132.0,4,TPM,gtex_v8
