tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Esophagus - Mucosa,Esophagus,Esophagus_Mucosa,293.4,306.4073,170.9,417.2,555,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Colon - Transverse,Colon,Colon_Transverse,250.4,533.9371,10.67,798.8,406,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Vagina,Vagina,Vagina,81.19,119.6171,6.231,184.6,156,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Small Intestine - Terminal Ileum,Small Intestine,Small_Intestine_Terminal_Ileum,30.68,85.2507,4.611,121.0,187,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Minor Salivary Gland,Salivary Gland,Minor_Salivary_Gland,17.37,40.6972,9.24,39.66,162,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Lung,Lung,Lung,4.433,9.5141,1.836,10.48,578,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Skin - Sun Exposed (Lower leg),Skin,Skin_Sun_Exposed_Lower_leg,3.951,4.5358,2.61,5.714,701,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Skin - Not Sun Exposed (Suprapubic),Skin,Skin_Not_Sun_Exposed_Suprapubic,2.514,3.311,1.462,4.197,604,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Colon - Sigmoid,Colon,Colon_Sigmoid,0.738,36.6843,0.1926,7.123,373,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Testis,Testis,Testis,0.6217,0.6497,0.4765,0.7845,361,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Stomach,Stomach,Stomach,0.5817,11.0618,0.1323,5.44,359,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Cervix - Ectocervix,Cervix Uteri,Cervix_Ectocervix,0.4472,58.1073,0.2901,4.703,9,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
Fallopian Tube,Fallopian Tube,Fallopian_Tube,0.3715,2.0874,0.0726,0.5329,9,TPM,gtex_v8,CEACAM5,ENSG00000105388.15
