tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Stomach,Stomach,Stomach,391.2,440.4312,41.3,654.0,359,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Lung,Lung,Lung,140.7,176.0891,72.45,249.5,578,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Testis,Testis,Testis,2.296,2.463,1.792,3.0,361,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Ovary,Ovary,Ovary,1.074,1.6031,0.7457,1.578,180,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Uterus,Uterus,Uterus,1.053,1.2544,0.7258,1.6,142,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Cervix - Ectocervix,Cervix Uteri,Cervix_Ectocervix,1.041,1.3551,0.6384,1.815,9,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Fallopian Tube,Fallopian Tube,Fallopian_Tube,0.9837,1.4745,0.5429,1.519,9,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Cervix - Endocervix,Cervix Uteri,Cervix_Endocervix,0.9821,1.1206,0.6393,1.458,10,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Artery - Aorta,Blood Vessel,Artery_Aorta,0.8344,1.0694,0.5083,1.409,432,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Pituitary,Pituitary,Pituitary,0.7511,1.0947,0.4766,1.264,283,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Bladder,Bladder,Bladder,0.6986,0.7212,0.5386,0.7911,21,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Brain - Cerebellum,Brain,Brain_Cerebellum,0.6847,0.7251,0.4742,0.8624,241,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Nerve - Tibial,Nerve,Nerve_Tibial,0.6812,0.793,0.422,0.9774,619,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Vagina,Vagina,Vagina,0.6753,0.945,0.3415,1.279,156,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Artery - Tibial,Blood Vessel,Artery_Tibial,0.6322,0.7244,0.387,0.9444,663,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Artery - Coronary,Blood Vessel,Artery_Coronary,0.619,0.879,0.3947,1.091,240,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Cells - Cultured fibroblasts,Skin,Cells_Cultured_fibroblasts,0.5366,0.6015,0.3887,0.7787,504,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Esophagus - Gastroesophageal Junction,Esophagus,Esophagus_Gastroesophageal_Junction,0.5295,0.8377,0.3576,0.8594,375,TPM,gtex_v8,CLDN18,ENSG00000066405.12
Prostate,Prostate,Prostate,0.5241,0.5993,0.3169,0.7684,245,TPM,gtex_v8,CLDN18,ENSG00000066405.12
