tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Skin - Sun Exposed (Lower leg),Skin,Skin_Sun_Exposed_Lower_leg,78.34,81.0672,64.08,93.75,701,TPM,gtex_v8,EGFR,ENSG00000146648.17
Skin - Not Sun Exposed (Suprapubic),Skin,Skin_Not_Sun_Exposed_Suprapubic,76.0,77.2507,62.92,89.26,604,TPM,gtex_v8,EGFR,ENSG00000146648.17
Cells - Cultured fibroblasts,Skin,Cells_Cultured_fibroblasts,60.7,60.5772,48.54,72.62,504,TPM,gtex_v8,EGFR,ENSG00000146648.17
Nerve - Tibial,Nerve,Nerve_Tibial,43.12,43.8245,35.93,51.51,619,TPM,gtex_v8,EGFR,ENSG00000146648.17
Vagina,Vagina,Vagina,40.84,43.1235,32.72,50.84,156,TPM,gtex_v8,EGFR,ENSG00000146648.17
Adipose - Subcutaneous,Adipose Tissue,Adipose_Subcutaneous,39.73,41.6206,29.31,51.13,663,TPM,gtex_v8,EGFR,ENSG00000146648.17
Esophagus - Gastroesophageal Junction,Esophagus,Esophagus_Gastroesophageal_Junction,34.63,35.4919,26.73,43.22,375,TPM,gtex_v8,EGFR,ENSG00000146648.17
Artery - Tibial,Blood Vessel,Artery_Tibial,33.2,33.707,26.73,39.12,663,TPM,gtex_v8,EGFR,ENSG00000146648.17
Breast - Mammary Tissue,Breast,Breast_Mammary_Tissue,32.94,34.6882,24.46,42.69,459,TPM,gtex_v8,EGFR,ENSG00000146648.17
Esophagus - Muscularis,Esophagus,Esophagus_Muscularis,31.8,32.5597,25.35,38.3,515,TPM,gtex_v8,EGFR,ENSG00000146648.17
Minor Salivary Gland,Salivary Gland,Minor_Salivary_Gland,31.64,31.6351,24.22,37.76,162,TPM,gtex_v8,EGFR,ENSG00000146648.17
Cervix - Ectocervix,Cervix Uteri,Cervix_Ectocervix,30.95,36.8522,27.37,46.16,9,TPM,gtex_v8,EGFR,ENSG00000146648.17
Esophagus - Mucosa,Esophagus,Esophagus_Mucosa,29.91,30.2085,23.82,36.7,555,TPM,gtex_v8,EGFR,ENSG00000146648.17
Fallopian Tube,Fallopian Tube,Fallopian_Tube,28.12,28.9511,25.57,34.99,9,TPM,gtex_v8,EGFR,ENSG00000146648.17
Prostate,Prostate,Prostate,27.05,29.2218,19.6,35.6,245,TPM,gtex_v8,EGFR,ENSG00000146648.17
Adipose - Visceral (Omentum),Adipose Tissue,Adipose_Visceral_Omentum,25.84,27.0842,19.78,32.82,541,TPM,gtex_v8,EGFR,ENSG00000146648.17
Cervix - Endocervix,Cervix Uteri,Cervix_Endocervix,25.23,28.586,16.66,34.15,10,TPM,gtex_v8,EGFR,ENSG00000146648.17
Thyroid,Thyroid,Thyroid,25.04,25.8041,20.07,30.68,653,TPM,gtex_v8,EGFR,ENSG00000146648.17
Bladder,Bladder,Bladder,23.53,22.9286,18.03,27.02,21,TPM,gtex_v8,EGFR,ENSG00000146648.17
Artery - Aorta,Blood Vessel,Artery_Aorta,23.46,24.0617,19.71,27.73,432,TPM,gtex_v8,EGFR,ENSG00000146648.17
Lung,Lung,Lung,22.14,23.7011,16.39,29.46,578,TPM,gtex_v8,EGFR,ENSG00000146648.17
Uterus,Uterus,Uterus,21.42,23.3945,17.75,28.58,142,TPM,gtex_v8,EGFR,ENSG00000146648.17
Ovary,Ovary,Ovary,20.76,21.1655,17.33,24.87,180,TPM,gtex_v8,EGFR,ENSG00000146648.17
Artery - Coronary,Blood Vessel,Artery_Coronary,20.2,20.4876,16.5,24.14,240,TPM,gtex_v8,EGFR,ENSG00000146648.17
Colon - Sigmoid,Colon,Colon_Sigmoid,18.98,19.8693,15.04,23.58,373,TPM,gtex_v8,EGFR,ENSG00000146648.17
Liver,Liver,Liver,16.98,19.1398,11.87,23.01,226,TPM,gtex_v8,EGFR,ENSG00000146648.17
Colon - Transverse,Colon,Colon_Transverse,15.07,16.7324,12.2,20.41,406,TPM,gtex_v8,EGFR,ENSG00000146648.17
Adrenal Gland,Adrenal Gland,Adrenal_Gland,14.65,14.8527,10.13,18.84,258,TPM,gtex_v8,EGFR,ENSG00000146648.17
Small Intestine - Terminal Ileum,Small Intestine,Small_Intestine_Terminal_Ileum,12.86,14.3063,9.668,16.81,187,TPM,gtex_v8,EGFR,ENSG00000146648.17
Kidney - Medulla,Kidney,Kidney_Medulla,12.71,10.572,8.635,17.15,4,TPM,gtex_v8,EGFR,ENSG00000146648.17
Stomach,Stomach,Stomach,11.01,14.5483,8.095,17.38,359,TPM,gtex_v8,EGFR,ENSG00000146648.17
Brain - Caudate (basal ganglia),Brain,Brain_Caudate_basal_ganglia,7.927,8.3911,6.047,10.51,246,TPM,gtex_v8,EGFR,ENSG00000146648.17
