tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Nerve - Tibial,Nerve,Nerve_Tibial,130.1,131.3445,108.5,153.2,619,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Skin - Sun Exposed (Lower leg),Skin,Skin_Sun_Exposed_Lower_leg,118.3,120.0485,99.95,138.4,701,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Esophagus - Mucosa,Esophagus,Esophagus_Mucosa,113.1,113.3789,93.84,132.1,555,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Skin - Not Sun Exposed (Suprapubic),Skin,Skin_Not_Sun_Exposed_Suprapubic,111.0,112.2925,95.14,127.6,604,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Thyroid,Thyroid,Thyroid,99.31,101.6736,82.28,117.9,653,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Artery - Aorta,Blood Vessel,Artery_Aorta,84.59,84.333,67.02,100.1,432,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Minor Salivary Gland,Salivary Gland,Minor_Salivary_Gland,83.91,82.8495,67.62,96.75,162,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Prostate,Prostate,Prostate,83.77,86.559,64.0,104.7,245,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Vagina,Vagina,Vagina,78.96,80.9068,58.16,95.12,156,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Kidney - Medulla,Kidney,Kidney_Medulla,76.26,79.9975,53.38,143.9,4,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Artery - Tibial,Blood Vessel,Artery_Tibial,65.22,64.6646,49.66,78.4,663,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Cervix - Ectocervix,Cervix Uteri,Cervix_Ectocervix,60.61,60.9556,43.89,70.54,9,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Artery - Coronary,Blood Vessel,Artery_Coronary,55.1,55.69,39.16,67.58,240,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Kidney - Cortex,Kidney,Kidney_Cortex,53.57,61.0625,37.51,74.95,85,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Cervix - Endocervix,Cervix Uteri,Cervix_Endocervix,53.13,53.52,42.72,59.93,10,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Colon - Transverse,Colon,Colon_Transverse,51.21,54.9599,33.7,72.93,406,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Uterus,Uterus,Uterus,48.05,48.0862,41.45,54.69,142,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Fallopian Tube,Fallopian Tube,Fallopian_Tube,47.86,59.4911,38.41,52.95,9,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Lung,Lung,Lung,47.83,48.4158,38.4,57.53,578,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Small Intestine - Terminal Ileum,Small Intestine,Small_Intestine_Terminal_Ileum,44.18,51.1423,29.18,71.75,187,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Ovary,Ovary,Ovary,38.78,39.7284,33.64,45.77,180,TPM,gtex_v8,ERBB2,ENSG00000141736.13
Heart - Atrial Appendage,Heart,Heart_Atrial_Appendage,38.38,39.9293,26.25,51.05,429,TPM,gtex_v8,ERBB2,ENSG00000141736.13
