tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Brain - Spinal cord (cervical c-1),Brain,Brain_Spinal_cord_cervical_c-1,60.73,62.9578,37.31,86.39,159,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Prostate,Prostate,Prostate,50.96,79.0315,13.62,108.7,245,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Substantia nigra,Brain,Brain_Substantia_nigra,21.56,30.3402,15.62,41.28,139,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Hippocampus,Brain,Brain_Hippocampus,17.18,23.2216,10.06,30.6,197,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Minor Salivary Gland,Salivary Gland,Minor_Salivary_Gland,14.09,15.7368,8.489,21.59,162,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Putamen (basal ganglia),Brain,Brain_Putamen_basal_ganglia,13.21,15.2927,7.984,20.8,205,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Amygdala,Brain,Brain_Amygdala,10.95,13.3818,7.124,17.09,152,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Caudate (basal ganglia),Brain,Brain_Caudate_basal_ganglia,9.827,11.6946,6.329,15.43,246,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Nerve - Tibial,Nerve,Nerve_Tibial,9.481,10.3696,5.819,13.71,619,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Hypothalamus,Brain,Brain_Hypothalamus,8.679,14.6194,4.582,17.51,202,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Nucleus accumbens (basal ganglia),Brain,Brain_Nucleus_accumbens_basal_ganglia,5.176,8.8231,3.029,10.31,246,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Liver,Liver,Liver,4.945,6.1198,2.778,8.586,226,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Frontal Cortex (BA9),Brain,Brain_Frontal_Cortex_BA9,4.667,7.4703,2.667,8.358,209,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Cortex,Brain,Brain_Cortex,4.666,7.6016,2.89,8.077,255,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Spleen,Spleen,Spleen,2.683,2.8892,1.742,3.744,241,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Anterior cingulate cortex (BA24),Brain,Brain_Anterior_cingulate_cortex_BA24,2.678,5.0953,1.495,5.642,176,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Fallopian Tube,Fallopian Tube,Fallopian_Tube,2.586,2.6084,1.251,2.966,9,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Cerebellum,Brain,Brain_Cerebellum,2.363,2.9692,1.373,3.855,241,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Kidney - Cortex,Kidney,Kidney_Cortex,2.32,3.1867,1.388,4.332,85,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Brain - Cerebellar Hemisphere,Brain,Brain_Cerebellar_Hemisphere,2.204,2.7752,1.158,3.438,215,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Lung,Lung,Lung,1.904,2.2826,1.163,3.064,578,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Kidney - Medulla,Kidney,Kidney_Medulla,1.862,2.1938,1.591,4.144,4,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Cervix - Endocervix,Cervix Uteri,Cervix_Endocervix,1.8,1.4823,0.9871,2.034,10,TPM,gtex_v8,FOLH1,ENSG00000086205.16
Breast - Mammary Tissue,Breast,Breast_Mammary_Tissue,1.671,2.6977,0.5669,3.644,459,TPM,gtex_v8,FOLH1,ENSG00000086205.16
