tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Lung,Lung,Lung,102.9,111.8756,61.75,152.0,578,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Minor Salivary Gland,Salivary Gland,Minor_Salivary_Gland,72.79,71.9184,32.64,100.9,162,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Kidney - Medulla,Kidney,Kidney_Medulla,50.61,49.37,44.78,73.01,4,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Kidney - Cortex,Kidney,Kidney_Cortex,49.4,53.6006,32.17,64.27,85,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Thyroid,Thyroid,Thyroid,32.66,40.3546,18.54,52.82,653,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Stomach,Stomach,Stomach,10.04,10.4944,1.504,16.16,359,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Pituitary,Pituitary,Pituitary,6.72,9.9707,3.807,12.44,283,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Fallopian Tube,Fallopian Tube,Fallopian_Tube,5.551,43.7816,1.138,7.62,9,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Breast - Mammary Tissue,Breast,Breast_Mammary_Tissue,2.504,10.0715,0.0566,13.5,459,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Skin - Sun Exposed (Lower leg),Skin,Skin_Sun_Exposed_Lower_leg,1.973,2.4437,1.138,3.173,701,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Pancreas,Pancreas,Pancreas,1.647,2.1061,1.174,2.411,328,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Hippocampus,Brain,Brain_Hippocampus,1.163,3.0768,0.4678,3.449,197,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Skin - Not Sun Exposed (Suprapubic),Skin,Skin_Not_Sun_Exposed_Suprapubic,1.156,1.5488,0.5935,2.032,604,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Prostate,Prostate,Prostate,1.11,1.7585,0.5182,2.332,245,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Adrenal Gland,Adrenal Gland,Adrenal_Gland,1.028,1.6004,0.48,1.963,258,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Substantia nigra,Brain,Brain_Substantia_nigra,1.0,1.3483,0.6139,1.434,139,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Nerve - Tibial,Nerve,Nerve_Tibial,0.9978,1.3762,0.5072,2.014,619,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Hypothalamus,Brain,Brain_Hypothalamus,0.8995,3.6707,0.5009,2.39,202,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Spinal cord (cervical c-1),Brain,Brain_Spinal_cord_cervical_c-1,0.8146,1.2585,0.3901,1.429,159,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Caudate (basal ganglia),Brain,Brain_Caudate_basal_ganglia,0.7967,2.7564,0.4737,2.341,246,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Nucleus accumbens (basal ganglia),Brain,Brain_Nucleus_accumbens_basal_ganglia,0.7716,1.9538,0.5542,1.157,246,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Amygdala,Brain,Brain_Amygdala,0.6925,1.5871,0.3589,1.344,152,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Cervix - Endocervix,Cervix Uteri,Cervix_Endocervix,0.5853,21.4919,0.2146,56.93,10,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Anterior cingulate cortex (BA24),Brain,Brain_Anterior_cingulate_cortex_BA24,0.4948,0.525,0.3473,0.6539,176,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Testis,Testis,Testis,0.4041,0.4388,0.3009,0.5452,361,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Cortex,Brain,Brain_Cortex,0.3943,0.4149,0.2369,0.5396,255,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Cerebellum,Brain,Brain_Cerebellum,0.3821,0.4526,0.2355,0.5929,241,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Frontal Cortex (BA9),Brain,Brain_Frontal_Cortex_BA9,0.3541,0.3851,0.2187,0.5006,209,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Small Intestine - Terminal Ileum,Small Intestine,Small_Intestine_Terminal_Ileum,0.2898,0.4388,0.1681,0.4612,187,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Putamen (basal ganglia),Brain,Brain_Putamen_basal_ganglia,0.284,0.3343,0.1614,0.44,205,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Esophagus - Mucosa,Esophagus,Esophagus_Mucosa,0.2711,3.0872,0.1052,1.786,555,TPM,gtex_v8,FOLR1,ENSG00000110195.12
Brain - Cerebellar Hemisphere,Brain,Brain_Cerebellar_Hemisphere,0.2668,0.3303,0.1413,0.4505,215,TPM,gtex_v8,FOLR1,ENSG00000110195.12
