tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Lung,Lung,Lung,201.5,227.4117,136.5,290.9,578,TPM,gtex_v8,GPC3,ENSG00000147257.13
Adipose - Subcutaneous,Adipose Tissue,Adipose_Subcutaneous,146.7,169.0705,102.4,214.8,663,TPM,gtex_v8,GPC3,ENSG00000147257.13
Nerve - Tibial,Nerve,Nerve_Tibial,141.8,151.6835,108.0,188.0,619,TPM,gtex_v8,GPC3,ENSG00000147257.13
Kidney - Medulla,Kidney,Kidney_Medulla,104.9,81.065,68.38,120.1,4,TPM,gtex_v8,GPC3,ENSG00000147257.13
Breast - Mammary Tissue,Breast,Breast_Mammary_Tissue,95.24,103.2553,67.76,126.7,459,TPM,gtex_v8,GPC3,ENSG00000147257.13
Adipose - Visceral (Omentum),Adipose Tissue,Adipose_Visceral_Omentum,73.53,84.2065,53.07,106.0,541,TPM,gtex_v8,GPC3,ENSG00000147257.13
Pituitary,Pituitary,Pituitary,70.85,89.9058,41.61,117.2,283,TPM,gtex_v8,GPC3,ENSG00000147257.13
Thyroid,Thyroid,Thyroid,40.73,46.5429,25.46,61.52,653,TPM,gtex_v8,GPC3,ENSG00000147257.13
Artery - Coronary,Blood Vessel,Artery_Coronary,36.34,47.233,21.67,59.79,240,TPM,gtex_v8,GPC3,ENSG00000147257.13
Fallopian Tube,Fallopian Tube,Fallopian_Tube,32.27,28.5989,15.9,40.66,9,TPM,gtex_v8,GPC3,ENSG00000147257.13
Ovary,Ovary,Ovary,25.15,30.4763,11.84,41.93,180,TPM,gtex_v8,GPC3,ENSG00000147257.13
Bladder,Bladder,Bladder,24.11,25.8121,19.35,28.57,21,TPM,gtex_v8,GPC3,ENSG00000147257.13
Skin - Sun Exposed (Lower leg),Skin,Skin_Sun_Exposed_Lower_leg,23.66,28.9048,15.02,35.25,701,TPM,gtex_v8,GPC3,ENSG00000147257.13
Kidney - Cortex,Kidney,Kidney_Cortex,19.18,35.1598,12.16,41.54,85,TPM,gtex_v8,GPC3,ENSG00000147257.13
Cervix - Ectocervix,Cervix Uteri,Cervix_Ectocervix,17.73,24.0436,10.14,33.41,9,TPM,gtex_v8,GPC3,ENSG00000147257.13
Cervix - Endocervix,Cervix Uteri,Cervix_Endocervix,17.46,17.4032,5.724,24.13,10,TPM,gtex_v8,GPC3,ENSG00000147257.13
Minor Salivary Gland,Salivary Gland,Minor_Salivary_Gland,17.0,18.7588,10.78,22.59,162,TPM,gtex_v8,GPC3,ENSG00000147257.13
Heart - Atrial Appendage,Heart,Heart_Atrial_Appendage,16.04,20.576,8.662,26.93,429,TPM,gtex_v8,GPC3,ENSG00000147257.13
Esophagus - Gastroesophageal Junction,Esophagus,Esophagus_Gastroesophageal_Junction,14.75,21.9443,8.468,26.13,375,TPM,gtex_v8,GPC3,ENSG00000147257.13
Artery - Tibial,Blood Vessel,Artery_Tibial,14.7,21.8466,7.853,26.34,663,TPM,gtex_v8,GPC3,ENSG00000147257.13
Vagina,Vagina,Vagina,13.08,18.4365,6.982,22.85,156,TPM,gtex_v8,GPC3,ENSG00000147257.13
Stomach,Stomach,Stomach,12.94,16.45,8.597,19.96,359,TPM,gtex_v8,GPC3,ENSG00000147257.13
Skin - Not Sun Exposed (Suprapubic),Skin,Skin_Not_Sun_Exposed_Suprapubic,12.66,16.1687,7.646,20.22,604,TPM,gtex_v8,GPC3,ENSG00000147257.13
Adrenal Gland,Adrenal Gland,Adrenal_Gland,11.65,14.6702,7.232,18.89,258,TPM,gtex_v8,GPC3,ENSG00000147257.13
Artery - Aorta,Blood Vessel,Artery_Aorta,11.58,17.965,6.047,25.3,432,TPM,gtex_v8,GPC3,ENSG00000147257.13
Uterus,Uterus,Uterus,10.59,14.2868,6.57,17.29,142,TPM,gtex_v8,GPC3,ENSG00000147257.13
Prostate,Prostate,Prostate,8.754,11.9911,4.969,15.26,245,TPM,gtex_v8,GPC3,ENSG00000147257.13
Colon - Sigmoid,Colon,Colon_Sigmoid,8.002,10.65,4.949,13.27,373,TPM,gtex_v8,GPC3,ENSG00000147257.13
Esophagus - Muscularis,Esophagus,Esophagus_Muscularis,7.56,10.6492,5.208,11.84,515,TPM,gtex_v8,GPC3,ENSG00000147257.13
Small Intestine - Terminal Ileum,Small Intestine,Small_Intestine_Terminal_Ileum,5.299,8.836,2.669,10.31,187,TPM,gtex_v8,GPC3,ENSG00000147257.13
