tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Pancreas,Pancreas,Pancreas,5.344,5.5817,3.488,7.277,328,TPM,gtex_v8,GRPR,ENSG00000126010.5
Esophagus - Gastroesophageal Junction,Esophagus,Esophagus_Gastroesophageal_Junction,3.434,4.8456,1.038,6.848,375,TPM,gtex_v8,GRPR,ENSG00000126010.5
Esophagus - Muscularis,Esophagus,Esophagus_Muscularis,2.874,4.2842,0.9299,6.225,515,TPM,gtex_v8,GRPR,ENSG00000126010.5
Cells - EBV-transformed lymphocytes,Blood Vessel,Cells_EBV-transformed_lymphocytes,0.8528,1.8317,0.4106,2.073,174,TPM,gtex_v8,GRPR,ENSG00000126010.5
Colon - Sigmoid,Colon,Colon_Sigmoid,0.6366,0.884,0.3397,1.076,373,TPM,gtex_v8,GRPR,ENSG00000126010.5
Breast - Mammary Tissue,Breast,Breast_Mammary_Tissue,0.5186,1.824,0.2108,2.038,459,TPM,gtex_v8,GRPR,ENSG00000126010.5
Uterus,Uterus,Uterus,0.3655,0.5538,0.1858,0.6759,142,TPM,gtex_v8,GRPR,ENSG00000126010.5
Nerve - Tibial,Nerve,Nerve_Tibial,0.313,0.3459,0.1924,0.4605,619,TPM,gtex_v8,GRPR,ENSG00000126010.5
Cervix - Endocervix,Cervix Uteri,Cervix_Endocervix,0.3052,0.4078,0.219,0.5741,10,TPM,gtex_v8,GRPR,ENSG00000126010.5
Colon - Transverse,Colon,Colon_Transverse,0.2869,0.6018,0.1226,0.7028,406,TPM,gtex_v8,GRPR,ENSG00000126010.5
Adipose - Subcutaneous,Adipose Tissue,Adipose_Subcutaneous,0.2752,0.3035,0.1695,0.4042,663,TPM,gtex_v8,GRPR,ENSG00000126010.5
Prostate,Prostate,Prostate,0.2696,0.3936,0.1415,0.4942,245,TPM,gtex_v8,GRPR,ENSG00000126010.5
Cells - Cultured fibroblasts,Skin,Cells_Cultured_fibroblasts,0.207,0.3644,0.0877,0.4366,504,TPM,gtex_v8,GRPR,ENSG00000126010.5
Testis,Testis,Testis,0.1841,0.2002,0.1172,0.2685,361,TPM,gtex_v8,GRPR,ENSG00000126010.5
Thyroid,Thyroid,Thyroid,0.1792,0.2027,0.1,0.2771,653,TPM,gtex_v8,GRPR,ENSG00000126010.5
Lung,Lung,Lung,0.1667,0.1959,0.0899,0.2567,578,TPM,gtex_v8,GRPR,ENSG00000126010.5
Adipose - Visceral (Omentum),Adipose Tissue,Adipose_Visceral_Omentum,0.1579,0.1765,0.0855,0.2399,541,TPM,gtex_v8,GRPR,ENSG00000126010.5
Cervix - Ectocervix,Cervix Uteri,Cervix_Ectocervix,0.1543,0.2841,0.071,0.5276,9,TPM,gtex_v8,GRPR,ENSG00000126010.5
Vagina,Vagina,Vagina,0.1373,0.1783,0.0593,0.2429,156,TPM,gtex_v8,GRPR,ENSG00000126010.5
Bladder,Bladder,Bladder,0.1359,0.1699,0.0615,0.2348,21,TPM,gtex_v8,GRPR,ENSG00000126010.5
Stomach,Stomach,Stomach,0.1118,1.5744,0.0382,1.263,359,TPM,gtex_v8,GRPR,ENSG00000126010.5
Heart - Atrial Appendage,Heart,Heart_Atrial_Appendage,0.1076,0.191,0.0534,0.2111,429,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Anterior cingulate cortex (BA24),Brain,Brain_Anterior_cingulate_cortex_BA24,0.1052,0.1447,0.0407,0.1991,176,TPM,gtex_v8,GRPR,ENSG00000126010.5
Adrenal Gland,Adrenal Gland,Adrenal_Gland,0.105,0.151,0.0456,0.1945,258,TPM,gtex_v8,GRPR,ENSG00000126010.5
Artery - Aorta,Blood Vessel,Artery_Aorta,0.1035,0.1262,0.0485,0.1754,432,TPM,gtex_v8,GRPR,ENSG00000126010.5
Muscle - Skeletal,Muscle,Muscle_Skeletal,0.1014,0.1213,0.0495,0.1612,803,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Cerebellar Hemisphere,Brain,Brain_Cerebellar_Hemisphere,0.0989,0.1217,0.0389,0.1778,215,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Frontal Cortex (BA9),Brain,Brain_Frontal_Cortex_BA9,0.0987,0.1309,0.0376,0.1844,209,TPM,gtex_v8,GRPR,ENSG00000126010.5
Small Intestine - Terminal Ileum,Small Intestine,Small_Intestine_Terminal_Ileum,0.0981,0.28,0.0414,0.2787,187,TPM,gtex_v8,GRPR,ENSG00000126010.5
Minor Salivary Gland,Salivary Gland,Minor_Salivary_Gland,0.0965,0.1229,0.0529,0.1859,162,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Cortex,Brain,Brain_Cortex,0.0963,0.1193,0.0544,0.1675,255,TPM,gtex_v8,GRPR,ENSG00000126010.5
Spleen,Spleen,Spleen,0.094,0.1208,0.0495,0.1742,241,TPM,gtex_v8,GRPR,ENSG00000126010.5
Artery - Coronary,Blood Vessel,Artery_Coronary,0.092,0.1301,0.05,0.1731,240,TPM,gtex_v8,GRPR,ENSG00000126010.5
Fallopian Tube,Fallopian Tube,Fallopian_Tube,0.0779,0.166,0.0,0.1391,9,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Cerebellum,Brain,Brain_Cerebellum,0.0767,0.0985,0.0387,0.1437,241,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Hypothalamus,Brain,Brain_Hypothalamus,0.07,0.1165,0.0268,0.1498,202,TPM,gtex_v8,GRPR,ENSG00000126010.5
Kidney - Cortex,Kidney,Kidney_Cortex,0.0693,0.0733,0.021,0.1069,85,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Amygdala,Brain,Brain_Amygdala,0.0678,0.1016,0.0274,0.1406,152,TPM,gtex_v8,GRPR,ENSG00000126010.5
Artery - Tibial,Blood Vessel,Artery_Tibial,0.0667,0.0939,0.0,0.1329,663,TPM,gtex_v8,GRPR,ENSG00000126010.5
Pituitary,Pituitary,Pituitary,0.062,0.0907,0.021,0.1315,283,TPM,gtex_v8,GRPR,ENSG00000126010.5
Skin - Sun Exposed (Lower leg),Skin,Skin_Sun_Exposed_Lower_leg,0.0595,0.0814,0.0224,0.1181,701,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Spinal cord (cervical c-1),Brain,Brain_Spinal_cord_cervical_c-1,0.0511,0.0911,0.0114,0.0985,159,TPM,gtex_v8,GRPR,ENSG00000126010.5
Skin - Not Sun Exposed (Suprapubic),Skin,Skin_Not_Sun_Exposed_Suprapubic,0.0509,0.0676,0.0,0.1037,604,TPM,gtex_v8,GRPR,ENSG00000126010.5
Ovary,Ovary,Ovary,0.0501,0.0739,0.0,0.1043,180,TPM,gtex_v8,GRPR,ENSG00000126010.5
Whole Blood,Blood,Whole_Blood,0.0447,0.0652,0.0,0.0977,755,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Caudate (basal ganglia),Brain,Brain_Caudate_basal_ganglia,0.0443,0.0574,0.0183,0.0808,246,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Nucleus accumbens (basal ganglia),Brain,Brain_Nucleus_accumbens_basal_ganglia,0.0413,0.0607,0.0,0.0784,246,TPM,gtex_v8,GRPR,ENSG00000126010.5
Heart - Left Ventricle,Heart,Heart_Left_Ventricle,0.0383,0.062,0.0092,0.0808,432,TPM,gtex_v8,GRPR,ENSG00000126010.5
Esophagus - Mucosa,Esophagus,Esophagus_Mucosa,0.0361,0.075,0.0,0.0715,555,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Hippocampus,Brain,Brain_Hippocampus,0.0345,0.0707,0.0151,0.0959,197,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Substantia nigra,Brain,Brain_Substantia_nigra,0.0338,0.0538,0.0,0.0712,139,TPM,gtex_v8,GRPR,ENSG00000126010.5
Kidney - Medulla,Kidney,Kidney_Medulla,0.028,0.0916,0.0233,0.315,4,TPM,gtex_v8,GRPR,ENSG00000126010.5
Brain - Putamen (basal ganglia),Brain,Brain_Putamen_basal_ganglia,0.0253,0.0398,0.0,0.0548,205,TPM,gtex_v8,GRPR,ENSG00000126010.5
Liver,Liver,Liver,0.0,0.0221,0.0,0.0357,226,TPM,gtex_v8,GRPR,ENSG00000126010.5
