tissue_site_detail,tissue_site,tissue_site_id,median_tpm,mean_tpm,q1_tpm,q3_tpm,n_samples,unit,dataset,gene_symbol,gencode_id
Nerve - Tibial,Nerve,Nerve_Tibial,21.26,22.0872,17.39,25.62,619,TPM,gtex_v8,MET,ENSG00000105976.14
Cells - Cultured fibroblasts,Skin,Cells_Cultured_fibroblasts,18.55,22.1534,10.99,29.35,504,TPM,gtex_v8,MET,ENSG00000105976.14
Thyroid,Thyroid,Thyroid,16.74,18.4016,13.46,21.58,653,TPM,gtex_v8,MET,ENSG00000105976.14
Kidney - Medulla,Kidney,Kidney_Medulla,16.3,17.1683,9.342,35.39,4,TPM,gtex_v8,MET,ENSG00000105976.14
Adipose - Visceral (Omentum),Adipose Tissue,Adipose_Visceral_Omentum,16.19,18.0195,10.61,22.88,541,TPM,gtex_v8,MET,ENSG00000105976.14
Breast - Mammary Tissue,Breast,Breast_Mammary_Tissue,15.36,16.4162,11.87,19.55,459,TPM,gtex_v8,MET,ENSG00000105976.14
Adipose - Subcutaneous,Adipose Tissue,Adipose_Subcutaneous,14.49,15.5321,10.98,18.88,663,TPM,gtex_v8,MET,ENSG00000105976.14
Minor Salivary Gland,Salivary Gland,Minor_Salivary_Gland,12.75,14.555,8.077,19.78,162,TPM,gtex_v8,MET,ENSG00000105976.14
Liver,Liver,Liver,11.59,12.6051,8.914,15.57,226,TPM,gtex_v8,MET,ENSG00000105976.14
Kidney - Cortex,Kidney,Kidney_Cortex,11.03,15.3044,5.627,18.77,85,TPM,gtex_v8,MET,ENSG00000105976.14
Lung,Lung,Lung,9.795,12.3606,5.502,18.09,578,TPM,gtex_v8,MET,ENSG00000105976.14
Skin - Not Sun Exposed (Suprapubic),Skin,Skin_Not_Sun_Exposed_Suprapubic,9.442,9.83,7.143,11.63,604,TPM,gtex_v8,MET,ENSG00000105976.14
Skin - Sun Exposed (Lower leg),Skin,Skin_Sun_Exposed_Lower_leg,8.543,9.1379,6.885,10.83,701,TPM,gtex_v8,MET,ENSG00000105976.14
